SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,FILLER1,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1230,1240,1219.8,1230,1233.5,1228.85,1143,6726,8284911,,INE117A01022,,,
500003,AEGIS LOGIS ,B ,Q,197.65,204.55,195.95,198.2,198.2,197.65,1594,87425,17513403,,INE208C01025,,,
500008,AMAR RAJA BA,A ,Q,864,879,849.2,853.8,853.8,850.15,2457,36938,31611956,,INE885A01032,,,
500009,A.SARABHAI  ,XD,Q,9,9.28,8.71,8.97,8.9,8.68,53,29528,264985,,INE432A01017,,,
500010,HDFC        ,A ,Q,1430,1435,1396.95,1402.05,1402.05,1393.35,3932,98428,139067904,,INE001A01036,,,
500012,ANDHRA PETRO,XC,Q,27.65,27.65,26.5,27,27,26.85,190,46425,1247288,,INE714B01016,,,
500013,ANSAL INFRAS,B ,Q,15.1,15.25,14.95,15.05,15,15.05,57,66018,994194,,INE436A01026,,,
500014,APPLE FINANC,XD,Q,2.89,2.9,2.73,2.76,2.75,2.87,36,23518,66573,,INE096A01010,,,
500020,BOM DYEING  ,B ,Q,57.8,57.8,55.95,56.45,56.45,57.1,1511,371143,21056012,,INE032A01023,,,
500023,ASIANHOTNR  ,B ,Q,103,105,102.3,102.3,102.3,103.05,4,166,17068,,INE363A01022,,,
500024,ASSAMCO     ,T ,Q,6.3,6.38,6.15,6.29,6.29,6.27,135,108663,677951,,INE442A01024,,,
500027,ATUL LTD.   ,A ,Q,2261.45,2282,2205,2219.55,2219.55,2229.35,475,3251,7253016,,INE100A01010,,,
500028,ATV PROJECTS,XT,Q,5.85,6.02,5.85,5.96,5.91,5.74,19,9080,54499,,INE447A01015,,,
500029,AUTOLITE(I) ,B ,Q,51.25,51.4,50,50.45,50.85,51.25,33,4958,251241,,INE448A01013,,,
500031,BAJAJ ELECT.,A ,Q,255.8,260,253.05,258.6,258.25,255.15,506,19378,4979971,,INE193E01025,,,
500032,BAJAJHIND   ,B ,Q,14.61,14.9,14.41,14.44,14.44,14.58,1340,777534,11377472,,INE306A01021,,,
500033,FORCE MOTR  ,B ,Q,4148,4149,4091,4101.05,4101.05,4118.6,2503,27636,113880844,,INE451A01017,,,
500034,BAJFINANCE  ,A ,Q,1107.5,1117,1081.65,1088.85,1088.85,1091.65,6116,137040,150621560,,INE296A01024,,,
500038,BALRAM.CHINI,A ,Q,156.4,160,155.5,158.85,158.85,156.4,1217,112323,17745757,,INE119A01028,,,
500039,BANCO PROD. ,B ,Q,196.4,196.7,192.2,193.2,193.2,192.75,243,13159,2561585,,INE213C01025,,,
500040,CENTURY TEXT,A ,Q,938,938,914,926.65,926.65,922.5,3138,122944,113582967,,INE055A01016,,,
500041,BANNARI AMAN,B ,Q,2083,2171,2082.55,2130,2130,2169.75,23,138,295993,,INE459A01010,,,
500042,BASF INDIA  ,B ,Q,1188.4,1203.15,1174.4,1182.75,1182.75,1193.85,154,853,1014931,,INE373A01013,,,
500043,BATA INDIA  ,A ,Q,497.1,503.4,492.6,500.25,499.05,495.95,1082,24947,12466113,,INE176A01028,,,
500048,BEML LTD    ,A ,Q,1292,1308.95,1273.3,1290.3,1287.05,1284.4,2448,47349,61238140,,INE258A01016,,,
500049,BHARAT ELECT,A ,Q,1533.3,1546.5,1521,1526.15,1526.15,1524.6,1591,22452,34434076,,INE263A01016,,,
500052,BHANSALI ENG,B ,Q,22.75,23.15,22.65,23,23.15,22.65,392,196528,4511525,,INE922A01025,,,
500055,BHUSH STEEL ,B ,Q,55,55.2,54,54.35,54.35,54.8,263,35537,1936166,,INE824B01021,,,
500058,BIHAR SPONGE,XT,Q,2.61,2.74,2.61,2.61,2.74,2.74,27,7120,18595,,INE819C01011,,,
500059,BINANI IND. ,B ,Q,76.9,77.6,76.1,76.45,76.1,75.7,179,7069,542893,,INE071A01013,,,
500060,BIRLACABLE  ,B ,Q,40.25,41.45,39.8,40.2,40.2,40,32,5058,204682,,INE800A01015,,,
500067,BLUE STAR   ,B ,Q,568,570,560.75,564.65,564.65,568,392,3895,2203417,,INE472A01039,,,
500068,DISA INDIA  ,XC,Q,4850,4999.7,4850,4900,4900,4862.6,16,39,190628,,INE131C01011,,,
500069,BNK CAPITAL ,XD,Q,44,44.3,43.25,43.35,43.25,42.25,17,2407,105995,,INE418C01012,,,
500074,BPL LTD.    ,B ,Q,63,63.95,62,62.65,62.65,61.1,689,78707,4950057,,INE110A01019,,,
500078,CAMPH.& ALL ,XC,Q,685,709.45,682.4,693,693,700,49,638,440294,,INE959C01015,,,
500083,CENTURY EXT ,B ,Q,6.35,6.38,5.7,5.76,5.76,6.03,126,56466,331685,,INE281A01026,,,
500084,CESC LTD.   ,A ,Q,856.1,873.8,855,859.8,859.8,854.75,1881,41793,36092139,,INE486A01013,,,
500085,CHAMBAL FERT,B ,Q,80.25,83.5,80,80.9,80.9,80.05,2325,297589,24318883,,INE085A01013,,,
500086,EXIDE IND.  ,A ,Q,211.95,212.5,208.8,210.1,210.1,210.55,1488,114798,24137927,,INE302A01020,,,
500087,CIPLA LTD.  ,A ,Q,585,596.25,581.7,592.6,592.6,583.4,3797,175139,103668940,,INE059A01026,,,
500089,DIC INDIA   ,B ,Q,472.7,500,461.6,471.1,473.95,468,186,3230,1511715,,INE303A01010,,,
500092,CRISIL LTD  ,A ,Q,2067.25,2069.45,2052,2065.5,2065.5,2060.65,45,173,357053,,INE007A01025,,,
500093,CROMPT.GREAV,A ,Q,66.25,67.35,65.4,65.55,65.55,66.25,1893,641870,42228452,,INE067A01029,,,
500096,DABUR (I)   ,A ,Q,269.9,269.9,264.65,265.45,265.45,266.45,938,32997,8761319,,INE016A01026,,,
500097,DALMIASUG   ,B ,Q,169.55,172.95,166.65,171.1,171.1,170.3,836,44975,7683253,,INE495A01022,,,
500101,ARVIND Ltd  ,A ,Q,377.55,379.45,372.45,376.5,376.5,376.6,3730,228010,85897347,,INE034A01011,,,
500102,BALARPUR IND,B ,Q,16.5,16.5,16.1,16.4,16.4,16.35,409,158662,2591028,,INE294A01037,,,
500103,BHEL        ,A ,Q,151,154.2,150,153.4,153.4,153.5,4624,852979,130135815,,INE257A01026,,,
500104,HIND.PETRO  ,A ,Q,534,546,528.55,543.45,543.45,531.7,8751,299565,162062162,,INE094A01015,,,
500106,IFCI LTD    ,A ,Q,28.55,28.75,28.25,28.4,28.4,28.4,801,536420,15253485,,INE039A01010,,,
500108,MAHA.TELE   ,B ,Q,21.65,22.25,21.6,21.7,21.7,21.65,909,388461,8477828,,INE153A01019,,,
500109,MRPL        ,A ,Q,105.95,110.4,105.2,109.6,109.6,105.9,3392,344372,37361096,,INE103A01014,,,
500110,CHENNAI PET.,B ,Q,361,396.2,361,389.25,389.25,360.45,5761,284313,108998224,,INE178A01016,,,
500111,REL.CAP.    ,A ,Q,494,523.8,486.05,517.55,517.55,489.5,21151,1164277,590821119,,INE013A01015,,,
500112,STATE BANK  ,A ,Q,270.9,273.7,267.75,268.8,268.8,270.4,12943,2822028,759580105,,INE062A01020,,,
500113,STEEL AUTH. ,A ,Q,61,61.35,59.7,59.9,59.9,60.35,2201,559009,33653699,,INE114A01011,,,
500114,TITAN       ,A ,Q,423.7,433.25,421.4,430.95,429.85,423.7,1887,59144,25300552,,INE280A01028,,,
500116,IDBI BANK L ,A ,Q,81.7,82.1,80.7,81.1,81.1,80.85,1636,586223,47612728,,INE008A01015,,,
500117,DCW LTD.    ,B ,Q,31.25,32.1,30.65,31,31,31.55,599,142106,4461316,,INE500A01029,,,
500119,DHAMPUR SUGA,B ,Q,195,200.55,195,197.5,197.5,195.45,779,63108,12500365,,INE041A01016,,,
500120,DIAMINES&CHM,XD,Q,54.95,58.15,53.75,57.2,57.05,52.5,81,7525,428887,,INE591D01014,,,
500123,ELANTAS     ,B ,Q,1770.5,1800,1770.5,1781.65,1781,1790,51,428,767116,,INE280B01018,,,
500124,DR.REDDY'S  ,A ,Q,2930,2955,2900.7,2915.3,2915.3,2926.85,3407,33912,99217114,,INE089A01023,,,
500125,E.I.D.PAR   ,A ,Q,284.5,291.45,283,285.1,285.1,282.9,1343,93956,26872202,,INE126A01031,,,
500126,MERCK LTD   ,B ,Q,980.1,1023.75,980.1,1014.55,1010.1,987.05,990,11378,11384911,,INE199A01012,,,
500128,ELEC.CASTING,B ,Q,28.45,28.6,27.85,28.15,28.15,28.05,315,119611,3389834,,INE086A01029,,,
500132,EMPEE SUGARS,XD,Q,6.61,6.9,6.61,6.65,6.64,6.69,45,24342,163901,,INE928B01012,,,
500133,ESAB INDIA  ,B ,Q,580.1,580.1,576.05,576.05,576.05,579.95,2,55,31703,,INE284A01012,,,
500135,ESSEL PROP  ,B ,Q,240.5,243.25,234.5,235.85,237.2,238.45,452,7707,1837235,,INE255A01020,,,
500136,ESTER INDUS.,T ,Q,40.95,41,39.5,39.9,39.9,39.9,128,35981,1449274,,INE778B01029,,,
500139,FEDDER.LLYOD,B ,Q,73.55,76.5,72.1,72.35,72.35,72.8,612,56558,4156553,,INE249C01011,,,
500141,FERRO ALLOYS,XT,Q,8.17,8.4,8.17,8.25,8.25,8.53,113,64931,534570,,INE912A01026,,,
500142,FGP LTD.    ,XD,Q,2.03,2.03,2.03,2.03,2.03,1.94,4,867,1760,,INE512A01016,,,
500143,P.H.CAPITAL ,XT,Q,36.15,36.15,36.15,36.15,36.15,36.9,1,15,542,,INE160F01013,,,
500144,FINOL. CABLE,A ,Q,446,451.55,442.85,444.9,445,437.55,1225,27320,12202736,,INE235A01022,,,
500147,CMI FPE     ,XC,Q,472,504.35,472,496.75,496.75,481.8,76,1729,855268,,INE515A01019,,,
500148,UFLEX LTD   ,B ,Q,264.1,267.8,258.9,260.9,260.9,262.65,618,15929,4166399,,INE516A01017,,,
500150,FOSECO INDIA,B ,Q,1345,1350,1339,1348,1348,1346.45,14,168,225260,,INE519A01011,,,
500151,GOLDEN TOB  ,B ,Q,70,71.25,68.55,69.55,69.5,68.8,58,4679,327971,,INE973A01010,,,
500153,GANESH BENZO,XC,Q,36.4,36.95,36.05,36.65,36.75,35.45,158,73611,2684917,,INE388A01029,,,
500155,GARDEN SILK ,B ,Q,30.4,30.5,29.75,29.95,30.5,30,49,4930,148210,,INE526A01016,,,
500159,METROGLOBL  ,XC,Q,88,88,82,83.25,83.1,85.9,78,6731,568219,,INE085D01033,,,
500160,GTL LTD.    ,B ,Q,16.35,16.9,16.1,16.5,16.7,16.5,255,54412,898957,,INE043A01012,,,
500162,PARRYSUGR   ,B ,Q,59,65,59,61.1,61.1,63.3,223,10245,644448,,INE353B01021,,,
500163,GODFREY PH  ,B ,Q,1031.75,1059.9,1026.8,1040.45,1040.45,1024.8,1682,17479,18240741,,INE260B01028,,,
500164,GODREJ IND  ,A ,Q,501.45,501.8,478.5,483.8,481.6,506.1,3004,78944,38181176,,INE233A01035,,,
500165,KANSAI NERO ,A ,Q,346.95,350,345.4,348.3,346.7,346.95,232,5607,1952927,,INE531A01024,,,
500166,GOODRICKE   ,XC,Q,283.45,290,282.5,289.05,289.05,283.45,799,68889,19798239,,INE300A01016,,,
500168,GOODYEAR (I),B ,Q,729.75,731,718.05,722.95,723,722.95,258,4863,3522667,,INE533A01012,,,
500170,GTN INDUS   ,B ,Q,16,16.5,16,16.5,16.5,16.2,6,537,8731,,INE537A01013,,,
500171,GHCL LTD    ,B ,Q,269.05,269.5,262.5,264.15,264.15,268.75,435,22065,5864688,,INE539A01019,,,
500173,GUJ.FLOURO  ,B ,Q,486.9,495,482,488.65,489.4,486.3,387,12983,6357700,,INE538A01037,,,
500174,GUJ.LEASE   ,T ,Q,2.88,2.88,2.88,2.88,2.88,2.75,13,18417,53040,,INE540A01017,,,
500179,HCL INFOSYS ,B ,Q,55,55.45,54.25,54.4,54.4,54.7,1471,307763,16898068,,INE236A01020,,,
500180,HDFC BANK   ,A ,Q,1439,1450,1361.25,1377.15,1377.15,1327.35,60701,5524506,7821065968,,INE040A01026,,,
500182,HEROMOTOCO  ,A ,Q,3126.1,3133,3074,3085.65,3085.65,3126.1,2441,17705,54775220,,INE158A01026,,,
500183,HIMACHAL FUT,B ,Q,13.4,13.49,13.24,13.3,13.3,13.32,369,297820,3967292,,INE548A01028,,,
500184,HSCL        ,B ,Q,46,46.65,45.75,45.95,45.95,45.9,610,185088,8529250,,INE019C01026,,,
500185,HIND.CONSTN.,A ,Q,38.95,39.55,38.65,38.85,38.85,38.65,1268,460138,17948900,,INE549A01026,,,
500186,HIND.OIL EXP,B ,Q,76.25,76.75,73,74.25,74.25,75.7,1846,291839,21943752,,INE345A01011,,,
500187,HSIL        ,B ,Q,290,296.55,287.5,295.05,295,288.75,273,4301,1256063,,INE415A01038,,,
500188,HINDUS.ZI   ,A ,Q,306,306,298.8,299.7,299.7,302.3,2619,126697,38128942,,INE267A01025,,,
500189,HINDUJA VENT,B ,Q,505.05,509,505,506,505,507.95,24,480,242685,,INE353A01023,,,
500191,HMT LTD.    ,T ,Q,40.05,40.8,39.3,40,40,40.05,36,4483,179696,,INE262A01018,,,
500192,PRAG BOSIMI ,XT,Q,3.75,3.75,3.46,3.6,3.6,3.58,8,1250,4453,,INE962B01011,,,
500193,HOTEL LEELA.,B ,Q,16.55,16.65,16.35,16.5,16.5,16.5,59,13937,230119,,INE102A01024,,,
500199,I.G.PETRO   ,B ,Q,304.95,334,300,313.35,313.35,301.55,6764,207467,66382510,,INE204A01010,,,
500201,IND.GLYCOLS ,B ,Q,164.45,165.6,162.3,163,163.1,162.75,535,35379,5806779,,INE560A01015,,,
500206,MARGO FIN   ,XT,Q,11.7,11.7,11.7,11.7,11.7,11.7,1,1,11,,INE680B01019,,,
500207,INDO RAMA   ,B ,Q,31.65,31.65,31,31.25,31.25,31.4,62,7282,227399,,INE156A01020,,,
500209,INFOSYS LTD ,A ,Q,1011.9,1012.05,993.4,999.7,999.7,1011.9,5772,157562,157737148,,INE009A01021,,,
500210,INGERSOLL   ,B ,Q,681.5,690,676.2,681.75,678.5,680.35,177,1341,917986,,INE177A01018,,,
500211,INSILCO LTD.,XT,Q,25.1,26.45,25.1,25.65,25.75,25.9,39,5637,145280,,INE901A01011,,,
500213,INTER.TRAVEL,XC,Q,191.55,194,191.2,193,193,191.65,28,2282,440262,,INE262B01016,,,
500214,ION EXCHANGE,XT,Q,329,335,320.5,334.25,330,330.05,144,8610,2841986,,INE570A01014,,,
500215,AGRO TECH FO,B ,Q,530,535.7,523,531.25,532,527.55,150,4457,2360837,,INE209A01019,,,
500219,JAIN IRRIG  ,A ,Q,93.8,94.3,92.7,93.4,93.4,93.05,1951,398624,37271527,,INE175A01038,,,
500220,JASCH INDUST,XD,Q,52,53.3,51.7,52.5,52.4,51.55,46,12744,672379,,INE711C01010,,,
