SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,FILLER1,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1217.15,1228,1200,1212.05,1212.05,1221.6,1053,29704,36080332,,INE117A01022,,,
500003,AEGIS LOGIS ,B ,Q,203,205.75,194.05,197.65,197.65,203.25,1250,83076,16516724,,INE208C01025,,,
500008,AMAR RAJA BA,A ,Q,859.7,859.7,847.5,849.45,849.45,859.7,1149,22849,19476495,,INE885A01032,,,
500009,A.SARABHAI  ,XD,Q,9.84,9.84,9.3,9.36,9.36,9.54,52,20188,190454,,INE432A01017,,,
500010,HDFC        ,A ,Q,1411,1415,1392.55,1394.75,1393.9,1411.95,1842,251029,353501910,,INE001A01036,,,
500012,ANDHRA PETRO,XC,Q,27.5,27.7,26.5,26.95,27,27.05,149,46664,1263701,,INE714B01016,,,
500013,ANSAL INFRAS,B ,Q,15.3,15.7,15.2,15.25,15.2,15.35,103,21505,331691,,INE436A01026,,,
500014,APPLE FINANC,XD,Q,2.48,2.73,2.47,2.6,2.6,2.67,35,21077,54823,,INE096A01010,,,
500020,BOM DYEING  ,B ,Q,59.3,60.9,58.35,58.65,58.65,59.75,2239,461921,27464204,,INE032A01023,,,
500023,ASIANHOTNR  ,B ,Q,107,107,103.55,103.55,103.55,103,3,96,10109,,INE363A01022,,,
500024,ASSAMCO     ,T ,Q,7.02,7.02,7.02,7.02,7.02,6.69,173,392409,2754711,,INE442A01024,,,
500027,ATUL LTD.   ,A ,Q,2240.8,2300,2212.3,2224.3,2224.3,2254.45,235,1633,3653576,,INE100A01010,,,
500028,ATV PROJECTS,XT,Q,6.05,6.05,5.9,5.96,6,6.09,23,5660,34070,,INE447A01015,,,
500029,AUTOLITE(I) ,B ,Q,50.7,51.85,50.7,51.65,51.55,51.55,6,1100,56130,,INE448A01013,,,
500030,AUTORID.FIN ,B ,Q,1.05,1.05,1.05,1.05,1.05,1.09,2,2000,2100,,INE450A01019,,,
500031,BAJAJ ELECT.,A ,Q,262.5,264.95,260.25,261.45,261.45,257.65,508,16551,4348376,,INE193E01025,,,
500032,BAJAJHIND   ,B ,Q,15.03,15.05,14.45,14.64,14.64,15.07,1184,615737,9075441,,INE306A01021,,,
500033,FORCE MOTR  ,B ,Q,4289,4294,4175.15,4185.65,4185.65,4277.4,4149,44040,186169392,,INE451A01017,,,
500034,BAJFINANCE  ,A ,Q,1096,1104.5,1068.5,1079.2,1079.2,1095.65,2719,64270,69665811,,INE296A01024,,,
500038,BALRAM.CHINI,A ,Q,153.7,155.25,149.6,150.25,150.25,153.45,872,61412,9356286,,INE119A01028,,,
500039,BANCO PROD. ,B ,Q,206.35,206.35,201.4,202.75,202.75,206.4,584,19089,3885813,,INE213C01025,,,
500040,CENTURY TEXT,A ,Q,939.2,947.75,923.1,925.6,923.1,939.2,3175,289390,271850144,,INE055A01016,,,
500041,BANNARI AMAN,B ,Q,2125,2125,2060,2085.3,2060,2100,16,96,201921,,INE459A01010,,,
500042,BASF INDIA  ,B ,Q,1165,1170.75,1149.95,1158.9,1158.9,1175.15,735,5008,5797202,,INE373A01013,,,
