SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1210.1,1219.5,1189.05,1196,1196,1202.65,398,3349,4012556,,INE117A01022,23-May-18,,
500003,AEGIS LOGIS ,A ,Q,264,268.45,259.75,265.8,265.8,261.15,361,7386,1955895,,INE208C01025,23-May-18,,
500008,AMAR RAJA BA,A ,Q,802,816.8,779,783.6,783.6,799.9,735,18696,14921020,,INE885A01032,23-May-18,,
500009,A.SARABHAI  ,XT,Q,11.5,11.99,11.5,11.69,11.97,11.65,24,29260,339413,,INE432A01017,23-May-18,,
500010,HDFC        ,A ,Q,1806,1808.3,1780,1783.9,1783.9,1809.85,1395,31986,57269308,,INE001A01036,23-May-18,,
500012,ANDHRA PETRO,X ,Q,57.3,57.5,54.6,54.8,54.8,55.85,213,44031,2427224,,INE714B01016,23-May-18,,
500013,ANSAL INFRAS,B ,Q,15.85,16.3,15.5,15.6,15.65,15.75,84,24501,388119,,INE436A01026,23-May-18,,
500014,APPLE FINANC,XT,Q,2.15,2.15,2.15,2.15,2.15,2.15,1,400,860,,INE096A01010,23-May-18,,
500016,ARUNA HOTEL ,XT,Q,28.75,30.15,28.75,30.15,30.15,28.75,3,2000,57668,,INE957C01019,23-May-18,,
500020,BOM DYEING  ,A ,Q,262,264.15,256.05,257.7,257.7,262.2,2930,365130,95136004,,INE032A01023,23-May-18,,
500023,ASIANHOTNR  ,B ,Q,272.65,275.2,272,273.15,272,285.9,5,24,6560,,INE363A01022,23-May-18,,
500024,ASSAMCO     ,B ,Q,3.72,4.1,3.72,4,3.96,3.81,57,108367,433910,,INE442A01024,23-May-18,,
500027,ATUL LTD.   ,A ,Q,2844.7,2844.7,2772,2780.55,2772,2827.15,24,137,382473,,INE100A01010,23-May-18,,
