SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
936224,975JMFCSL28 ,F ,D,1025.5,1033.99,1025,1033.99,1033.99,1028,9,185,189874,,INE651J07622,24-Apr-19,,
936226,934JMFCS28  ,F ,D,989,989,989,989,989,990,2,5,4945,,INE651J07630,24-Apr-19,,
936228,893STFCL23  ,F ,D,988,988,982,988,988,979.88,5,125,123380,,INE721A07NT3,24-Apr-19,,
936236,94STFCL28   ,F ,D,1040,1040,1035,1035,1035,1040,2,200,207500,,INE721A07NX5,24-Apr-19,,
936244,945EFL21    ,F ,D,1030,1030,1030,1030,1030,1008,1,50,51500,,INE804I074Y7,24-Apr-19,,
936252,943EFL28    ,F ,D,970.05,970.9,970,970,970,969.75,26,4748,4607145,,INE804I078Y8,24-Apr-19,,
936254,985EFL28    ,F ,D,996.99,996.99,996.99,996.99,996.99,1005,1,25,24924,,INE804I079Y6,24-Apr-19,,
936278,884ICCL28   ,F ,D,900,900,900,900,900,885.85,2,40,36000,,INE244L07168,24-Apr-19,,
936282,92ICCL28    ,F ,D,1000,1000,1000,1000,1000,996.9,1,25,25000,,INE244L07184,24-Apr-19,,
936286,880TCFSL21  ,F ,D,1045.05,1045.11,1044.99,1045,1045,1048.99,12,1660,1734770,,INE306N07KD6,24-Apr-19,,
936290,890TCFSL23  ,F ,D,1048,1048,1048,1048,1048,1050,3,76,79648,,INE306N07KF1,24-Apr-19,,
936294,910TCFSL28  ,F ,D,1061.11,1061.11,1061.11,1061.11,1061.11,1061.13,1,200,212222,,INE306N08292,24-Apr-19,,
936314,96AHFL21    ,F ,D,1005,1005,1004,1005,1005,1005,6,217,218035,,INE538L07494,24-Apr-19,,
936356,MFL29NOV18  ,F ,D,1029,1030,1026.99,1027,1027,1027,6,310,318499,,INE522D07AG3,24-Apr-19,,
936368,MFL29NOV18A ,F ,D,1005,1005.04,1005,1005,1005,1008.3,9,700,703506,,INE522D07AM1,24-Apr-19,,
936376,10JMFCSL22  ,F ,D,1000.5,1000.5,994,995,995,1000,13,328,327732,,INE651J07648,24-Apr-19,,
936388,1020EFL22   ,F ,D,943.01,943.01,943.01,943.01,943.01,1014.77,1,8,7544,,INE804I075Z1,24-Apr-19,,
936390,EFL4JAN19   ,F ,D,992.62,992.62,992.62,992.62,992.62,995,1,5,4963,,INE804I076Z9,24-Apr-19,,
936392,995EFL24    ,F ,D,1005,1005,1002,1002,1002,1001,2,75,75225,,INE804I077Z7,24-Apr-19,,
936396,EFL4JAN19A  ,F ,D,1010,1010,1010,1010,1010,1010,1,10,10100,,INE804I079Z3,24-Apr-19,,
936398,1015EFL29   ,F ,D,1011,1013,1011,1013,1013,1007,3,130,131630,,INE804IA7014,24-Apr-19,,
936404,905MMFSL22  ,F ,D,1015,1015,1015,1015,1015,1015,2,10,10150,,INE774D07SS7,24-Apr-19,,
936408,915MMFSL24  ,F ,D,1025,1025,1003.01,1003.01,1003.01,1010,3,150,152650,,INE774D07SU3,24-Apr-19,,
936412,93MMFSL27   ,F ,D,1020.01,1025,1020.01,1024.99,1024.99,1017.5,10,480,491748,,INE774D07SW9,24-Apr-19,,
936416,95MMFSL29   ,F ,D,1022,1026,1022,1022.77,1022.5,1020,14,648,663429,,INE774D08MP4,24-Apr-19,,
936420,975SEFL22   ,F ,D,886,886,886,886,886,0,1,10,8860,,INE881J07FN5,24-Apr-19,,
936424,1025SEFL22  ,F ,D,954,954,900,900,900,960,3,25,23310,,INE881J07FP0,24-Apr-19,,
936456,94STFCL22   ,F ,D,1000,1005,998,1002.55,1002.55,1000,5,95,95128,,INE721A07OO2,24-Apr-19,,
936472,975IIFL24   ,F ,D,976,996,975.11,996,996,997,4,64,63460,,INE866I07CD6,24-Apr-19,,
936476,10IIFL29    ,F ,D,1000,1000,1000,1000,1000,985.01,4,300,300000,,INE866I08279,24-Apr-19,,
936478,1050IIFL29  ,F ,D,981.1,981.1,981.1,981.1,981.1,1000,1,5,4905,,INE866I08295,24-Apr-19,,
936480,935MFL22    ,F ,D,950.01,962.2,950.01,956,956,956,13,106,101363,,INE522D07AU4,24-Apr-19,,
936482,975MFL24    ,F ,D,1000,1000,1000,1000,1000,995,1,1,1000,,INE522D07AV2,24-Apr-19,,
936484,975MFL22A   ,F ,D,966,966,966,966,966,965,1,10,9660,,INE522D07AW0,24-Apr-19,,
936488,0MFL22      ,F ,D,960.05,960.05,960.05,960.05,960.05,956.3,1,10,9600,,INE522D07AY6,24-Apr-19,,
936490,0MFL24      ,F ,D,941.25,941.25,941.25,941.25,941.25,936,1,10,9412,,INE522D07AZ3,24-Apr-19,,
936492,0MFL26      ,F ,D,999,1000,999,1000,1000,971.11,2,41,40969,,INE522D07BA4,24-Apr-19,,
936494,1075ICFL21  ,F ,D,1000,1000,1000,1000,1000,999.5,5,30,30000,,INE614X07027,24-Apr-19,,
936496,0ICFL21A    ,F ,D,965.55,1000,965.55,1000,1000,985,8,320,319310,,INE614X07035,24-Apr-19,,
936504,1050ICFL24  ,F ,D,1025,1025,1020,1020,1020,1030,9,101,103164,,INE614X07076,24-Apr-19,,
936516,0LTFL22A    ,F ,D,1024,1024,1024,1024,1024,1010.06,1,8,8192,,INE027E07915,24-Apr-19,,
936520,925LTFL24   ,F ,D,1040,1044,1027.01,1035,1035,1033.45,4,68,70322,,INE027E07931,24-Apr-19,,
