SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,FILLER1,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1166.9,1169.95,1102.5,1132.15,1132.15,1176,5254,57060,65325400,,INE117A01022,,,
500003,AEGIS LOGIS ,B ,Q,137,140,137,139.15,139.15,136.15,890,60580,8396007,,INE208C01025,,,
500008,AMAR RAJA BA,A ,Q,908,912,901,906.95,904.65,904.3,716,12831,11634308,,INE885A01032,,,
500009,A.SARABHAI  ,XD,Q,9.67,9.67,9.01,9.07,9.05,9.58,142,55185,508118,,INE432A01017,,,
500010,HDFC        ,A ,Q,1220,1232.45,1219.15,1228.95,1230,1216.45,2866,57705,70796112,,INE001A01036,,,
500012,ANDHRA PETRO,XC,Q,26.75,26.75,25.1,26.4,26.5,26.35,455,159176,4156118,,INE714B01016,,,
500013,ANSAL INFRAS,B ,Q,15.4,15.74,15.1,15.2,15.3,15.5,222,48730,747306,,INE436A01026,,,
500014,APPLE FINANC,XD,Q,2.5,2.84,2.5,2.63,2.63,2.78,33,16510,42773,,INE096A01010,,,
500020,BOM DYEING  ,B ,Q,54.85,55.9,54.2,55,55,54.7,1801,289510,15943801,,INE032A01023,,,
500024,ASSAMCO     ,B ,Q,7.07,7.95,7.07,7.76,7.76,6.95,2645,2214496,16667626,,INE442A01024,,,
500027,ATUL LTD.   ,A ,Q,2092.85,2140,2089.8,2125.7,2125.7,2085,262,2749,5787721,,INE100A01010,,,
500028,ATV PROJECTS,XT,Q,6,6.45,6,6.34,6.34,6.23,39,7227,44403,,INE447A01015,,,
500029,AUTOLITE(I) ,B ,Q,53.95,55.35,53.2,54.3,54.3,52.55,80,7561,410971,,INE448A01013,,,
500030,AUTORID.FIN ,B ,Q,1.12,1.12,1.12,1.12,1.12,1.17,4,2150,2408,,INE450A01019,,,
500031,BAJAJ ELECT.,A ,Q,235,235,229.1,230.25,230.25,233.65,266,8156,1900427,,INE193E01025,,,
500032,BAJAJHIND   ,B ,Q,15.99,16.05,15.33,15.45,15.45,15.84,1861,1095847,17148742,,INE306A01021,,,
500033,FORCE MOTR  ,B ,Q,4434.9,4475.9,4362,4386,4386,4425.65,14127,180828,799005665,,INE451A01017,,,
500034,BAJFINANCE  ,A ,Q,905,908.25,891.85,895.65,895.65,899.9,4756,132396,118984149,,INE296A01024,,,
500038,BALRAM.CHINI,A ,Q,141.1,142.85,138.9,139.9,139.9,139.5,4856,564175,79567751,,INE119A01028,,,
500039,BANCO PROD. ,B ,Q,219.4,222.2,218.05,219.45,219.45,217.55,1519,93961,20682816,,INE213C01025,,,
500040,CENTURY TEXT,A ,Q,838.2,848.35,830.1,841.25,841.25,834.75,5639,601361,501664184,,INE055A01016,,,
500041,BANNARI AMAN,B ,Q,2031.95,2120.85,2030,2093.9,2081,2030.85,102,1299,2712584,,INE459A01010,,,
500042,BASF INDIA  ,B ,Q,1150.75,1193,1140,1170.1,1170.1,1146.35,566,3734,4374979,,INE373A01013,,,
500043,BATA INDIA  ,A ,Q,467,478.9,466.3,476.25,476.25,464.85,1368,27519,12976475,,INE176A01028,,,
500048,BEML LTD    ,A ,Q,1171.7,1230,1165,1218.8,1218.8,1170.5,18209,331707,402690831,,INE258A01016,,,
500049,BHARAT ELECT,A ,Q,1546,1549.5,1520,1526.2,1526.2,1512.7,6370,83213,127648108,,INE263A01016,,,
500052,BHANSALI ENG,B ,Q,24.35,25.15,23.8,24.85,24.85,23.85,2617,1047449,25754379,,INE922A01025,,,
500055,BHUSH STEEL ,B ,Q,43,47.2,43,44.2,44.2,42.7,3149,318135,14346337,,INE824B01021,,,
500058,BIHAR SPONGE,XT,Q,2.45,2.6,2.45,2.53,2.6,2.55,14,6255,15787,,INE819C01011,,,
500059,BINANI IND. ,B ,Q,75.2,78.4,74.1,76.2,76.2,74.4,589,34396,2639927,,INE071A01013,,,
500060,BIRLACABLE  ,B ,Q,39,40.7,38.8,40.25,40.25,39.2,65,14748,580333,,INE800A01015,,,
500067,BLUE STAR   ,B ,Q,492,499.9,492,495.75,496,492.9,56,640,317437,,INE472A01039,,,
500068,DISA INDIA  ,XC,Q,4289.9,4289.9,4289.9,4289.9,4289.9,4289.9,1,1,4289,,INE131C01011,,,
500069,BNK CAPITAL ,XD,Q,36,38,36,38,38,38,6,359,13640,,INE418C01012,,,
500074,BPL LTD.    ,B ,Q,68,69.5,67.1,67.5,67.5,67.75,699,70305,4807616,,INE110A01019,,,
500078,CAMPH.& ALL ,XC,Q,715,716,710,711.75,710,715.1,32,637,454055,,INE959C01015,,,
500083,CENTURY EXT ,B ,Q,6.37,6.63,6.29,6.63,6.63,6.32,49,29634,192127,,INE281A01026,,,
500084,CESC LTD.   ,A ,Q,657.6,670,656.25,667,667,657.55,1985,38574,25625676,,INE486A01013,,,
500085,CHAMBAL FERT,B ,Q,84.4,84.5,81.4,82.15,82.15,83.45,1975,240047,19826866,,INE085A01013,,,
500086,EXIDE IND.  ,A ,Q,183.9,186.95,183.85,186.45,186.6,183.2,1939,76000,14116425,,INE302A01020,,,
500087,CIPLA LTD.  ,A ,Q,576.05,579.4,570,577.85,577.85,575.65,2326,71030,40853045,,INE059A01026,,,
500089,DIC INDIA   ,B ,Q,494.15,504,481,495,495,500.2,52,962,479656,,INE303A01010,,,
500092,CRISIL LTD  ,A ,Q,2236.2,2244,2195,2216,2214.85,2234.05,215,791,1750573,,INE007A01025,,,
500093,CROMPT.GREAV,A ,Q,62.35,62.7,61.85,62.2,62.2,61.95,1633,432594,26945183,,INE067A01029,,,
500096,DABUR (I)   ,A ,Q,277.95,279.5,276.15,277.5,278,277.1,1662,59211,16454518,,INE016A01026,,,
500097,DALMIASUG   ,B ,Q,162,163.1,155.2,161.25,161.25,160.3,1796,97011,15549752,,INE495A01022,,,
500101,ARVIND Ltd  ,A ,Q,363.3,367.8,359.75,363.1,363.1,362.75,3498,146942,53372174,,INE034A01011,,,
500102,BALARPUR IND,B ,Q,15.95,16.5,15.8,16.25,16.25,15.75,734,389407,6302700,,INE294A01037,,,
500103,BHEL        ,A ,Q,129,129.9,128.4,128.85,128.85,128.2,3157,463179,59826086,,INE257A01026,,,
500104,HIND.PETRO  ,A ,Q,479.85,492.75,477,490.1,490.1,478,4952,193158,93971464,,INE094A01015,,,
500106,IFCI LTD    ,A ,Q,28.15,28.35,27.9,28.05,28.05,28.15,1734,797753,22422729,,INE039A01010,,,
500108,MAHA.TELE   ,B ,Q,20.5,20.55,19.85,19.95,19.95,20.2,1021,332882,6706467,,INE153A01019,,,
500109,MRPL        ,A ,Q,112.55,113.25,110.65,111.2,111.2,112.2,1854,154131,17234859,,INE103A01014,,,
500110,CHENNAI PET.,B ,Q,335.7,339.9,326.6,328.5,328.5,334.25,3318,143334,47555262,,INE178A01016,,,
500111,REL.CAP.    ,A ,Q,449.1,458.2,449.1,455,455,448.65,5282,275617,125196607,,INE013A01015,,,
500112,STATE BANK  ,A ,Q,248.1,253.15,248.1,251.9,251.9,247.85,14185,2441459,613226808,,INE062A01020,,,
500113,STEEL AUTH. ,A ,Q,53.1,56.6,53.1,56.1,56.1,52.85,7731,1938958,107547227,,INE114A01011,,,
500114,TITAN       ,A ,Q,361.75,365.45,358.25,360.35,360.35,361.75,1458,41911,15163831,,INE280A01028,,,
500116,IDBI BANK L ,A ,Q,74.2,74.9,73.65,74.1,73.95,73.45,1874,403670,29987080,,INE008A01015,,,
500117,DCW LTD.    ,B ,Q,31.3,32.2,31.3,31.9,31.9,31.4,577,174066,5537801,,INE500A01029,,,
500119,DHAMPUR SUGA,B ,Q,172.8,173.95,163.15,165.25,165.25,173.05,3430,253370,42391950,,INE041A01016,,,
500120,DIAMINES&CHM,XD,Q,58.2,61.35,58.2,60.15,60.15,58.6,46,5992,357950,,INE591D01014,,,
500123,ELANTAS     ,B ,Q,1793.05,1802,1763.65,1799.55,1800,1793.35,43,740,1330712,,INE280B01018,,,
500124,DR.REDDY'S  ,A ,Q,3075,3075,3025.15,3047.35,3047.35,3048.35,2579,23030,70231309,,INE089A01023,,,
500125,E.I.D.PAR   ,A ,Q,288.65,289.7,279.05,282.2,282.2,285.65,1522,64946,18336409,,INE126A01031,,,
500126,MERCK LTD   ,B ,Q,969,974.2,960,970.55,971.85,965.9,303,2352,2280231,,INE199A01012,,,
500128,ELEC.CASTING,B ,Q,26.05,26.9,25.45,26.25,26.25,25.75,791,243897,6423535,,INE086A01029,,,
500132,EMPEE SUGARS,XD,Q,7.99,7.99,7.29,7.5,7.7,7.49,44,9133,68972,,INE928B01012,,,
500133,ESAB INDIA  ,B ,Q,568,573.8,568,573.8,573.8,564.15,2,7,4010,,INE284A01012,,,
500135,ESSEL PROP  ,B ,Q,246.55,247.6,243.65,246.9,246.9,246.9,133,2822,694794,,INE255A01020,,,
500136,ESTER INDUS.,B ,Q,45.25,48,45.1,46.1,46.1,44.55,1715,103515,4829883,,INE778B01029,,,
500139,FEDDER.LLYOD,B ,Q,69.45,73.2,69.35,71.65,71.65,68.65,1564,127817,9173027,,INE249C01011,,,
500141,FERRO ALLOYS,XD,Q,8.29,8.29,7.83,8.02,8.01,8.05,78,56836,460250,,INE912A01026,,,
500142,FGP LTD.    ,XD,Q,1.83,1.86,1.83,1.86,1.86,1.91,3,600,1113,,INE512A01016,,,
500143,P.H.CAPITAL ,XT,Q,51.75,51.75,51.75,51.75,51.75,51,13,71,3674,,INE160F01013,,,
500144,FINOL. CABLE,A ,Q,418.9,424.9,415,416.9,415.05,415,345,2933,1227266,,INE235A01022,,,
500147,CMI FPE     ,XC,Q,434,460,434,442.6,449.95,442,40,1078,479176,,INE515A01019,,,
500148,UFLEX LTD   ,B ,Q,284.7,288,282.45,284.05,284.05,283.25,456,13711,3900873,,INE516A01017,,,
500150,FOSECO INDIA,B ,Q,1319,1359,1319,1350.9,1350.9,1293.55,44,189,252306,,INE519A01011,,,
500151,GOLDEN TOB  ,B ,Q,65.65,66.9,65.65,66.05,66.25,66.3,75,4202,278803,,INE973A01010,,,
