DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
04092020|500002|000004247|0000000004025095|000006125|0000000005860717|069.34
04092020|500003|000024121|0000000005105210|000034250|0000000007189525|070.43
04092020|500008|000003888|0000000002886452|000015486|0000000011519439|025.11
04092020|500009|000060444|0000000001372079|000077791|0000000001830533|077.70
04092020|500010|000075395|0000000133449150|000173775|0000000308438763|043.39
04092020|500012|000084299|0000000002419896|000084299|0000000002419896|100.00
04092020|500013|000010617|0000000000046291|000012397|0000000000053640|085.64
04092020|500014|000001535|0000000000001858|000001608|0000000000001816|095.46
04092020|500020|000043234|0000000002872900|000156043|0000000010509300|027.71
04092020|500023|000000377|0000000000023374|000000379|0000000000023898|099.47
04092020|500027|000001131|0000000006913973|000002311|0000000014116090|048.94
04092020|500028|000155888|0000000000627770|000155888|0000000000627770|100.00
04092020|500029|000003221|0000000000072795|000003269|0000000000072970|098.53
04092020|500031|000007551|0000000003698858|000015866|0000000007867216|047.59
04092020|500032|000329777|0000000001889623|000546686|0000000003145092|060.32
04092020|500033|000010852|0000000012168891|000037434|0000000042547855|028.99
04092020|500034|000016042|0000000057686230|000146095|0000000525573549|010.98
04092020|500038|000013321|0000000002060759|000039160|0000000006105837|034.02
04092020|500039|000014212|0000000001313189|000030540|0000000002849055|046.54
04092020|500040|000044772|0000000015611997|000135073|0000000047973321|033.15
04092020|500041|000000181|0000000000246160|000000250|0000000000342451|072.40
04092020|500042|000002250|0000000003349350|000004642|0000000006928534|048.47
04092020|500043|000008393|0000000011326354|000036649|0000000050111728|022.90
04092020|500048|000006489|0000000004375209|000015478|0000000010481323|041.92
04092020|500049|000155592|0000000016547210|000355819|0000000037915297|043.73
04092020|500052|000092188|0000000005475968|000150785|0000000009097157|061.14
04092020|500055|000072817|0000000001802221|000132224|0000000003312985|055.07
04092020|500058|000006491|0000000000004365|000006491|0000000000004365|100.00
04092020|500060|000006972|0000000000396707|000012102|0000000000684682|057.61
04092020|500067|000007792|0000000004834547|000011897|0000000007403361|065.50
04092020|500068|000000113|0000000000402557|000000122|0000000000432450|092.62
