Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,14062023,1238105369,0002236"
"Trade Date <14-JUN-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,120,AKZOINDIA,EQ,8700,5407,62.15"
"20,121,ALANKIT,EQ,173183,113764,65.69"
"20,122,ALBERTDAVD,EQ,6554,3894,59.41"
"20,123,ALEMBICLTD,EQ,319925,160498,50.17"
"20,124,ALICON,EQ,10959,6402,58.42"
"20,125,ALKALI,EQ,26213,15227,58.09"
"20,126,ALKEM,EQ,123537,80422,65.10"
"20,127,ALKYLAMINE,EQ,89325,37370,41.84"
"20,128,ALLCARGO,EQ,344796,174846,50.71"
"20,129,ALLETEC,SM,33600,25600,76.19"
"20,130,ALLSEC,EQ,3156,2902,91.95"
"20,131,ALMONDZ,EQ,31269,13513,43.22"
"20,132,ALOKINDS,EQ,13200845,3921801,29.71"
"20,133,ALPA,EQ,48486,25081,51.73"
"20,134,ALPHAGEO,EQ,3449,2429,70.43"
"20,135,AMARAJABAT,EQ,288346,169955,58.94"
"20,136,AMBER,EQ,80720,51344,63.61"
"20,137,AMBICAAGAR,EQ,163266,106926,65.49"
"20,138,AMBIKCO,EQ,11598,6340,54.66"
"20,139,AMBUJACEM,EQ,4260531,2639624,61.96"
"20,140,AMDIND,EQ,31770,22593,71.11"
"20,141,AMIABLE,SM,3200,3200,100.00"
"20,142,AMIORG,EQ,194873,105660,54.22"
"20,143,AMJLAND,EQ,23022,18806,81.69"
"20,144,AMRUTANJAN,EQ,44946,25947,57.73"
"20,145,ANANDRATHI,EQ,24471,13668,55.85"
"20,146,ANANTRAJ,EQ,1422710,846919,59.53"
"20,147,ANDHRAPAP,EQ,43687,28588,65.44"
"20,148,ANDHRSUGAR,EQ,124659,82908,66.51"
"20,149,ANDREWYU,EQ,383856,165004,42.99"
"20,150,ANGELONE,EQ,407508,130306,31.98"
"20,151,ANIKINDS,EQ,51928,26453,50.94"
"20,152,ANLON,SM,21600,19200,88.89"
"20,153,ANMOL,EQ,48438,25092,51.80"
"20,154,ANNAPURNA,SM,28000,24000,85.71"
"20,155,ANTGRAPHIC,EQ,226494,156617,69.15"
"20,156,ANUP,EQ,26244,14664,55.88"
"20,157,ANURAS,EQ,946799,275266,29.07"
"20,158,APARINDS,EQ,56680,30496,53.80"
"20,159,APCL,EQ,10117,6523,64.48"
"20,160,APCOTEXIND,EQ,298209,128011,42.93"
"20,161,APEX,EQ,48420,31185,64.41"
"20,162,APLAPOLLO,EQ,973603,488020,50.13"
"20,163,APLLTD,EQ,52258,26224,50.18"
"20,164,APOLLO,EQ,457343,399365,87.32"
"20,165,APOLLOHOSP,EQ,360156,169735,47.13"
"20,166,APOLLOPIPE,EQ,226915,84733,37.34"
"20,167,APOLLOTYRE,EQ,861858,289124,33.55"
"20,168,APOLSINHOT,EQ,1615,1256,77.77"
"20,169,APTECHT,EQ,527005,174829,33.17"
"20,170,APTUS,EQ,291919,192069,65.80"
"20,171,ARCHIDPLY,EQ,290010,163162,56.26"
"20,172,ARCHIES,EQ,507325,292566,57.67"
"20,173,ARHAM,SM,12000,12000,100.00"
"20,174,ARIES,EQ,142318,43146,30.32"
"20,175,ARIHANTACA,SM,3200,3200,100.00"
"20,176,ARIHANTCAP,EQ,94787,54204,57.19"
"20,177,ARIHANTSUP,EQ,127385,35662,28.00"
"20,178,ARMANFIN,EQ,10523,6867,65.26"
"20,179,AROGRANITE,EQ,65814,33975,51.62"
"20,180,ARROWGREEN,EQ,41740,18074,43.30"
"20,181,ARTEMISMED,EQ,217138,132402,60.98"
"20,182,ARTNIRMAN,EQ,9097,6145,67.55"
"20,183,ARVEE,EQ,737,543,73.68"
"20,184,ARVIND,EQ,1469289,830018,56.49"
"20,185,ARVINDFASN,EQ,406099,209342,51.55"
"20,186,ARVSMART,EQ,229624,78896,34.36"
"20,187,ASAHIINDIA,EQ,233054,133964,57.48"
"20,188,ASAHISONG,EQ,5406,3049,56.40"
"20,189,ASAL,EQ,15530,9539,61.42"
"20,190,ASALCBR,EQ,30592,19485,63.69"
"20,191,ASCOM,SM,500,500,100.00"
"20,192,ASHAPURMIN,EQ,192403,112100,58.26"
"20,193,ASHIANA,EQ,269074,111077,41.28"
"20,194,ASHIMASYN,EQ,45337,36842,81.26"
"20,195,ASHOKA,EQ,1039977,655455,63.03"
"20,196,ASHOKLEY,EQ,7894967,3699871,46.86"
"20,197,ASIANPAINT,EQ,741615,421829,56.88"
"20,198,ASIANTILES,EQ,1663552,315511,18.97"
"20,199,ASPINWALL,EQ,129967,58951,45.36"
"20,200,ASTEC,EQ,8483,4422,52.13"
"20,201,ASTERDM,EQ,2275173,779154,34.25"
"20,202,ASTRAL,EQ,701708,347990,49.59"
"20,203,ASTRAMICRO,EQ,253502,144208,56.89"
"20,204,ASTRAZEN,EQ,41001,23299,56.83"
"20,205,ASTRON,EQ,37310,22985,61.61"
"20,206,ATALREAL,EQ,291816,80286,27.51"
"20,207,ATFL,EQ,10747,8598,80.00"
"20,208,ATGL,EQ,1048074,706621,67.42"
"20,209,ATLANTA,EQ,38013,22231,58.48"
"20,210,ATUL,EQ,114104,31328,27.46"
"20,211,ATULAUTO,EQ,95841,46516,48.53"
"20,212,AUBANK,EQ,1691498,1174765,69.45"
"20,213,AUROIMPEX,SM,163200,112000,68.63"
"20,214,AUROPHARMA,EQ,918389,364504,39.69"
"20,215,AURUM,EQ,141113,92220,65.35"
"20,216,AURUMPP,E1,28803,25646,89.04"
"20,217,AUSOMENT,EQ,3886,2447,62.97"
"20,218,AUTOAXLES,EQ,16358,9995,61.10"
"20,219,AUTOBEES,EQ,27145,20921,77.07"
"20,220,AUTOIND,EQ,33416,25855,77.37"
"20,221,AVADHSUGAR,EQ,39128,18471,47.21"
"20,222,AVALON,EQ,290891,183728,63.16"
"20,223,AVANTIFEED,EQ,139854,86981,62.19"
"20,224,AVG,EQ,85218,36565,42.91"
"20,225,AVONMORE,EQ,34930,27423,78.51"
"20,226,AVROIND,EQ,89644,54943,61.29"
"20,227,AVTNPL,EQ,56541,41818,73.96"
"20,228,AWHCL,EQ,63911,37061,57.99"
"20,229,AWL,EQ,922993,497277,53.88"
"20,230,AXISBANK,EQ,8644423,4897363,56.65"
"20,231,AXISBNKETF,EQ,7512,7294,97.10"
"20,232,AXISBPSETF,EQ,56157,55595,99.00"
"20,233,AXISCADES,EQ,49354,30981,62.77"
"20,234,AXISCETF,EQ,1979,1792,90.55"
"20,235,AXISGOLD,EQ,611187,596188,97.55"
"20,236,AXISHCETF,EQ,1507,716,47.51"
"20,237,AXISILVER,EQ,2214,1357,61.29"
"20,238,AXISNIFTY,EQ,2688,1970,73.29"
"20,239,AXISTECETF,EQ,4205,3569,84.88"
"20,240,AXITA,EQ,560707,339819,60.61"
"20,241,AXSENSEX,EQ,12836,12298,95.81"
"20,242,AYMSYNTEX,EQ,7027,4823,68.64"
"20,243,BAGFILMS,EQ,80997,65897,81.36"
"20,244,BAIDFIN,EQ,1685110,272765,16.19"
"20,245,BAJAJ-AUTO,EQ,191238,107774,56.36"
"20,246,BAJAJCON,EQ,360202,176462,48.99"
"20,247,BAJAJELEC,EQ,189072,89250,47.20"
"20,248,BAJAJFINSV,EQ,763762,395264,51.75"
"20,249,BAJAJHCARE,EQ,139343,81554,58.53"
"20,250,BAJAJHIND,EQ,12350499,4844748,39.23"
"20,251,BAJAJHLDNG,EQ,20170,8617,42.72"
"20,252,BAJFINANCE,EQ,401520,153404,38.21"
"20,253,BALAJITELE,EQ,91353,64585,70.70"
"20,254,BALAMINES,EQ,82724,40449,48.90"
"20,255,BALAXI,EQ,4720,3360,71.19"
"20,256,BALKRISHNA,EQ,73396,48640,66.27"
"20,257,BALKRISIND,EQ,184903,58284,31.52"
"20,258,BALMLAWRIE,EQ,369158,216784,58.72"
"20,259,BALPHARMA,EQ,6947,4315,62.11"
"20,260,BALRAMCHIN,EQ,1974161,939306,47.58"
"20,261,BANARBEADS,EQ,32950,12431,37.73"
"20,262,BANARISUG,EQ,1783,824,46.21"
"20,263,BANCOINDIA,EQ,149981,75972,50.65"
"20,264,BANDHANBNK,EQ,8555576,3861950,45.14"
"20,265,BANG,EQ,5478,3175,57.96"
"20,266,BANKA,EQ,15704,10008,63.73"
"20,267,BANKBARODA,EQ,12464768,5469249,43.88"
"20,268,BANKBEES,EQ,158235,97013,61.31"
"20,269,BANKINDIA,EQ,3568679,1661900,46.57"
"20,270,BANSWRAS,EQ,543325,244800,45.06"
"20,271,BARBEQUE,EQ,117744,57678,48.99"
"20,272,BASF,EQ,6384,3362,52.66"
"20,273,BASML,EQ,89579,59530,66.46"
"20,274,BATAINDIA,EQ,537832,241727,44.94"
"20,275,BAYERCROP,EQ,59511,38527,64.74"
"20,276,BBETF0432,EQ,1699,1642,96.65"
"20,277,BBL,EQ,10950,4368,39.89"
"20,278,BBOX,EQ,37950,29188,76.91"
"20,279,BBTC,EQ,379166,79271,20.91"
"20,280,BBTCL,EQ,18817,10142,53.90"
"20,281,BCG,EQ,65264648,24498485,37.54"
"20,282,BCLIND,EQ,78544,43372,55.22"
"20,283,BDL,EQ,375547,157867,42.04"
"20,284,BECTORFOOD,EQ,82706,44139,53.37"
"20,285,BEDMUTHA,EQ,8757,4985,56.93"
"20,286,BEL,EQ,8660080,4907575,56.67"
"20,287,BEML,EQ,62406,23632,37.87"
"20,288,BEPL,EQ,583920,246007,42.13"
"20,289,BERGEPAINT,EQ,860464,296783,34.49"
"20,290,BESTAGRO,EQ,61702,34305,55.60"
"20,291,BETA,SM,2400,2400,100.00"
"20,292,BEWLTD,SM,1000,1000,100.00"
"20,293,BFINVEST,EQ,51822,25997,50.17"
"20,294,BFUTILITIE,EQ,378017,103025,27.25"
"20,295,BGRENERGY,EQ,112169,51767,46.15"
"20,296,BHAGCHEM,EQ,18850,15819,83.92"
"20,297,BHAGERIA,EQ,55461,32904,59.33"
"20,298,BHAGYANGR,EQ,286592,176608,61.62"
"20,299,BHANDARI,EQ,197946,136934,69.18"
"20,300,BHARATFORG,EQ,346936,200501,57.79"
"20,301,BHARATGEAR,EQ,37441,23080,61.64"
"20,302,BHARATRAS,EQ,1265,772,61.03"
"20,303,BHARATWIRE,EQ,328961,173122,52.63"
"20,304,BHARTIARTL,EQ,5108720,3175889,62.17"
"20,305,BHEL,EQ,12406707,4986575,40.19"
"20,306,BIGBLOC,EQ,51968,29352,56.48"
"20,307,BIKAJI,EQ,304059,142145,46.75"
"20,308,BIL,EQ,54183,21128,38.99"
"20,309,BIOCON,EQ,1976055,1259120,63.72"
"20,310,BIOFILCHEM,EQ,15856,10305,64.99"
"20,311,BIRET,RR,62179,53637,86.26"
"20,312,BIRLACABLE,EQ,122249,45694,37.38"
"20,313,BIRLACORPN,EQ,112191,58404,52.06"
"20,314,BIRLAMONEY,EQ,67361,35868,53.25"
"20,315,BLAL,EQ,607013,346901,57.15"
"20,316,BLBLIMITED,EQ,171214,101826,59.47"
"20,317,BLISSGVS,EQ,389717,274799,70.51"
"20,318,BLKASHYAP,EQ,515190,327381,63.55"
"20,319,BLS,EQ,11389011,4515301,39.65"
"20,320,BLUECOAST,EQ,14494,11871,81.90"
"20,321,BLUEDART,EQ,8376,4666,55.71"
"20,322,BLUESTARCO,EQ,185784,120894,65.07"
"20,323,BMETRICS,SM,3600,3600,100.00"
"20,324,BODALCHEM,EQ,1266214,455583,35.98"
"20,325,BOHRAIND,EQ,43,34,79.07"
"20,326,BOMDYEING,EQ,1939572,797660,41.13"
"20,327,BOROLTD,EQ,227931,100871,44.26"
"20,328,BORORENEW,EQ,265640,107749,40.56"
"20,329,BOSCHLTD,EQ,9755,4517,46.30"
"20,330,BPCL,EQ,3357184,1495161,44.54"
"20,331,BPL,EQ,282694,88738,31.39"
"20,332,BRIGADE,EQ,192002,73946,38.51"
"20,333,BRIGHT,SM,327000,255000,77.98"
"20,334,BRITANNIA,EQ,234174,157856,67.41"
"20,335,BRITANNIA,N3,2591,2434,93.94"
"20,336,BRNL,EQ,87545,41485,47.39"
"20,337,BROOKS,EQ,19819,13868,69.97"
"20,338,BSE,EQ,854661,279190,32.67"
"20,339,BSL,EQ,16553,6709,40.53"
"20,340,BSLGOLDETF,EQ,276502,211429,76.47"
"20,341,BSLNIFTY,EQ,838685,781036,93.13"
"20,342,BSLSENETFG,EQ,905,611,67.51"
"20,343,BSOFT,EQ,1179052,408692,34.66"
"20,344,BURNPUR,EQ,126977,89592,70.56"
"20,345,BUTTERFLY,EQ,11294,6262,55.45"
"20,346,BYKE,EQ,19257,12640,65.64"
"20,347,CAMLINFINE,EQ,273387,184831,67.61"
"20,348,CAMPUS,EQ,361969,163581,45.19"
"20,349,CAMS,EQ,40801,24940,61.13"
"20,350,CANBK,EQ,6079409,2152079,35.40"
"20,351,CANFINHOME,EQ,494588,188876,38.19"
"20,352,CANTABIL,EQ,26693,13022,48.78"
"20,353,CAPACITE,EQ,3146341,1289512,40.98"
"20,354,CAPLIPOINT,EQ,55913,33644,60.17"
"20,355,CAPTRUST,EQ,13433,6944,51.69"
"20,356,CARBORUNIV,EQ,308266,230734,74.85"
"20,357,CAREERP,EQ,76589,42035,54.88"
"20,358,CARERATING,EQ,63927,40209,62.90"
"20,359,CARTRADE,EQ,100696,44610,44.30"
"20,360,CARYSIL,EQ,170155,64621,37.98"
"20,361,CASTROLIND,EQ,981915,641013,65.28"
"20,362,CCHHL,EQ,32719,20733,63.37"
"20,363,CCL,EQ,108835,47794,43.91"
"20,364,CDSL,EQ,9877180,4862549,49.23"
"20,365,CEATLTD,EQ,201886,73571,36.44"
"20,366,CELEBRITY,EQ,65112,46419,71.29"
"20,367,CENTENKA,EQ,39238,24945,63.57"
"20,368,CENTEXT,EQ,108790,70255,64.58"
"20,369,CENTRALBK,EQ,2416180,1073544,44.43"
"20,370,CENTRUM,EQ,183862,114859,62.47"
"20,371,CENTUM,EQ,41976,20718,49.36"
"20,372,CENTURYPLY,EQ,97792,47963,49.05"
"20,373,CENTURYTEX,EQ,96793,63606,65.71"
"20,374,CERA,EQ,27815,12080,43.43"
"20,375,CESC,EQ,2205349,1275801,57.85"
"20,376,CGCL,EQ,205293,34130,16.63"
"20,377,CGPOWER,EQ,1358222,1115000,82.09"
"20,378,CHALET,EQ,50295,25367,50.44"
"20,379,CHAMBLFERT,EQ,4960960,2787368,56.19"
"20,380,CHEMBOND,EQ,27735,14648,52.81"
"20,381,CHEMCON,EQ,67551,32713,48.43"
"20,382,CHEMFAB,EQ,18232,9495,52.08"
"20,383,CHEMPLASTS,EQ,116809,38234,32.73"
"20,384,CHENNPETRO,EQ,1413715,406402,28.75"
"20,385,CHEVIOT,EQ,1038,655,63.10"
"20,386,CHOICEIN,EQ,615387,72024,11.70"
"20,387,CHOLAFIN,EQ,2229661,1706806,76.55"
"20,388,CHOLAFIN,N0,6,3,50.00"
"20,389,CHOLAFIN,N4,61,30,49.18"
"20,390,CHOLAFIN,N5,2,1,50.00"
"20,391,CHOLAHLDNG,EQ,46014,26897,58.45"
"20,392,CIGNITITEC,EQ,172496,121120,70.22"
