SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,FILLER1,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1230,1269.75,1225,1261.85,1256.8,1225.65,3066,23906,29794305,,INE117A01022,,,
500003,AEGIS LOGIS ,B ,Q,184.5,203.45,180.35,200.65,200.65,182.45,6859,430118,83565843,,INE208C01025,,,
500008,AMAR RAJA BA,A ,Q,885,890,871,872.6,872.6,880.3,1279,18177,15940323,,INE885A01032,,,
500009,A.SARABHAI  ,XD,Q,9.45,9.45,9.1,9.1,9.1,9.12,38,28566,260345,,INE432A01017,,,
500010,HDFC        ,A ,Q,1409.5,1409.5,1383.35,1388.4,1388.4,1399.55,2641,39534,55008407,,INE001A01036,,,
500012,ANDHRA PETRO,XC,Q,25.5,25.5,24.05,24.5,24.6,24.65,111,44922,1100444,,INE714B01016,,,
500013,ANSAL INFRAS,B ,Q,16.2,16.25,15.8,15.8,15.8,16.2,155,25864,410708,,INE436A01026,,,
500014,APPLE FINANC,XD,Q,2.51,2.98,2.51,2.91,2.88,2.72,79,36829,106339,,INE096A01010,,,
500020,BOM DYEING  ,B ,Q,59.45,62.1,58.75,60.2,60.2,58.5,6430,1147750,69604857,,INE032A01023,,,
500023,ASIANHOTNR  ,B ,Q,106,106,103.8,103.8,103.8,108.7,2,37,3845,,INE363A01022,,,
500024,ASSAMCO     ,T ,Q,6.98,6.98,6.7,6.71,6.71,6.79,128,112034,755435,,INE442A01024,,,
500027,ATUL LTD.   ,A ,Q,2325,2364.95,2285.5,2299.25,2299.25,2320.6,269,2083,4808247,,INE100A01010,,,
500028,ATV PROJECTS,XT,Q,5.86,6.43,5.86,6.35,6.43,6.14,24,7173,44946,,INE447A01015,,,
500029,AUTOLITE(I) ,B ,Q,53.35,53.35,52.35,52.55,52.55,53.2,10,1028,54368,,INE448A01013,,,
500030,AUTORID.FIN ,B ,Q,1.12,1.12,1.12,1.12,1.12,1.17,2,1800,2016,,INE450A01019,,,
500031,BAJAJ ELECT.,A ,Q,263,272,263,270.15,270.15,262.3,1636,61986,16599913,,INE193E01025,,,
500032,BAJAJHIND   ,B ,Q,15.75,16.44,15.64,15.79,15.79,15.82,2077,1215254,19487971,,INE306A01021,,,
500033,FORCE MOTR  ,B ,Q,4250.5,4274.85,4201,4212.05,4212.05,4232.5,2780,30623,129762272,,INE451A01017,,,
500034,BAJFINANCE  ,A ,Q,1043.3,1058.2,1039.05,1053.75,1053.75,1041.75,2487,54339,57036778,,INE296A01024,,,
500038,BALRAM.CHINI,A ,Q,153.2,156.5,150.8,153.5,153.8,153.5,1345,146738,22580063,,INE119A01028,,,
500039,BANCO PROD. ,B ,Q,198.5,201.9,198.05,200.75,201.9,198.15,830,51497,10280468,,INE213C01025,,,
500040,CENTURY TEXT,A ,Q,936,937.85,917.05,927,927,929.55,2944,118695,110185145,,INE055A01016,,,
500041,BANNARI AMAN,B ,Q,2300,2300,2230.9,2243.85,2231,2318.25,29,129,291435,,INE459A01010,,,
500042,BASF INDIA  ,B ,Q,1154.9,1164.85,1140.05,1153.25,1156,1151.2,218,1198,1381417,,INE373A01013,,,
500043,BATA INDIA  ,A ,Q,512,513,487.6,499.65,499.65,508.3,4468,122896,61645999,,INE176A01028,,,
500048,BEML LTD    ,A ,Q,1337,1345.75,1300,1308.45,1304.5,1329.75,5707,123388,163489762,,INE258A01016,,,
500049,BHARAT ELECT,A ,Q,1564,1567.35,1541.25,1543.65,1543.65,1564.25,788,15543,24117767,,INE263A01016,,,
500052,BHANSALI ENG,B ,Q,23.15,23.7,23.05,23.15,23.15,23.15,466,165205,3870775,,INE922A01025,,,
500055,BHUSH STEEL ,B ,Q,58.75,59,55.8,56.8,56.8,58.15,2172,198576,11445900,,INE824B01021,,,
500058,BIHAR SPONGE,XT,Q,3,3,2.78,2.89,2.89,2.9,19,6900,19227,,INE819C01011,,,
500059,BINANI IND. ,B ,Q,82.8,82.95,80.7,81.15,81.05,81.85,225,10911,893164,,INE071A01013,,,
500060,BIRLACABLE  ,B ,Q,43.2,44,43.2,43.2,43.2,48,207,45123,1955029,,INE800A01015,,,
500067,BLUE STAR   ,B ,Q,557,559,545.85,552.05,550.6,555.8,234,2379,1313288,,INE472A01039,,,
500068,DISA INDIA  ,XC,Q,4725,4725,4725,4725,4725,4500,42,257,1214325,,INE131C01011,,,
500069,BNK CAPITAL ,XD,Q,42,44.9,42,44.65,44.65,42.8,42,6349,281699,,INE418C01012,,,
500074,BPL LTD.    ,B ,Q,65.85,67.2,65,65.3,65.3,65.5,489,63829,4219228,,INE110A01019,,,
500078,CAMPH.& ALL ,XC,Q,722.95,723,710,716.65,719,712.3,24,1505,1076253,,INE959C01015,,,
500083,CENTURY EXT ,B ,Q,6,6.45,6,6.41,6.41,5.87,85,43382,274495,,INE281A01026,,,
500084,CESC LTD.   ,A ,Q,827.4,849.1,810,841.25,841.25,827.4,7543,159791,132537189,,INE486A01013,,,
500085,CHAMBAL FERT,B ,Q,81.3,83.7,79,80.05,80.05,80.65,3260,420927,34311861,,INE085A01013,,,
