Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,02012023,874219990,0002215"
"Trade Date <02-JAN-2023>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,116,AMJLAND,EQ,30351,20620,67.94"
"20,117,AMJUMBO,SM,8000,8000,100.00"
"20,118,AMRUTANJAN,EQ,18642,12319,66.08"
"20,119,ANANDRATHI,EQ,9193,4609,50.14"
"20,120,ANANTRAJ,EQ,3368115,1272564,37.78"
"20,121,ANDHRAPAP,EQ,19315,9072,46.97"
"20,122,ANDHRSUGAR,EQ,80899,30431,37.62"
"20,123,ANDREWYU,EQ,349202,193650,55.46"
"20,124,ANGELONE,EQ,216569,73914,34.13"
"20,125,ANIKINDS,EQ,79999,42065,52.58"
"20,126,ANKITMETAL,EQ,142941,111560,78.05"
"20,127,ANMOL,EQ,3071,2292,74.63"
"20,128,ANNAPURNA,SM,76000,64000,84.21"
"20,129,ANTGRAPHIC,EQ,514178,330642,64.30"
"20,130,ANUP,EQ,25300,7676,30.34"
"20,131,ANURAS,EQ,35735,23192,64.90"
"20,132,APARINDS,EQ,85504,29949,35.03"
"20,133,APCL,EQ,19548,13115,67.09"
"20,134,APCOTEXIND,EQ,20735,8587,41.41"
"20,135,APEX,EQ,60823,27227,44.76"
"20,136,APLAPOLLO,EQ,371517,131985,35.53"
"20,137,APLLTD,EQ,150760,123235,81.74"
"20,138,APOLLO,EQ,409959,231380,56.44"
"20,139,APOLLOHOSP,EQ,246577,41504,16.83"
"20,140,APOLLOPIPE,EQ,19220,8332,43.35"
"20,141,APOLLOTYRE,EQ,1011815,297591,29.41"
"20,142,APOLSINHOT,EQ,672,374,55.65"
"20,143,APTECHT,EQ,629361,245285,38.97"
"20,144,APTUS,EQ,58580,24648,42.08"
"20,145,ARCHIDPLY,EQ,41830,25375,60.66"
"20,146,ARCHIES,EQ,35504,26271,73.99"
"20,147,ARENTERP,EQ,4268,2234,52.34"
"20,148,ARHAM,SM,204000,168000,82.35"
"20,149,ARIES,EQ,1810958,283855,15.67"
"20,150,ARIHANTACA,ST,448000,337600,75.36"
"20,151,ARIHANTCAP,EQ,336773,106651,31.67"
"20,152,ARIHANTSUP,EQ,47206,14501,30.72"
"20,153,ARMANFIN,EQ,5179,3578,69.09"
"20,154,AROGRANITE,EQ,11012,7528,68.36"
"20,155,ARROWGREEN,EQ,5274,3178,60.26"
"20,156,ARSHIYA,EQ,35568,35568,100.00"
"20,157,ARTEMISMED,EQ,207789,125041,60.18"
"20,158,ARTNIRMAN,EQ,37468,21229,56.66"
"20,159,ARVIND,EQ,817683,332074,40.61"
"20,160,ARVINDFASN,EQ,199060,64638,32.47"
