Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,25102022,1008109209,0002083"
"Trade Date <25-OCT-2022>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,114,APEX,EQ,42811,22818,53.30"
"20,115,APLAPOLLO,EQ,167079,83529,49.99"
"20,116,APLLTD,EQ,118085,56077,47.49"
"20,117,APOLLOHOSP,EQ,474364,280183,59.06"
"20,118,APOLLOPIPE,EQ,20885,9689,46.39"
"20,119,APOLLOTYRE,EQ,2651663,721385,27.21"
"20,120,APOLSINHOT,EQ,8803,4782,54.32"
"20,121,APTECHT,EQ,119580,53986,45.15"
"20,122,APTUS,EQ,162117,72033,44.43"
"20,123,ARCHIDPLY,EQ,35170,20655,58.73"
"20,124,ARCHIES,EQ,53865,35343,65.61"
"20,125,ARENTERP,EQ,1920,1051,54.74"
"20,126,ARIES,EQ,22136,11688,52.80"
"20,127,ARIHANTCAP,EQ,257444,146868,57.05"
"20,128,ARIHANTSUP,EQ,39061,19419,49.71"
"20,129,ARMANFIN,EQ,3412,2284,66.94"
"20,130,AROGRANITE,EQ,7443,3972,53.37"
"20,131,ARSHIYA,EQ,248447,184712,74.35"
"20,132,ARTEMISMED,EQ,25771,16592,64.38"
"20,133,ARTNIRMAN,EQ,5207,5207,100.00"
"20,134,ARVEE,EQ,193,113,58.55"
"20,135,ARVIND,EQ,620276,386979,62.39"
"20,136,ARVINDFASN,EQ,378083,165482,43.77"
"20,137,ARVSMART,EQ,93391,52851,56.59"
"20,138,ASAHIINDIA,EQ,32213,17495,54.31"
"20,139,ASAHISONG,EQ,4367,2905,66.52"
"20,140,ASAL,EQ,23827,10448,43.85"
"20,141,ASALCBR,EQ,21973,12872,58.58"
"20,142,ASHAPURMIN,EQ,72990,38356,52.55"
"20,143,ASHIANA,EQ,13146,9474,72.07"
"20,144,ASHIMASYN,EQ,45231,33095,73.17"
"20,145,ASHOKA,EQ,549714,427738,77.81"
"20,146,ASHOKLEY,EQ,10144571,4752686,46.85"
"20,147,ASIANENE,EQ,57256,37467,65.44"
"20,148,ASIANHOTNR,EQ,2713,1976,72.83"
"20,149,ASIANPAINT,EQ,1016316,688691,67.76"
"20,150,ASIANTILES,EQ,208640,136166,65.26"
"20,151,ASLIND,SM,4000,4000,100.00"
"20,152,ASPINWALL,EQ,16486,9226,55.96"
"20,153,ASTEC,EQ,20636,10045,48.68"
"20,154,ASTERDM,EQ,381175,138322,36.29"
"20,155,ASTRAL,EQ,267260,118544,44.36"
"20,156,ASTRAMICRO,EQ,313554,106403,33.93"
"20,157,ASTRAZEN,EQ,7734,4121,53.28"
"20,158,ASTRON,EQ,68722,37478,54.54"
"20,159,ATALREAL,SM,297600,129600,43.55"
"20,160,ATFL,EQ,31437,27741,88.24"
"20,161,ATGL,EQ,216330,80963,37.43"
"20,162,ATUL,EQ,26437,13182,49.86"
"20,163,ATULAUTO,EQ,527735,162472,30.79"
"20,164,AUBANK,EQ,1469741,564965,38.44"
"20,165,AURIONPRO,EQ,24090,12123,50.32"
"20,166,AUROPHARMA,EQ,747337,351397,47.02"
"20,167,AURUMPP,X1,1869,1624,86.89"
"20,168,AUSOMENT,EQ,5292,5071,95.82"
"20,169,AUTOAXLES,EQ,3887,2218,57.06"
"20,170,AUTOBEES,EQ,47446,23318,49.15"
"20,171,AUTOIND,EQ,49167,32601,66.31"
"20,172,AVADHSUGAR,EQ,23605,12485,52.89"
"20,173,AVANTIFEED,EQ,194358,102027,52.49"
"20,174,AVG,SM,6000,6000,100.00"
"20,175,AVROIND,EQ,20176,7608,37.71"
"20,176,AVSL,SM,3000,3000,100.00"
"20,177,AVTNPL,EQ,237747,95889,40.33"
"20,178,AWHCL,EQ,53578,34612,64.60"
"20,179,AWL,EQ,1075083,471754,43.88"
"20,180,AXISBANK,EQ,13187308,6703489,50.83"
"20,181,AXISBNKETF,EQ,963,604,62.72"
"20,182,AXISBPSETF,EQ,8922,5419,60.74"
"20,183,AXISCADES,EQ,824223,327325,39.71"
"20,184,AXISCETF,EQ,660,305,46.21"
