Security Wise Delivery Position - Compulsory Rolling Settlement
"10,MTO,17122020,1033177324,0001790"
"Trade Date <17-DEC-2020>,Settlement Type <N>"
"Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity"
"20,112,ARROWGREEN,EQ,15836,8824,55.72"
"20,113,ARSHIYA,EQ,24693,16167,65.47"
"20,114,ARSSINFRA,EQ,48501,36216,74.67"
"20,115,ARVIND,EQ,8369098,3013498,36.01"
"20,116,ARVINDFASN,EQ,1228927,670074,54.53"
"20,117,ARVSMART,EQ,491655,193838,39.43"
"20,118,ASAHIINDIA,EQ,33920,23951,70.61"
"20,119,ASAHISONG,EQ,95280,54039,56.72"
"20,120,ASAL,EQ,7689,5118,66.56"
"20,121,ASALCBR,EQ,40751,26537,65.12"
"20,122,ASHAPURMIN,EQ,228559,172459,75.45"
"20,123,ASHIANA,EQ,47082,30374,64.51"
"20,124,ASHOKA,EQ,1051455,500421,47.59"
"20,125,ASHOKLEY,EQ,36614005,8660740,23.65"
"20,126,ASIANHOTNR,EQ,59633,37924,63.60"
"20,127,ASIANPAINT,EQ,1750663,729270,41.66"
"20,128,ASIANTILES,EQ,125905,39617,31.47"
"20,129,ASLIND,SM,436000,436000,100.00"
"20,130,ASPINWALL,EQ,8652,7062,81.62"
"20,131,ASTEC,EQ,75574,48223,63.81"
"20,132,ASTERDM,EQ,366649,192312,52.45"
"20,133,ASTRAL,EQ,139176,98354,70.67"
"20,134,ASTRAMICRO,EQ,429937,177442,41.27"
"20,135,ASTRAZEN,EQ,22347,10687,47.82"
"20,136,ASTRON,EQ,523382,222634,42.54"
"20,137,ATFL,EQ,35549,22142,62.29"
"20,138,ATLANTA,EQ,25598,16500,64.46"
"20,139,ATUL,EQ,32185,17529,54.46"
"20,140,ATULAUTO,EQ,131322,93165,70.94"
"20,141,AUBANK,EQ,449284,224629,50.00"
"20,142,AURIONPRO,EQ,28659,23782,82.98"
"20,143,AUROPHARMA,EQ,1696633,649333,38.27"
"20,144,AUSOMENT,EQ,8233,6267,76.12"
"20,145,AUTOAXLES,EQ,32010,16684,52.12"
"20,146,AUTOIND,EQ,30793,23909,77.64"
"20,147,AUTOLITIND,EQ,7624,5779,75.80"
"20,148,AVADHSUGAR,EQ,187723,94626,50.41"
"20,149,AVANTIFEED,EQ,190434,97830,51.37"
"20,150,AVTNPL,EQ,1980997,888574,44.85"
"20,151,AXISBANK,EQ,14598759,6115570,41.89"
"20,152,AXISBNKETF,EQ,175,141,80.57"
"20,153,AXISCADES,EQ,176128,99092,56.26"
"20,154,AXISGOLD,EQ,112858,76320,67.62"
"20,155,AXISNIFTY,EQ,4016,3557,88.57"
"20,156,BAJAJ-AUTO,EQ,678073,250577,36.95"
"20,157,BAJAJCON,EQ,679431,357784,52.66"
"20,158,BAJAJELEC,EQ,162777,88071,54.11"
"20,159,BAJAJFINSV,EQ,550738,52926,9.61"
"20,160,BAJAJHIND,EQ,8303662,5595815,67.39"
"20,161,BAJAJHLDNG,EQ,37227,13233,35.55"
"20,162,BAJFINANCE,EQ,3733152,426956,11.44"
"20,163,BALAJITELE,EQ,198669,81828,41.19"
"20,164,BALAMINES,EQ,61792,26514,42.91"
"20,165,BALAXI,EQ,1413,910,64.40"
"20,166,BALKRISIND,EQ,804946,468376,58.19"
"20,167,BALMLAWRIE,EQ,152676,84608,55.42"
"20,168,BALRAMCHIN,EQ,2839483,800893,28.21"
"20,169,BANARBEADS,EQ,173570,70785,40.78"
"20,170,BANARISUG,EQ,2167,955,44.07"
"20,171,BANCOINDIA,EQ,264370,95663,36.19"
"20,172,BANDHANBNK,EQ,5443407,1400038,25.72"
"20,173,BANG,EQ,139228,79399,57.03"
"20,174,BANKA,EQ,56450,47427,84.02"
"20,175,BANKBARODA,EQ,39697753,8022045,20.21"
"20,176,BANKBEES,EQ,558799,223674,40.03"
"20,177,BANKINDIA,EQ,3262585,1087051,33.32"
"20,178,BANSWRAS,EQ,48575,41359,85.14"
"20,179,BASF,EQ,53145,22144,41.67"
"20,180,BASML,EQ,211793,124693,58.87"
"20,181,BATAINDIA,EQ,747963,251441,33.62"
"20,182,BAYERCROP,EQ,21111,12169,57.64"
"20,183,BBL,EQ,15603,7879,50.50"
"20,184,BBTC,EQ,66660,28490,42.74"
"20,185,BBTCL,SM,108000,57000,52.78"
"20,186,BCG,EQ,5139904,4389385,85.40"
"20,187,BCONCEPTS,SM,15000,9000,60.00"
"20,188,BDL,EQ,112014,60713,54.20"
"20,189,BEARDSELL,EQ,7757,5816,74.98"
"20,190,BEDMUTHA,EQ,86687,59996,69.21"
"20,191,BEL,EQ,18747412,4870098,25.98"
"20,192,BEML,EQ,3051779,608519,19.94"
"20,193,BEPL,EQ,449892,244803,54.41"
"20,194,BERGEPAINT,EQ,1906903,313442,16.44"
"20,195,BETA,SM,1600,1600,100.00"
"20,196,BFINVEST,EQ,34193,16010,46.82"
"20,197,BFUTILITIE,EQ,283761,113240,39.91"
"20,198,BHAGERIA,EQ,62320,36371,58.36"
"20,199,BHAGYANGR,EQ,169842,81062,47.73"
"20,200,BHAGYAPROP,EQ,58226,30491,52.37"
"20,201,BHANDARI,EQ,519447,328182,63.18"
"20,202,BHARATFORG,EQ,2079622,702615,33.79"
"20,203,BHARATRAS,EQ,1424,819,57.51"
"20,204,BHARATWIRE,EQ,25856,17958,69.45"
