SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,FILLER1,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1230,1230,1190,1194.25,1194.25,1223.3,914,6336,7600868,,INE117A01022,,,
500003,AEGIS LOGIS ,B ,Q,193,197.75,188.15,195.2,194.75,192.15,2663,130388,25200892,,INE208C01025,,,
500008,AMAR RAJA BA,A ,Q,875,875.7,858,860.3,860.3,868.85,913,11762,10140472,,INE885A01032,,,
500009,A.SARABHAI  ,XD,Q,9.02,9.49,8.95,9,9.18,9.29,45,25908,236488,,INE432A01017,,,
500010,HDFC        ,A ,Q,1394.25,1403.6,1388.55,1398.2,1398.2,1394.2,1174,39494,55075280,,INE001A01036,,,
500012,ANDHRA PETRO,XC,Q,28.25,28.9,27.65,28.6,28.6,26.95,747,345801,9845513,,INE714B01016,,,
500013,ANSAL INFRAS,B ,Q,15.75,15.75,15,15.1,15.05,15.6,298,64787,986706,,INE436A01026,,,
500014,APPLE FINANC,XD,Q,3,3,2.69,2.93,2.94,2.84,22,10067,28958,,INE096A01010,,,
500020,BOM DYEING  ,B ,Q,59.7,59.7,56.8,57.25,57.25,58.5,1060,199501,11513897,,INE032A01023,,,
500024,ASSAMCO     ,T ,Q,6.22,6.69,6.22,6.6,6.55,6.38,220,209890,1386376,,INE442A01024,,,
500027,ATUL LTD.   ,A ,Q,2300.05,2314.4,2272.4,2288.85,2272.55,2293.2,149,790,1817923,,INE100A01010,,,
500028,ATV PROJECTS,XT,Q,6,6.07,6,6,6,6.31,22,8865,53355,,INE447A01015,,,
500029,AUTOLITE(I) ,B ,Q,51.9,52.2,51.9,52.2,52.2,52.5,2,105,5451,,INE448A01013,,,
500031,BAJAJ ELECT.,A ,Q,265.5,265.5,256,257,256,264.4,244,7478,1944631,,INE193E01025,,,
500032,BAJAJHIND   ,B ,Q,15.35,15.75,15,15.08,15.08,15.69,1616,930777,14188186,,INE306A01021,,,
500033,FORCE MOTR  ,B ,Q,4272.9,4279.15,4170,4184.1,4184.1,4256.05,3129,26549,111836821,,INE451A01017,,,
500034,BAJFINANCE  ,A ,Q,1064.95,1068.5,1054.2,1058.7,1056,1058.25,1997,348980,369520358,,INE296A01024,,,
500038,BALRAM.CHINI,A ,Q,155.65,156,153.7,154.15,154.15,154.9,871,80911,12523762,,INE119A01028,,,
500039,BANCO PROD. ,B ,Q,198,199.4,194.6,197.65,197.5,198.75,286,19789,3923130,,INE213C01025,,,
500040,CENTURY TEXT,A ,Q,925,929.35,908.05,910.3,910,923.4,1553,72782,66592945,,INE055A01016,,,
500041,BANNARI AMAN,B ,Q,2270,2290,2171,2250.65,2250,2179.55,47,275,623607,,INE459A01010,,,
500042,BASF INDIA  ,B ,Q,1172.95,1173.05,1140,1145.05,1145.05,1172.55,162,916,1057656,,INE373A01013,,,
500043,BATA INDIA  ,A ,Q,497.6,504.9,493.1,501.5,501.5,495.3,1827,42563,21319652,,INE176A01028,,,
500048,BEML LTD    ,A ,Q,1287,1320.7,1276,1289.45,1289.45,1286.2,5388,119090,154839026,,INE258A01016,,,
500049,BHARAT ELECT,A ,Q,1533,1542,1507.95,1510.5,1510.5,1525.55,2276,39068,59531266,,INE263A01016,,,
500052,BHANSALI ENG,B ,Q,22.7,23,22.65,22.7,22.8,22.7,372,119310,2719752,,INE922A01025,,,
