Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,,
Ahluwalia Contr.,532811,AHLUCONT,Construction,793,1331.2,5300.8,,
ICRA,532835,ICRA,Miscellaneous,5500,897.47,5296.62,,
Strides Pharma,532531,STAR,Pharmaceuticals - Indian - Bulk Drugs & Formln,575.2,2053.51,5291.43,,
GHCL,500171,GHCL,Chemicals,551.85,2747.45,5275.36,,
PTC India,532524,PTC,Trading,178.05,5098.33,5274.72,,
AGI Greenpac,500187,AGI,Packaging,810.7,1693.84,5251.72,,
Ramky Infra,533262,RAMKY,Construction,756.95,1621.34,5244.46,,
VST Industries,509966,VSTIND,Cigarettes,3355.4,1108.88,5187.35,,
Arvind Fashions.,542484,ARVINDFASN,Trading,390.1,904.4,5182.67,,
FEDBANK FIN. SER,544027,FEDFINA,Finance & Investments,140.5,1496.34,5180.29,,
Kesoram Inds.,502937,KESORAMIND,Cement - North India,165.85,381.87,5155.74,,
Sansera Enginee.,543358,SANSERA,Auto Ancillaries,962.7,1262.48,5153.46,,
Kennametal India,505890,,Castings & Forgings,2344.7,688.3,5153.24,,505890
Shriram Pistons,,SHRIPISTON,Auto Ancillaries,1158.75,1734.11,5104.27,,
Cyient DLM,543933,CYIENTDLM,Electronics - Components,640.6,889.72,5083.78,,
Aurionpro Sol.,532668,AURIONPRO,Computers - Software - Medium / Small,2034.4,578.51,5063.79,,
Health.Global,539787,HCG,Healthcare,362.5,857.77,5057.17,,
Suprajit Engg.,532509,SUPRAJIT,Auto Ancillaries,361.9,1272.02,5013.28,,
Lloyds Engineeri,539992,LLOYDSENGG,Engineering,43.8,261.81,5011.16,,
Dodla Dairy,543306,DODLA,Food - Processing - Indian,828.4,1051.77,4935.22,,
Heidelberg Cem.,500292,HEIDELBERG,Cement - North India,217.3,1390.88,4929.69,,
Protean eGov,544021,,Computers - Software - Medium / Small,1218.1,882.72,4926.81,,544021
JP Associates,532532,JPASSOCIAT,Construction,19.95,-1678.03,4899.15,,
Gateway Distri,543489,GATEWAY,Miscellaneous,97.85,1813.65,4881.74,,
Prudent Corp.,543527,PRUDENT,Finance & Investments,1169.45,401.93,4863.75,,
Lloyds Enterpris,512463,,Trading,38.15,1438.63,4853.16,,512463
Rain Industries,500339,RAIN,Trading,144.15,8521.31,4846.85,,
Orient Electric,541301,ORIENTELEC,Domestic Appliances,227.1,615.26,4844.51,,
Orient Cement,535754,ORIENTCEM,Cement - South India,236.2,1644.47,4843.92,,
MAS FINANC SER,540749,MASFIN,Finance & Investments,879.7,1644.66,4813.42,,
KPI Green Energy,542323,KPIGREEN,Power Generation And Supply,1277.3,324.95,4808.63,,
Privi Speci.,530117,PRIVISCL,Chemicals,1224.9,853.93,4808.58,,
West Coast Paper,500444,WSTCSTPAPR,Paper,724.45,2961.79,4790.05,,
Rattanindia Pow.,533122,RTNPOWER,Power Generation And Supply,8.9,-5715.36,4779.4,,
Team Lease Serv.,539658,TEAMLEASE,Miscellaneous,2844.65,741.81,4771.82,,
Kewal Kir.Cloth.,532732,KKCL,Textiles - Products,774.05,618.01,4769.8,,
Force Motors,500033,FORCEMOT,Automobiles - LCVs / HCVs,3613.85,2025.65,4763.05,,
Rallis India,500355,RALLIS,Pesticides / Agrochemicals - Indian,241.7,1826,4701.23,,
Indbull.RealEst.,532832,IBREALEST,Construction,86.3,3044.42,4671.26,,
Max Estates,544008,MAXESTATES,Construction,313.35,1174.92,4613.97,,
Dhanuka Agritech,507717,DHANUKA,Pesticides / Agrochemicals - Indian,1010.95,1186.89,4610.35,,
ITD Cem,509496,ITDCEM,Construction,268.2,1325.63,4608.91,,
Tilaknagar Inds.,507205,TI,Breweries & Distilleries,237.95,569.33,4576.73,,
Wonderla Holiday,538268,WONDERLA,Recreation / Amusement Parks,806.95,1033.19,4564.91,,
Hinduja Global,532859,HGS,Computers - Software - Medium / Small,981.85,7329.73,4564.67,,
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,495.4,1115.26,4508.15,,
Jayaswal Neco,522285,JAYNECOIND,Castings & Forgings,46.35,2175.78,4505.2,,
Greenpanel Inds.,542857,GREENPANEL,Miscellaneous,366.85,1272.41,4494.44,,
Patel Engineerin,531120,PATELENG,Construction,58,2952.74,4483.42,,
Sindhu Trade,532029,SINDHUTRAD,Miscellaneous,29.1,1351.06,4479.98,,
D B Corp,533151,DBCORP,Entertainment / Electronic Media Software,249.5,2015.55,4440.5,,
Tips Industries,532375,TIPSINDLTD,Entertainment / Electronic Media Software,342.7,183.2,4426.02,,
Choice Intl.,531358,CHOICEIN,Finance & Investments,439.8,535.99,4385.44,,
Tinplate Co.,504966,TINPLATE,Mining / Minerals / Metals,417.35,1230.8,4373.9,,
Rossari Biotech,543213,ROSSARI,Chemicals,787.35,978.28,4347.98,,
Hind.Construct.,500185,HCC,Construction,28.6,-655.41,4327.26,,
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,477.65,1657.52,4324.41,,
La Opala RG,526947,LAOPALA,Glass & Glass Products,387.85,828.03,4305.7,,
Ethos Ltd,543532,ETHOSLTD,Trading,1838.15,667.61,4294.98,,
Pricol Ltd,540293,PRICOLLTD,Auto Ancillaries,352.4,768.74,4289.09,,
NOCIL,500730,NOCIL,Chemicals,256.5,1650.6,4274.47,,
Orissa Minerals,590086,ORISSAMINE,Mining / Minerals / Metals,7107.35,-25.79,4262.78,,
Jain Irrigation,500219,JISLJALEQS,Plastics Products,62.7,5383.88,4249.93,,
Jamna Auto Inds.,520051,JAMNAAUTO,Auto Ancillaries,106.55,835.71,4249.56,,
TD Power Systems,533553,TDPOWERSYS,Electric Equipment,271.5,655.34,4234.88,,
Welspun Enterp,532553,WELENT,Construction,305.65,2180.03,4229.98,,
Puravankara,532891,PURVA,Construction,178.05,1958.17,4213.54,,
Hemisphere Prop,543242,HEMIPROP,Construction,147.15,362.22,4188.37,,
Paisalo Digital,532900,PAISALO,Finance & Investments,93.3,1247.47,4186.33,,
Aditya Vision,540205,,Trading,3464.55,178.32,4167.33,,540205
Steel Str. Wheel,513262,SSWL,Auto Ancillaries,262.45,1223.37,4123.3,,
SpiceJet,500285,,Transport - Airlines,60.23,-5666.24,4120.58,,500285
IRB InvIT Fund,540526,IRBINVIT,Construction,70.42,4700.03,4086.14,,
Datamatics Glob.,532528,DATAMATICS,Computers - Software - Medium / Small,690.25,1126.03,4070.82,,
Advanced Enzyme,540025,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,363.65,1248.29,4066.49,,
Sai Silks,543989,KALAMANDIR,Trading,262.45,997.66,4024.36,,
Ami Organics,543349,AMIORG,Pharmaceuticals - Indian - Bulk Drugs,1083.8,630.51,3999.74,,
India Pesticides,543311,IPL,Pesticides / Agrochemicals - Indian,346.7,802.29,3994.98,,
IIFL Securities,542773,IIFLSEC,Finance & Investments,129.85,1535.38,3970.3,,
Nucleus Soft.,531209,NUCLEUS,Computers - Software - Medium / Small,1472.2,688.71,3962.15,,
Hawkins Cookers,508486,,Domestic Appliances,7488.2,279.18,3961.26,,508486
L G Balakrishnan,500250,LGBBROSLTD,Auto Ancillaries,1262.2,1470.3,3960.87,,
Banco Products,500039,BANCOINDIA,Auto Ancillaries,553.55,1047.34,3953.53,,
Lux Industries,539542,LUXIND,Textiles - Composite,1311.85,1490.51,3949.07,,
Time Technoplast,532856,TIMETECHNO,Plastics Products,173.4,2366.1,3942.53,,
DCB Bank,532772,DCBBANK,Banks - Private Sector,126.15,4566.53,3938.79,,
Borosil,543212,BOROLTD,Glass & Glass Products,344.9,914.84,3937.45,,
JTL Industries,534600,JTLIND,Steel - Medium / Small,229.8,477.13,3919.57,,
Black Box,500463,BBOX,Computers - Software - Medium / Small,232.25,351.2,3894.8,,
Shanthi Gears,522034,SHANTIGEAR,Auto Ancillaries,507.1,326.72,3891.35,,
Neogen Chemicals,542665,NEOGEN,Chemicals,1474.9,496.53,3889.35,,
Sula Vineyards,543711,SULA,Breweries & Distilleries,459.35,552.88,3875.88,,
Kirl.Pneumatic,505283,KIRLPNU,Compressors / Drilling Equipment,597.8,819.06,3857.87,,
TARC Ltd,543249,TARC,Construction,130.7,1359.76,3850.16,,
V-Mart Retail,534976,VMART,Trading,1945.95,762.99,3841.83,,
Rajratan Global,517522,RAJRATAN,Steel - Medium / Small,749.6,451.87,3816.19,,
Ashoka Buildcon,533271,ASHOKA,Engineering - Turnkey Services,135.45,1934.42,3805.02,,
Flair Writing,544030,FLAIR,Printing & Stationery,360.55,489.07,3799.52,,
Thangamayil Jew.,533158,THANGAMAYL,Diamond Cutting / Jewellery,1381.25,447.47,3786.14,,
Ashapura Minech.,527001,ASHAPURMIN,Mining / Minerals / Metals,410.75,803.46,3784.93,,
Fineotex Chem,533333,FCL,Chemicals,339.8,398.79,3767.94,,
Natl.Fertilizer,523630,NFL,Fertilizers,76.75,2197.55,3766.11,,
Sharda Cropchem,538666,SHARDACROP,Pesticides / Agrochemicals - Indian,416.6,2088.66,3755.15,,
Brightcom Group,532368,BCG,Computers - Software - Medium / Small,18.6,7000.91,3749.56,,
Hathway Cable,533162,HATHWAY,Entertainment / Electronic Media Software,21.2,4226.97,3749.39,,
Epigral,543332,EPIGRAL,Chlor Alkali / Soda Ash,899.7,1128.7,3740.7,,
Bharat Rasayan,590021,BHARATRAS,Pesticides / Agrochemicals - Indian,8941.5,909.29,3714,,
IFB Industries,505726,IFBIND,Domestic Appliances,914.85,687.08,3709.96,,
Delta Corp,532848,DELTACORP,Recreation / Amusement Parks,138.25,2348.21,3703.2,,
Va Tech Wabag,533269,WABAG,Engineering,594.95,1678.3,3700.61,,
I T D C,532189,ITDC,Hotels,430.8,359.39,3691.78,,
Sunflag Iron,500404,SUNFLAG,Steel - Medium / Small,204.55,4740.99,3686.39,,
Kolte Patil Dev.,532924,KOLTEPATIL,Construction,484.65,1038.21,3685.77,,
Hikal,524735,HIKAL,Pharmaceuticals - Indian - Bulk Drugs,297.1,1145.26,3664.48,,
HMA Agro Inds.,543929,HMAAGRO,Food - Processing - Indian,727.5,669.73,3649.42,,
Tatva Chintan,543321,TATVA,Chemicals,1556.05,727.36,3638.88,,
Nirlon,500307,,Construction,401.6,404.94,3619.22,,500307
Tasty Bite Eat.,519091,TASTYBITE,Food - Processing - Indian,14004.3,278.29,3594.56,,
HLE Glascoat,522215,HLEGLAS,Engineering,525.05,344.25,3592.61,,
Subros,517168,SUBROS,Auto Ancillaries,549.45,898.96,3585.33,,
MSTC,542597,MSTCLTD,Trading,507.4,894.4,3578.03,,
ESAF Small Fin,544020,ESAFSFB,Banks - Private Sector,68.5,1715,3529.11,,
J Kumar Infra,532940,JKIL,Construction,467.3,2460.55,3528.04,,
Harsha Engg Intl,543600,HARSHA,Auto Ancillaries,388.1,1111.77,3525.88,,
JTEKT India,520057,JTEKTINDIA,Auto Ancillaries,143.35,734.16,3511.61,,
Samhi Hotels,543984,SAMHI,Hotels,161.15,1078.18,3509.5,,
Hindware Home In,542905,HINDWAREAP,Trading,484.45,591.26,3501.34,,
Indoco Remedies,532612,INDOCO,Pharmaceuticals - Indian - Bulk Drugs & Formln,379.35,1068.34,3498.3,,
Bajaj Hindusthan,500032,BAJAJHIND,Sugar,27.35,4230.19,3493.58,,
Sudarshan Chem.,506655,SUDARSCHEM,Dyes And Pigments,501.25,1102.39,3473.33,,
Orchid Pharma,524372,ORCHPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,683.7,1107.84,3466.69,,
Sharda Motor,535602,SHARDAMOTR,Auto Ancillaries,1164.9,865.01,3458.12,,
Dish TV India,532839,DISHTV,Entertainment / Electronic Media Software,18.8,-764.49,3456.66,,
TVS Srichakra,509243,TVSSRICHAK,Tyres,4505.75,1074.21,3451.96,,
Waaree Renewab.,534618,,Engineering - Turnkey Services,1641.75,112.78,3419.74,,534618
Kaveri Seed Co.,532899,KSCL,Miscellaneous,610.25,1656,3413.17,,
Kovai Medical,523323,KOVAI,Healthcare,3115.9,781.1,3408.8,,
Cartrade Tech,543333,CARTRADE,Miscellaneous,728.1,2029.48,3394.41,,
eMudhra,543533,EMUDHRA,Computers - Software - Medium / Small,433.9,418.24,3392.57,,
Sanghvi Movers,530073,SANGHVIMOV,Miscellaneous,779.4,903.32,3379.6,,
Ideaforge Tech,543932,IDEAFORGE,Engineering,810.55,631.47,3379.4,,
Avalon Tech,543896,AVALON,Electronics - Components,515,533.01,3373.75,,
Kirloskar Indus.,500243,KIRLOSIND,Finance & Investments,3403.1,4056.53,3367.83,,
KDDL Ltd,532054,KDDL,Miscellaneous,2673.95,503.84,3352.62,,
Saksoft,590051,SAKSOFT,Computers - Software - Medium / Small,317.75,454.39,3348.04,,
Nilkamal Ltd,523385,NILKAMAL,Plastics Products,2231.8,1342.63,3332.34,,
SG Mart,512329,,Trading,8322.3,157.39,3328.92,,512329
Sagar Cements,502090,SAGCEM,Cement - South India,251.9,1581.55,3302.11,,
Sanghi Industrie,526521,SANGHIIND,Cement - North India,127.65,1330.98,3293.83,,
Pilani Invest.,539883,PILANIINVS,Finance & Investments,2977.5,12634.1,3292.32,,
DCX Systems,543650,DCXINDIA,Electronics - Components,338.1,592.64,3269.78,,
Dalmia Bharat,500097,DALMIASUG,Sugar,403.65,2936.64,3267.55,,
Maithan Alloys,590078,MAITHANALL,Mining / Minerals / Metals,1119.1,2908.71,3264.33,,
Thyrocare Tech.,539871,THYROCARE,Healthcare,614,472.41,3256.14,,
Automotive Axles,505010,AUTOAXLES,Auto Ancillaries,2154.3,793.36,3255.44,,
VST Till. Tract.,531266,VSTTILLERS,Automobiles - Tractors,3754.65,871.76,3244.85,,
Shalby,540797,SHALBY,Healthcare,299.9,963.83,3244.24,,
Navneet Educat.,508989,NAVNETEDUL,Printing & Stationery,142.25,1273.36,3227.95,,
Uflex,500148,UFLEX,Packaging,446.55,7214.51,3226.3,,
Sundaram Fin.Hol,,SUNDARMHLD,Finance & Investments,145.15,3977.97,3223.84,,
Landmark Cars,543714,LANDMARK,Trading,779.05,497.28,3201.32,,
Bannari Amm.Sug.,500041,BANARISUG,Sugar,2552.6,1599.25,3199.74,,
Gulf Oil Lubric.,538567,GULFOILLUB,Chemicals,649.2,1201.19,3186.27,,
Polyplex Corpn,524051,POLYPLEX,Packaging,1011.5,3467.52,3175.82,,
WPIL,505872,,Engineering - Turnkey Services,3251.25,857,3175.52,,505872
Yatharth Hospit.,543950,YATHARTH,Healthcare,369.8,806.48,3174.33,,
Tata Metaliks,513434,TATAMETALI,Steel - Medium / Small,1002.9,1611.4,3167.36,,
Ganesh Housing,526367,GANESHHOUC,Construction,377.7,1336.91,3151.53,,
Garware Hi Tech,500655,GRWRHITECH,Packaging,1343.1,1926.3,3121.48,,
Greaves Cotton,501455,GREAVESCOT,Engines,133.75,1374.3,3104.11,,
Shilpa Medicare,530549,SHILPAMED,Pharmaceuticals - Indian - Formulations,357,1783.47,3102.6,,
Prime Focus,532748,PFOCUS,Entertainment / Electronic Media Software,103.1,493.89,3093.86,,
Shivalik Bimetal,513097,SBCL,Electronics - Components,535.35,290.69,3084.69,,
Balmer Lawrie,523319,BALMLAWRIE,Diversified - Large,179.75,1658.23,3072.18,,
Gufic BioScience,509079,GUFICBIO,Pharmaceuticals - Indian - Bulk Drugs & Formln,305.1,390.67,3057.01,,
Bajaj Consumer,533229,BAJAJCON,Personal Care - Indian,214.2,801.21,3055.05,,
GMR Urban,543490,GMRP&UI,Engineering - Turnkey Services,50.55,-3109.54,3045.22,,
Divgi Torq,543812,DIVGIITTS,Auto Ancillaries,989.7,562.17,3022.38,,
Johnson Con. Hit,523398,JCHAC,Air-conditioners,1096.65,562.4,3007.39,,
SEPC,532945,SEPC,Engineering - Turnkey Services,21.35,1147.37,3005.32,,
Bombay Dyeing,500020,BOMDYEING,Textiles - Manmade,145.55,-1336.51,3002.2,,
Gallantt Ispat L,532726,GALLANTT,Steel - Medium / Small,123.8,2303.44,2988.62,,
Goodyear India,500168,GOODYEAR,Tyres,1291.55,622.57,2979.61,,
Somany Ceramics,531548,SOMANYCERA,Ceramics - Tiles / Sanitaryware,697.75,819.64,2964.44,,
Apollo Micro Sys,540879,APOLLO,Electronics - Components,112.5,427,2956.16,,
Cigniti Tech.,534758,CIGNITITEC,Computers - Software - Medium / Small,1081.55,668.21,2946.16,,
Dynamatic Tech.,505242,DYNAMATECH,Engineering,4299.95,587.65,2921.91,,
Stylam Industrie,526951,STYLAMIND,Miscellaneous,1725.3,471.9,2920.27,,
Prakash Industri,506022,PRAKASH,Steel - Medium / Small,163.1,3111.93,2906.43,,
Swaraj Engines,500407,SWARAJENG,Engines,2376.75,309.12,2899.5,,
Mold-Tek Pack.,533080,MOLDTKPAC,Plastics Products,872.05,592.61,2889.18,,
MPS,532440,MPSLTD,Computers - Software - Medium / Small,1688.15,364.33,2886.97,,
Grauer & Weil,505710,GRAUWEIL,Chemicals,126.55,733.22,2868.96,,
Gensol Engineer.,542851,GENSOL,Miscellaneous,761.65,291.38,2866.85,,
Sandhar Tech,541163,SANDHAR,Auto Ancillaries,474.3,955.16,2864.22,,
Unichem Labs.,506690,UNICHEMLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,403.5,2408.01,2838.8,,
Dreamfolks Servi,543591,DREAMFOLKS,Miscellaneous,542.05,195.42,2834,,
Inox Green,543667,INOXGREEN,Engineering - Turnkey Services,95.25,1316.86,2804.94,,
Wendt India,505412,WENDT,Abrasives And Grinding Wheels,13950.4,195.45,2795.57,,
Bombay Super Hyb,,BSHSL,Miscellaneous,264.7,68.49,2777.69,,
Greenply Industr,526797,GREENPLY,Miscellaneous,223.85,658.03,2764.78,,
Mahindra Logis.,540768,MAHLOG,Miscellaneous,382.95,520.38,2756.55,,
Sequent Scien.,512529,SEQUENT,Pharmaceuticals - Indian - Bulk Drugs & Formln,110.7,631.67,2756.53,,
CARE Ratings,534804,CARERATING,Miscellaneous,922.4,684.03,2751.76,,
Paras Defence,543367,PARAS,Engineering,703.25,429.22,2746.02,,
NRB Bearings,530367,NRBBEARING,Bearings,283.15,670.24,2743.44,,
Optiemus Infra.,530135,OPTIEMUS,Trading,318.9,385.81,2731.51,,
Jindal Poly Film,500227,JINDALPOLY,Packaging,621.65,4058.41,2726.24,,
ISMT,532479,ISMTLTD,Steel - Medium / Small,90.55,1568.94,2721.04,,
IFGL Refractori.,540774,IFGLEXPOR,Refractories / Intermediates,754.6,1046.71,2715.63,,
Avantel,532406,,Telecommunications - Equipment,111.6,135.66,2714.89,,532406
Gandhar Oil Ref.,544029,GANDHAR,Refineries,277.1,820.58,2710.58,,
Pearl Global Ind,532808,PGIL,Textiles - Products,1250.95,733.45,2708.63,,
Zaggle Prepaid,543985,ZAGGLE,Computers - Software - Medium / Small,220.4,531.18,2695.05,,
PSP Projects,540544,PSPPROJECT,Construction,747.9,867,2693.15,,
Parag Milk Foods,539889,PARAGMILK,Food - Processing - Indian,228.55,854.65,2686.46,,
Imagica. Enter.,539056,IMAGICAA,Recreation / Amusement Parks,55.7,784.77,2676.24,,
IOL Chemicals,524164,IOLCP,Pharmaceuticals - Indian - Bulk Drugs & Formln,455.65,1588.84,2674.05,,
Venky's (India),523261,VENKEYS,Miscellaneous,1894.85,1343.66,2668.79,,
Venus Pipes,543528,VENUSPIPES,Steel - Medium / Small,1314.45,358.86,2666.07,,
SG Finserve,539199,,Finance & Investments,484.2,758.96,2660.63,,539199
Kingfa Science,524019,KINGFA,Plastics Products,2203.95,530.63,2657.45,,
Fiem Industries,532768,FIEMIND,Auto Ancillaries,2012.55,800.33,2648.16,,
Apcotex Industri,523694,APCOTEXIND,Miscellaneous,507.8,495.89,2637.47,,
Apollo Pipes,531761,APOLLOPIPE,Plastics Products,669.9,557.36,2635.76,,
T R I L,532928,TRIL,Electric Equipment,184,381.21,2628.03,,
Ashiana Housing,523716,ASHIANA,Construction,260.9,728.7,2627.67,,
The Anup Enginee,542460,ANUP,Engineering,2649,464.13,2622.34,,
Indian Metals,533047,IMFA,Mining / Minerals / Metals,485.7,2046.4,2620.29,,
IKIO Lighting,543923,IKIO,Electric Equipment,338.25,524.25,2614.02,,
Lumax Auto Tech.,532796,LUMAXTECH,Auto Ancillaries,381.6,704.54,2600.9,,
Goodluck India,530655,GOODLUCK,Steel - Medium / Small,915.15,682.4,2599.51,,
Tarsons Products,543399,TARSONS,Miscellaneous,487.3,591.17,2591.97,,
PTC India Fin,533344,PFS,Finance & Investments,40.25,2474.89,2588.67,,
Vindhya Telelink,517015,VINDHYATEL,Construction,2184.75,3764.12,2587.33,,
Confidence Petro,526829,CONFIPET,Miscellaneous,89.45,881.01,2574.75,,
Barbeque-Nation,543283,BARBEQUE,Hotels,653.15,382.62,2549.61,,
Styrenix Perfor.,506222,STYRENIX,Petrochemicals,1447.4,761.5,2544.39,,
M B Agro Prod.,,MBAPL,Fertilizers,290.1,348.36,2542.06,,
Mufin Green,542774,MUFIN,Finance & Investments,168.55,151.07,2537.16,,
Vishnu Prakash R,543974,VPRPL,Construction,202.5,607.91,2524.62,,
Den Networks,533137,DEN,Entertainment / Electronic Media Software,52.85,3293.56,2522.56,,
Siyaram Silk,503811,SIYSIL,Textiles - Processing,535.7,1193.43,2508.77,,
Eveready Inds.,531508,EVEREADY,Dry Cells,341.1,368.88,2482.29,,
Satin Creditcare,539404,SATIN,Finance & Investments,248.8,1900.2,2479.86,,
Foseco India,500150,FOSECOIND,Chemicals,3880.9,255.05,2477.15,,
Balu Forge,531112,,Engineering,240.7,430.41,2469.39,,531112
GOCL Corpn.,506480,GOCLCORP,Chemicals,494.55,1396.09,2456.72,,
Globus Spirits,533104,GLOBUSSPR,Breweries & Distilleries,842.7,923.8,2428.76,,
Dollar Industrie,541403,DOLLAR,Textiles - Products,427.1,740.83,2424.79,,
Dishman Carbogen,540701,DCAL,Pharmaceuticals - Indian - Bulk Drugs & Formln,154.5,5770.83,2424.56,,
Bhansali Engg.,500052,BEPL,Petrochemicals,97.35,890.84,2423.33,,
Guj Inds. Power,517300,GIPCL,Power Generation And Supply,160.05,3194.02,2418.68,,
Ugro Capital,511742,UGROCAP,Finance & Investments,260.05,1371.03,2403.61,,
Mukand,500460,MUKANDLTD,Steel - Large,166.25,879.08,2402.94,,
Uniparts India,543689,UNIPARTS,Auto Ancillaries,532.45,874.77,2400.01,,
Tanfac Inds.,506854,,Chemicals,2399.2,207.63,2393.2,,506854
Dhani Services,532960,DHANI,Finance & Investments,39.65,3613.4,2392.93,,
Repco Home Fin,535322,REPCOHOME,Finance - Housing,381.9,2686.42,2389.51,,
Honda India,522064,HONDAPOWER,Electric Equipment,2353.4,768.09,2382.79,,
Piccadily Agro,530305,,Breweries & Distilleries,251.75,253.49,2374.99,,530305
M M Forgings,522241,MMFL,Castings & Forgings,984.2,755.45,2360.2,,
Artemis Medicare,542919,ARTEMISMED,Healthcare,173.8,424.98,2357.3,,
Krsnaa Diagnost.,543328,KRSNAA,Healthcare,730.4,760.46,2355.8,,
XPRO India,590013,XPROINDIA,Plastics Products,1125.95,344,2341.38,,
SEAMEC Ltd,526807,SEAMECLTD,Shipping,909.95,802.14,2317.31,,
Mayur Uniquoters,522249,MAYURUNIQ,Plastics Products,527.65,807.02,2315.12,,
AXISCADES Tech.,532395,AXISCADES,Computers - Software - Medium / Small,601.3,360.6,2314.09,,
Hind.Oil Explor.,500186,HINDOILEXP,Oil Drilling / Allied Services,174.6,1090.05,2308.28,,
Heritage Foods,519552,HERITGFOOD,Food - Processing - Indian,248.3,741.68,2299.01,,
Disa India,500068,,Engineering,15770.55,241.8,2293.36,,500068
TCNS Clothing Co,541700,TCNSBRANDS,Textiles - Products,361.7,455.03,2290.21,,
Morepen Labs.,500288,MOREPENLAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,44.75,789,2289.41,,
Prataap Snacks,540724,DIAMONDYD,Food - Processing - Indian,958.35,676.24,2286.93,,
Andhra Paper,502330,ANDHRAPAP,Paper,572.7,1757.76,2281.14,,
Savita Oil Tech,524667,SOTL,Petrochemicals,329.95,1524.63,2279.29,,
Alembic,506235,ALEMBICLTD,Construction,88.6,2119.66,2274.84,,
Tide Water Oil,590005,TIDEWATER,Chemicals,1304.5,803.37,2273.96,,
BF Utilities,532430,BFUTILITIE,Power Generation And Supply,601.65,-18.98,2264.56,,
Lumax Industries,517206,LUMAXIND,Auto Ancillaries,2420.35,608.27,2264.23,,
Filatex Fash.,532022,,Textiles - Products,13.55,2297.03,2258.53,,532022
India Glycols,500201,INDIAGLYCO,Breweries & Distilleries,728.9,1966.78,2252.67,,
EMS,543983,EMSLIMITED,Construction,405.2,730.12,2246.4,,
Manorama Indust.,541974,MANORAMA,Food - Processing - Indian,1863.55,316.14,2241.21,,
Precision Camshf,539636,PRECAM,Auto Ancillaries,235.3,720.36,2235.91,,
Carysil,524091,CARYSIL,Ceramics - Tiles / Sanitaryware,831.55,325.88,2228.38,,
Seshasayee Paper,502450,SESHAPAPER,Paper,350.95,1771.18,2217.8,,
Indostar Capital,541336,INDOSTAR,Finance & Investments,163.35,3176.64,2216.97,,
Skipper,538562,SKIPPER,Engineering,214.7,800.4,2205.27,,
Sirca Paints,543686,SIRCA,Trading,400.7,285.72,2198.35,,
Som Distilleries,507514,SDBL,Breweries & Distilleries,282.55,515.12,2191.56,,
Astec Lifescienc,533138,ASTEC,Pesticides / Agrochemicals - Indian,1127.55,395.01,2191.23,,
Bharat Bijlee,503960,BBL,Electric Equipment,3873,1471.71,2190.35,,
Vishnu Chemicals,516072,VISHNU,Chemicals,333.85,654.97,2188.86,,
Supriya Lifesci.,543434,SUPRIYA,Pharmaceuticals - Indian - Bulk Drugs & Formln,272.2,753.18,2188.76,,
Camlin Fine,532834,CAMLINFINE,Chemicals,130.35,943.03,2181.96,,
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,198.5,439.74,2181.33,,
Pitti Engg.,513519,PITTIENG,Engineering,678.75,363.01,2176.64,,
Jindal Drilling,511034,JINDRILL,Oil Drilling / Allied Services,747.9,1115.4,2174.45,,
RPG LifeScience.,532983,RPGLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,1317.2,335.74,2174.27,,
Ganesha Ecosphe.,514167,GANECOS,Textiles - Processing,995.6,640.21,2164.17,,
Huhtamaki India,509820,HUHTAMAKI,Packaging,286.55,792.52,2161.89,,
Hil Ltd,509675,HIL,Cement Products,2855.4,1263.42,2153.23,,
Orient Green,533263,GREENPOWER,Power Generation And Supply,21.85,835.76,2143.82,,
Oriental Hotels,500314,ORIENTHOT,Hotels,119.9,549.76,2141.41,,
Fino Payments,543386,FINOPB,Banks - Private Sector,257.05,552.54,2133.72,,
Welspun Special.,500365,,Steel - Medium / Small,40.1,48.76,2125.65,,500365
Sadhana Nitro,506642,SADHNANIQ,Dyes And Pigments,85.9,228.83,2117.63,,
Media Matrix,512267,,Entertainment / Electronic Media Software,18.67,164.33,2114.83,,512267
Rishabh Instrum.,543977,RISHABH,Electric Equipment,553.45,515.55,2101.69,,
Prec. Wires (I),523539,PRECWIRE,Mining / Minerals / Metals,117.35,476.77,2092.43,,
Rupa & Co,533552,RUPA,Textiles - Products,261.6,912.71,2091.22,,
Updater Services,543996,UDS,Miscellaneous,313.25,730.45,2089.8,,
Filatex India,526227,FILATEX,Textiles - Manmade,47.1,1134.51,2086.69,,
RPSG Ventures,542333,RPSGVENT,Computers - Software - Medium / Small,706.3,2541.98,2078.65,,
Agro Tech Foods.,500215,ATFL,Food - Processing - Indian,850.9,488.74,2077,,
Yatra Online,543992,YATRA,Travel Agencies,132.25,741.37,2070.73,,
Thirumalai Chem.,500412,TIRUMALCHM,Chemicals,201.55,1212.87,2065.55,,
