Name,BSE Code,NSE Code,Industry,Current Price,Net worth,Market Capitalization,,
Divi's Lab.,532488,DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs,3620,12677,96093.17,,
Punjab Natl.Bank,532461,PNB,Banks - Public Sector,86.85,102880.5,95672.54,,
B P C L,500547,BPCL,Refineries,439.45,70982.47,95444.53,,
Dabur India,500096,DABUR,Personal Care - Indian,534.95,9487.46,94812.41,,
Vedanta,500295,VEDL,Mining / Minerals / Metals,251.45,31583,93469.16,,
Dr Reddy's Labs,500124,DRREDDY,Pharmaceuticals - Indian - Bulk Drugs & Formln,5579.15,25496.8,93059.68,,
TVS Motor Co.,532343,TVSMOTOR,Automobiles - Motorcycles / Mopeds,1949.2,6320.47,92395.3,,
Tata Consumer,500800,TATACONSUM,Tea,976.3,16154.31,90685.33,,
GAIL (India),532155,GAIL,Miscellaneous,137.75,72858.87,90540.65,,
Macrotech Devel.,543287,LODHA,Construction,918.7,12988.6,88737.67,,
Bajaj Holdings,500490,BAJAJHLDNG,Finance & Investments,7869.65,48869.74,87614.92,,
Union Bank (I),532477,UNIONBANK,Banks - Public Sector,116.45,79381.21,86317.96,,
Havells India,517354,HAVELLS,Electric Equipment,1335.6,6899.24,83721.14,,
Polycab India,542652,POLYCAB,Cables - Power,5498,7195.14,82488.37,,
I O B,532388,IOB,Banks - Public Sector,42.3,25262.94,79991.5,,
Apollo Hospitals,508869,APOLLOHOSP,Healthcare,5402.2,6508.6,77712.42,,
Canara Bank,532483,CANBK,Banks - Public Sector,425.95,78053.75,77290.21,,
United Spirits,532432,MCDOWELL-N,Breweries & Distilleries,1059.95,6810.5,77081.36,,
Hero Motocorp,500182,HEROMOTOCO,Automobiles - Motorcycles / Mopeds,3815.5,17673.97,76206.13,,
Mankind Pharma,543904,MANKIND,Pharmaceuticals - Indian - Bulk Drugs & Formln,1882.95,8670.65,75465.71,,
Shriram Finance,511218,SHRIRAMFIN,Finance & Investments,1998.75,46306.63,75037.69,,
ICICI Pru Life,540133,ICICIPRULI,Finance & Investments,509.3,10712.29,73363.04,,
Torrent Pharma.,500420,TORNTPHARM,Pharmaceuticals - Indian - Formulations,2147.05,6707.23,72680.99,,
SBI Cards,543066,SBICARD,Finance & Investments,759.8,11058.24,72245.83,,
Jindal Steel,532286,JINDALSTEL,Steel - Sponge Iron,697.55,41501.44,71185.53,,
SRF,503806,SRF,Chemicals,2371.1,10850.79,70267.94,,
IDBI Bank,500116,IDBI,Banks - Private Sector,64.85,46319.24,69719.31,,
