SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,price,,,Exch,Code,Name,"Dly
Price
Close
on Last bar


  Value","Dly
Avg(E,5)

on Last bar


  Value","Dly
Avg(E,10)

on Last bar


  Value","Dly
Avg(E,20)

on Last bar


  Value","Dly
Avg(E,50)

on Last bar


  Value","Dly
Avg(E,200)

on Last bar


  Value","Dly
Price
High
Highest In N Bars
(75)

  Value","Dly
Price
Low
Lowest In N Bars
(75)

  Value",,,,
BAHETI,Baheti Recycling Industries Limited,SM,8-Dec-22,10,INE029Q01017,10,182.75,,BEWLTD,N,5662,BEWLTD    SM,1363,1360.92,1380.74,1415.01,1461.3,1276.56,1789,1250,,12,,
BASILIC,Basilic Fly Studio Limited,SM,11-Sep-23,10,INE0OCC01013,10,301.95,,BMETRICS,N,6052,BMETRICS  SM,116.1,116.97,117.39,118.21,124.09,194.91,160.2,111,,12,,
BETA,Beta Drugs Limited,SM,12-Oct-17,10,INE351Y01019,10,1489.35,,BRIGHT,N,3901,BRIGHT    SM,6.75,7.03,6.75,6.28,5.74,5.51,8.2,4.7,,12,,
BEWLTD,BEW Engineering Limited,SM,16-Sep-21,10,INE0HQI01014,10,1363,,CADSYS,N,21823,CADSYS    SM,232,232.91,237.93,241.32,232.31,152.02,297.4,143,,12,,
BMETRICS,Bombay Metrics Supply Chain Limited,SM,12-Oct-21,10,INE0I3Y01014,10,116.1,,CANARYS,N,19368,CANARYS   SM,41.8,43.26,44.41,44.69,44.06,43.54,,,,12,,
BRIGHT,Bright Solar Limited,ST,9-Jul-18,10,INE684Z01010,10,6.75,,CBAZAAR,N,20409,CBAZAAR   ST,31,32.67,34.2,36.07,38.03,39.38,,,,12,,
CADSYS,Cadsys (India) Limited,SM,4-Oct-17,10,INE090Y01013,10,232,,CELLECOR,N,18806,CELLECOR  SM,264.2,259.04,253.61,245.94,224.98,183.16,,,,12,,
CANARYS,Canarys Automations Limited,SM,11-Oct-23,2,INE0QG301017,2,41.8,,CELLPOINT,N,16950,CELLPOINT SM,43.05,42.27,42.08,42.64,45.07,48.5,59.5,41,,12,,
CBAZAAR,Net Avenue Technologies Limited,SM,8-Dec-23,1,INE518X01015,1,31,,CHAVDA,N,18654,CHAVDA    SM,80.1,82.78,84.91,87.71,90.12,89.24,,,,12,,
CELLECOR,Cellecor Gadgets Limited,SM,28-Sep-23,10,INE0OMO01017,10,264.2,,CLOUD,N,11179,CLOUD     SM,101.95,103.78,106.36,111.5,124.81,151.52,239.95,100,,12,,
CELLPOINT,Cell Point (India) Limited,SM,28-Jun-23,10,INE0O0001013,10,43.05,,CLSL,N,18260,CLSL      SM,42.4,41.41,40.96,40.75,41.07,43.26,,,,12,,
CHAVDA,Chavda Infra Limited,SM,25-Sep-23,10,INE0PT101017,10,80.1,,CMMIPL,N,99,CMMIPL    ST,5.25,5.12,4.78,4.43,4.41,6.44,6.7,3.4,,12,,
CLOUD,Varanium Cloud Limited,SM,27-Sep-22,5,INE0JOO01021,5,101.95,,CMNL,N,13731,CMNL      SM,60.95,61.64,62.09,62.63,63.85,61.52,84,59,,12,,
