Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230222,500469,454089,166296,125.15,127.35,208.12,A 
230222,500470,2528641,696160,111.15,113.2,773.78,A 
230222,500472,1196,487,4453.7,4467.35,21.69,A 
230222,500477,433605,166407,143.35,147.8,238.54,A 
230222,500480,15551,4953,1578.75,1578.75,78.2,A 
230222,500483,11770,3645,1220.95,1231.5,44.5,A 
230222,500488,515,233,20190.75,20035.4,47.04,A 
230222,500490,334,86,6036.15,6064.85,5.19,A 
230222,500493,19040,4716,841.7,854.5,39.69,A 
230222,500495,6225,2113,2086.65,2106.5,44.09,A 
230222,500500,47221,47221,13.65,14.15,6.45,T 
230222,500510,69526,35922,2190.4,2228.4,786.84,A 
230222,500520,23008,8064,1318.65,1351.8,106.34,A 
230222,500530,472,139,18308.9,18469.9,25.45,A 
230222,500540,1161,1161,2.65,2.7,0.03,T 
230222,500547,126474,37773,320.45,323.25,121.04,A 
230222,500550,18145,11364,3251.45,3291.0,369.49,A 
230222,500570,572896,229832,429.5,436.55,987.13,A 
230222,500575,293957,42124,913.95,894.7,384.99,A 
230222,500620,18125,5617,569.95,592.35,32.01,A 
230222,500645,30752,16371,626.15,630.1,102.51,A 
230222,500650,694,296,934.95,937.3,2.77,B 
230222,500655,40592,40367,610.05,618.8,246.26,B 
230222,500660,1892,1024,1290.8,1294.15,13.22,A 
230222,500670,24876,7260,534.7,548.0,38.82,A 
230222,500672,174,143,603.1,603.15,0.86,B 
230222,500674,2497,2330,5401.05,5398.35,125.84,A 
230222,500680,206,101,3835.1,3817.55,3.87,A 
230222,500690,129393,59767,127.45,129.9,76.17,A 
230222,500696,40301,29209,2493.3,2515.65,728.27,A 
230222,500710,1232,366,2172.1,2167.0,7.95,A 
230222,500730,57621,21696,229.7,229.9,49.84,A 
230222,500770,90851,27098,965.05,1000.3,261.51,A 
230222,500777,14699,11613,80.55,82.15,9.35,B 
230222,500780,2062,1619,113.65,117.3,1.84,B 
230222,500790,1103,386,18666.35,18843.95,72.05,A 
230222,500800,182148,128839,722.0,726.0,930.22,A 
230222,500820,25875,12818,2795.9,2817.0,358.38,A 
230222,500825,6229,3465,4482.45,4503.7,155.32,A 
230222,500830,5168,3215,1459.1,1455.45,46.91,A 
230222,500840,29413,18914,156.65,161.75,29.63,A 
230222,500850,86999,41935,299.65,309.6,125.66,A 
230222,500870,25173,8440,118.6,119.85,10.01,A 
230222,500875,485749,256461,383.85,382.3,984.43,A 
230222,500877,58037,26204,328.4,329.25,86.05,A 
230222,500878,4085,1874,1473.55,1500.9,27.61,A 
230222,500940,55539,21444,169.6,174.85,36.37,A 
230222,501150,21873,19252,21.55,21.3,4.15,B 
