Date,NSE_Code,NSE_Volume,NSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
200210,LAMBODHARA,12201.0,5638.0,34.45,35.5,1.94,EQ
200210,LAOPALA,58071.0,25246.0,193.2,191.6,48.78,EQ
200210,LAURUSLABS,208045.0,133332.0,435.8,438.95,581.06,EQ
200210,LAXMIMACH,7854.0,6833.0,3250.45,3255.8,222.1,EQ
200210,LEMONTREE,562192.0,319051.0,54.0,54.0,172.29,EQ
200210,LEXUS,2000.0,2000.0,9.0,9.1,0.18,SM
200210,LFIC,162.0,156.0,53.0,50.0,0.08,EQ
200210,LGBBROSLTD,17376.0,10029.0,295.85,305.75,29.67,EQ
200210,LIBERTSHOE,74256.0,35641.0,130.4,134.95,46.48,EQ
200210,LICHSGFIN,3250307.0,916603.0,429.85,441.15,3940.02,EQ
200210,LICNETFGSC,2995.0,2105.0,20.07,19.92,0.42,EQ
200210,LICNETFN50,155.0,94.0,124.79,122.54,0.12,EQ
200210,LICNETFSEN,83.0,47.0,503.0,518.95,0.24,EQ
200210,LICNFNHGP,3.0,1.0,124.7,125.0,0.0,EQ
200210,LINCOLN,51403.0,29871.0,198.75,198.1,59.37,EQ
200210,LINCPEN,9390.0,6275.0,233.2,235.8,14.63,EQ
200210,LINDEINDIA,29596.0,11864.0,741.2,725.25,87.94,EQ
200210,LIQUIDBEES,568009.0,526608.0,999.99,1000.0,5266.03,EQ
200210,LIQUIDETF,14577.0,12479.0,1000.0,999.99,124.79,EQ
200210,LOKESHMACH,1135.0,1090.0,32.9,32.95,0.36,EQ
200210,LOTUSEYE,25346.0,24092.0,25.05,26.15,6.04,EQ
200210,LOVABLE,9950.0,5872.0,70.95,71.05,4.17,EQ
200210,LPDC,4940.0,4739.0,1.25,1.35,0.06,EQ
200210,LSIL,610802.0,447869.0,0.45,0.5,2.02,EQ
200210,LT,3039992.0,1489679.0,1285.3,1299.0,19146.84,EQ
200210,L&TFH,6510641.0,1123763.0,127.6,131.55,1433.92,EQ
200210,LTI,81940.0,51694.0,1950.2,1944.65,1008.14,EQ
200210,LTTS,169682.0,150412.0,1683.15,1687.85,2531.66,EQ
200210,LUMAXIND,1567.0,1250.0,1474.6,1483.65,18.43,EQ
200210,LUMAXTECH,14748.0,9357.0,108.6,111.8,10.16,EQ
200210,LUPIN,1841499.0,1033731.0,701.95,707.6,7256.27,EQ
200210,LUXIND,66306.0,34289.0,1484.8,1503.15,509.12,EQ
200210,LYKALABS,36085.0,26155.0,20.6,19.9,5.39,EQ
200210,M100,44335.0,42958.0,19.15,19.17,8.23,EQ
200210,M50,1080.0,984.0,117.64,118.81,1.16,EQ
200210,MAANALU,4081.0,3069.0,63.6,63.75,1.95,EQ
200210,MACPOWER,2000.0,2000.0,59.7,57.05,1.19,SM
200210,MADHAV,7131.0,3236.0,28.3,29.75,0.92,EQ
200210,MADHUCON,39464.0,31891.0,3.15,3.25,1.0,EQ
200210,MADRASFERT,124913.0,64720.0,18.4,18.4,11.91,EQ
200210,MAGADSUGAR,47646.0,27394.0,133.95,138.85,36.69,EQ
200210,MAGMA,96538.0,67913.0,56.8,59.2,38.57,EQ
200210,MAGNUM,2429.0,2429.0,3.35,3.3,0.08,EQ
200210,MAHABANK,367118.0,233306.0,12.1,12.35,28.23,EQ
200210,MAHASTEEL,7649.0,6058.0,98.2,99.35,5.95,EQ
200210,MAHESHWARI,21929.0,2259.0,270.55,277.95,6.11,EQ
200210,MAHICKRA,6000.0,3000.0,86.0,86.1,2.58,SM
200210,MAHINDCIE,83781.0,40960.0,171.5,174.7,70.25,EQ
200210,MAHLIFE,133659.0,116155.0,407.3,404.1,473.1,EQ
200210,MAHLOG,36040.0,31085.0,403.55,414.85,125.44,EQ
200210,MAHSCOOTER,4308.0,3621.0,4578.95,4519.1,165.8,EQ
200210,MAHSEAMLES,13922.0,8382.0,367.75,372.85,30.82,EQ
200210,MAITHANALL,60047.0,34099.0,587.55,583.55,200.35,EQ
200210,MAJESCO,305050.0,42771.0,425.85,407.25,182.14,EQ
200210,MALUPAPER,22037.0,14964.0,32.7,33.9,4.89,EQ
200210,MAN50ETF,603.0,600.0,121.8,122.55,0.73,EQ
200210,MANAKALUCO,13673.0,13623.0,4.05,4.1,0.55,EQ
200210,MANAKCOAT,6058.0,5422.0,3.85,3.9,0.21,EQ
200210,MANAKSIA,18178.0,16569.0,38.55,37.55,6.39,EQ
200210,MANAKSTEEL,9316.0,7239.0,10.5,10.85,0.76,EQ
200210,MANALIPETC,89020.0,48740.0,20.25,20.7,9.87,EQ
