Date,NSE_Code,NSE_Volume,NSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230420,20MICRONS,83218.0,44083.0,83.8,82.25,36.94,EQ
230420,21STCENMGM,1444.0,936.0,20.1,20.0,0.19,EQ
230420,360ONE,183907.0,125179.0,409.85,415.1,513.05,EQ
230420,3IINFOLTD,338356.0,227199.0,33.1,33.0,75.2,EQ
230420,3MINDIA,3268.0,2350.0,22627.85,22777.45,531.75,EQ
230420,3PLAND,9721.0,9100.0,23.85,24.15,2.17,EQ
230420,5PAISA,19330.0,12745.0,296.85,293.3,37.83,EQ
230420,63MOONS,66432.0,31021.0,166.3,167.35,51.59,EQ
230420,A2ZINFRA,95651.0,60411.0,6.75,6.7,4.08,EQ
230420,AAATECH,10553.0,7449.0,53.4,55.4,3.98,EQ
230420,AAKASH,114436.0,63274.0,6.6,6.55,4.18,EQ
230420,AAREYDRUGS,51736.0,24803.0,28.75,28.3,7.13,EQ
230420,AARON,13709.0,9217.0,219.55,223.0,20.24,EQ
230420,AARTIDRUGS,542124.0,50599.0,426.65,426.2,215.88,EQ
230420,AARTIIND,175258.0,50767.0,544.1,544.85,276.22,EQ
230420,AARTIPHARM,102033.0,57002.0,363.6,363.4,207.26,EQ
230420,AARTISURF,13873.0,6048.0,583.6,587.45,35.3,EQ
230420,AARVEEDEN,13101.0,11061.0,22.75,22.15,2.52,EQ
230420,AARVI,9655.0,5505.0,130.75,129.75,7.2,EQ
230420,AAVAS,601144.0,531384.0,1668.1,1759.7,8864.02,EQ
230420,ABAN,102460.0,38366.0,38.8,38.2,14.89,EQ
230420,ABB,276392.0,165983.0,3184.3,3201.05,5285.4,EQ
230420,ABBOTINDIA,6245.0,2909.0,22577.75,22733.75,656.79,EQ
230420,ABCAPITAL,3458466.0,648329.0,161.3,161.3,1045.75,EQ
230420,ABFRL,1078790.0,321816.0,223.3,220.8,718.62,EQ
230420,ABINFRA,8000.0,8000.0,39.15,37.3,3.13,SM
230420,ABSLAMC,22259.0,13862.0,345.95,347.65,47.96,EQ
230420,ABSLBANETF,12700.0,8290.0,42.24,42.09,3.5,EQ
230420,ABSLLIQUID,49.0,49.0,1000.01,1000.01,0.49,EQ
230420,ABSLNN50ET,3710.0,2337.0,39.6,39.59,0.93,EQ
230420,ACC,256370.0,123814.0,1738.1,1749.3,2152.01,EQ
230420,ACCELYA,98322.0,42764.0,1427.15,1391.8,610.31,EQ
230420,ACCURACY,395119.0,345815.0,15.85,17.15,54.81,EQ
230420,ACE,312137.0,125913.0,411.65,413.4,518.32,EQ
230420,ACI,98906.0,58013.0,529.95,529.7,307.44,EQ
230420,ADANIENT,2016823.0,242741.0,1842.9,1853.85,4473.47,EQ
230420,ADANIGREEN,1181812.0,398419.0,933.05,935.8,3717.45,EQ
230420,ADANIPORTS,5009410.0,826359.0,666.1,658.4,5504.38,EQ
230420,ADANIPOWER,11055623.0,4029829.0,195.8,187.3,7890.41,EQ
