Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Traded_Value_lacs,Segment
230420,500267,2481,1673,137.6,137.2,2.3,X 
230420,500268,78006,40136,71.28,71.07,28.61,A 
230420,500270,4213,4213,212.95,224.15,8.97,XT
230420,500271,11995,1366,640.95,635.7,8.76,A 
230420,500277,11092,11092,11.26,10.73,1.25,XT
230420,500279,23511,13381,14.05,14.2,1.88,B 
230420,500280,350,197,370.7,372.25,0.73,B 
230420,500284,6015,3694,209.35,208.3,7.73,X 
230420,500285,237991,110135,32.31,32.35,35.58,A 
230420,500288,233539,54310,27.09,27.47,14.71,A 
230420,500290,130,84,86441.15,85878.6,72.61,A 
230420,500292,10013,6255,169.8,171.0,10.62,A 
230420,500294,660873,403014,113.5,109.65,457.42,A 
230420,500295,222298,68370,279.55,281.5,191.13,A 
230420,500296,4053,1695,273.9,266.7,4.64,B 
230420,500298,1228,991,1373.55,1355.0,13.61,X 
230420,500300,6649,2396,1686.6,1690.2,40.41,A 
230420,500302,25367,5214,716.35,712.55,37.35,A 
230420,500304,19331,7997,358.55,356.4,28.67,A 
230420,500306,114441,73703,55.28,51.16,40.74,X 
230420,500307,1782,1220,379.45,379.95,4.63,B 
230420,500312,179021,68178,159.15,160.05,108.51,A 
230420,500313,449,449,15.65,15.55,0.07,B 
230420,500314,290920,83332,84.27,82.22,70.22,B 
230420,500317,17500,15221,30.48,28.93,4.64,B 
230420,500319,14716,13397,63.06,63.97,8.45,X 
230420,500325,140197,94883,2345.7,2351.65,2225.67,A 
230420,500327,4560,3078,6.85,6.9,0.21,B 
230420,500330,45672,19820,1487.5,1445.4,294.82,A 
230420,500331,11697,6493,2407.5,2408.8,156.32,A 
230420,500333,1068,886,791.25,784.35,7.01,B 
230420,500335,3750,1883,904.7,910.95,17.04,A 
230420,500336,12221,4800,756.25,767.3,36.3,A 
230420,500337,2656,2138,113.05,112.05,2.42,B 
230420,500338,115603,73155,126.1,129.1,92.25,A 
230420,500339,46044,20876,156.75,158.3,32.72,A 
230420,500343,4152,3056,23.99,23.82,0.73,B 
230420,500346,563,562,29.37,28.43,0.17,B 
230420,500350,10928,6212,179.25,170.6,11.14,B 
230420,500354,13865,10404,40.98,41.82,4.26,B 
230420,500355,9913,5347,202.1,204.65,10.81,A 
230420,500356,1875,1454,12.56,12.67,0.18,B 
230420,500357,50,50,19.45,19.95,0.01,XT
230420,500358,442,442,4.15,4.17,0.02,X 
230420,500360,1628,1550,53.4,52.31,0.83,X 
230420,500365,258895,210133,20.1,19.94,42.24,X 
230420,500367,17360,12989,68.93,69.09,8.95,X 
230420,500368,3883,3883,941.3,954.0,36.55,T 
230420,500370,3022,2216,30.99,31.51,0.69,X 
230420,500378,137014,51474,158.45,164.35,81.56,A 
230420,500380,3400,1617,769.4,769.1,12.44,A 
230420,500387,850,203,24271.1,24777.3,49.27,A 
230420,500390,176559,49232,159.3,159.25,78.43,A 
230420,500400,287469,93582,196.35,193.45,183.75,A 
230420,500402,43649,43649,28.87,27.6,12.6,T 
230420,500403,9283,6638,1021.6,1027.2,67.81,A 
230420,500404,20312,5573,150.1,147.5,8.37,B 
230420,500405,11005,10063,375.25,375.2,37.76,A 
230420,500407,647,474,1543.05,1532.55,7.31,B 
230420,500408,7531,3971,6250.15,6309.65,248.19,A 
230420,500410,5063,2083,1738.05,1747.5,36.2,A 
230420,500411,5981,2416,2304.0,2219.55,55.66,A 
230420,500412,55326,27963,194.05,189.8,54.26,A 
230420,500413,24130,8702,66.86,64.68,5.82,A 
230420,500414,101854,78105,150.4,153.15,117.47,B 
230420,500420,2113,1302,1590.25,1595.35,20.71,A 
230420,500422,1420,1152,20.21,20.0,0.23,X 
230420,500425,139083,37802,380.75,379.8,143.93,A 
230420,500426,10249,9924,1.85,1.85,0.18,X 
230420,500429,1071,782,148.7,147.4,1.16,B 
230420,500439,27,24,2755.0,2738.55,0.66,B 
230420,500440,228205,131267,429.05,433.1,563.2,A 
230420,500444,8321,3650,548.9,559.85,20.03,A 
230420,500449,14351,8517,25.84,25.73,2.2,B 
230420,500450,1,1,265.85,254.9,0.0,X 
230420,500456,1612,1351,28.9,28.81,0.39,B 
230420,500458,2364,2364,7.47,7.38,0.18,XT
230420,500459,71,39,14042.85,14040.95,5.48,A 
230420,500460,30483,26859,131.1,134.95,35.21,B 
230420,500463,2632,2000,136.59,137.77,2.73,B 
230420,500464,88,53,120.7,120.2,0.06,B 
230420,500467,4286,2306,119.4,117.25,2.75,B 
230420,500469,201663,77983,132.2,131.65,103.09,A 
230420,500470,1490033,533978,108.0,108.15,576.7,A 
230420,500472,777,327,4186.7,4144.0,13.69,A 
230420,500477,384139,145314,138.85,137.75,201.77,A 
230420,500480,29374,13066,1559.65,1501.05,203.78,A 
230420,500483,88957,24693,1231.3,1193.7,304.04,A 
230420,500488,350,144,22580.35,22733.8,32.52,A 
230420,500490,3152,511,6393.1,6313.05,32.67,A 
230420,500493,62265,46117,787.25,780.25,363.06,A 
230420,500495,6154,2230,1981.35,1991.15,44.18,A 
230420,500500,74454,55012,14.15,13.88,7.78,B 
230420,500510,54247,36932,2234.0,2219.15,825.06,A 
230420,500520,49669,23031,1218.6,1215.85,280.66,A 
230420,500530,187,55,18752.45,18682.9,10.31,A 
