Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Ahasolar Technologies Ltd.,15200,339.95,357.55,51.6724,,543941,M 
Kaka Industries Ltd.,12000,179.5,181.75,21.54,,543939,M 
Acceleratebs India Ltd.,20800,247.6,260.6,51.5008,,543938,M 
Alphalogic Industries Ltd.,21600,200.75,191.35,43.362,,543937,M 
Veefin Solutions Ltd.,164800,222.7,233.55,367.0096,,543931,M 
Cosmic CRF Ltd.,32400,241.25,253.9,78.165,,543928,M 
Bizotic Commercial Ltd.,22400,66.43,69.91,14.880320000000003,,543926,M 
Comrade Appliances Ltd.,14000,164.9,161.7,23.086,,543921,M 
CFF Fluid Control Ltd.,12000,421.0,416.75,50.52,,543920,M 
Hemant Surgical Industries Ltd,32000,209.45,222.0,67.024,,543916,M 
Innokaiz India Ltd.,19200,137.25,139.65,26.352,,543905,M 
Retina Paints Ltd.,12000,58.9,59.25,7.068,,543902,M 
Sancode Technologies Ltd.,6000,103.55,109.0,6.213,,543897,M 
Exhicon Events Media Solutions,20000,292.1,289.85,58.42,,543895,M 
Maiden Forgings Ltd.,26000,112.0,112.0,29.12,,543874,M 
Bright Outdoor Media Ltd.,2000,468.5,469.55,9.37,,543831,M 
Labelkraft Technologies Ltd.,8000,86.5,81.0,6.92,,543830,M 
Sudarshan Pharma Industries Lt,32000,86.21,83.0,27.5872,,543828,M 
Prospect Commodities Ltd.,8000,73.4,71.28,5.872,,543814,M 
ITCONS E-Solutions Ltd.,34000,52.74,53.36,17.9316,,543806,M 
RESGEN Ltd.,45000,77.83,76.0,35.0235,,543805,M 
Patron Exim Ltd.,12000,9.93,9.91,1.1916,,543798,M 
Macfos Ltd.,12000,332.5,340.0,39.9,,543787,M 
Sealmatic India Ltd.,6000,500.5,494.0,30.03,,543782,M 
Indong Tea Company Ltd.,48000,24.0,23.0,11.52,,543769,M 
Earthstahl & Alloys Ltd.,21000,62.99,64.7,13.2279,,543765,M 
Transvoy Logistics India Ltd.,1600,75.01,74.43,1.2001600000000001,,543754,M 
Eastern Logica Infoway Ltd.,1200,584.95,580.05,7.0194,,543746,M 
SVS Ventures Ltd.,18000,8.08,8.09,1.4544,,543745,M 
Droneacharya Aerial Innovation,62000,176.05,174.45,109.151,,543713,M 
PNGS Gargi Fashion Jewellery L,10000,299.0,285.0,29.9,,543709,M 
Ambo Agritec Ltd.,4000,30.0,32.0,1.2,,543678,M 
Technopack Polymers Ltd.,2000,99.0,98.88,1.98,,543656,M 
DAPS Advertising Ltd.,20000,37.95,35.0,7.59,,543651,M 
Pace E-Commerce Ventures Ltd.,26400,20.8,20.55,5.4912,,543637,M 
Maagh Advertising And Marketin,2000,37.96,36.16,0.7592,,543624,M 
Vedant Asset Ltd.,6000,43.55,45.01,2.6129999999999995,,543623,M 
Steelman Telecom Ltd.,148800,163.35,136.15,243.0648,,543622,M 
Cargosol Logistics Ltd.,8000,48.0,50.0,3.84,,543621,M 
Insolation Energy Ltd.,54000,419.2,409.9,226.368,,543620,M 
Concord Control Systems Ltd.,24500,623.8,604.2,152.831,,543619,M 
Cargotrans Maritime Ltd.,3000,84.5,92.0,2.535,,543618,M 
Trident Lifeline Ltd.,7200,180.0,172.3,12.96,,543616,M 
Silicon Rental Solutions Ltd.,12800,173.45,166.0,22.2016,,543615,M 
Mafia Trends Ltd.,4000,15.25,15.24,0.61,,543613,M 
Containe Technologies Ltd.,6000,69.25,65.3,4.155,,543606,M 
Shantidoot Infra Services Ltd.,1600,84.0,84.0,1.344,,543598,M 
Virtuoso Optoelectronics Ltd.,21000,241.8,248.95,50.778,,543597,M 
Dipna Pharmachem Ltd.,6000,25.0,25.5,1.5,,543594,M 
Rhetan TMT Ltd.,90000,9.52,9.13,8.568,,543590,M 
Naturo Indiabull Ltd.,8000,15.9,14.51,1.272,,543579,M 
Healthy Life Agritec Ltd.,70000,5.11,5.04,3.577,,543546,M 
Veerkrupa Jewellers Ltd.,283900,2.68,2.6,7.60852,,543545,M 
Jayant Infratech Ltd.,2250,90.98,87.0,2.04705,,543544,M 
B-Right Real Estate Ltd.,1600,131.0,135.0,2.096,,543543,M 
Pearl Green Clubs And Resorts ,45600,234.0,195.0,106.704,,543540,M 
Modi's Navnirman Ltd.,1600,172.1,176.0,2.7536,,543539,M 
Scarnose International Ltd.,14000,85.0,92.0,11.9,,543537,M 
Fone4 Communications (India) L,20000,4.4,3.96,0.88,,543521,M 
Eighty Jewellers Ltd.,3000,47.75,45.0,1.4325,,543518,M 
Dhyaani Tile and Marblez Ltd.,6000,191.75,187.3,11.505,,543516,M 
Sunrise Efficient Marketing Lt,25000,104.1,110.0,26.025,,543515,M 
Bhatia Colour Chem Ltd.,33600,51.36,51.09,17.25696,,543497,M 
Ekennis Software Service Ltd.,800,89.0,89.0,0.712,,543475,M 
Maruti Interior Products Ltd.,2000,189.0,199.0,3.78,,543464,M 
Safa Systems & Technologies Lt,50000,10.93,10.8,5.465,,543461,M 
Quality RO Industries Ltd.,2000,66.0,72.55,1.32,,543460,M 
Alkosign Ltd.,10500,128.0,131.95,13.44,,543453,M 
Brandbucket Media & Technology,16000,27.25,27.35,4.36,,543439,M 
Clara Industries Ltd.,14940,182.0,187.5,27.1908,,543435,M 
DMR Hydroengineering & Infrast,12000,76.78,80.82,9.2136,,543410,M 
Omnipotent Industries Ltd.,24000,8.09,7.75,1.9416,,543400,M 
Adishakti Loha and Ispat Ltd.,10000,11.2,11.5,1.12,,543377,M 
Samor Reality Ltd.,70000,35.7,29.75,24.99,,543376,M 
Promax Power Ltd.,5000,57.9,53.11,2.895,,543375,M 
Shri Venkatesh Refineries Ltd.,7000,200.2,200.6,14.014,,543373,M 
Getalong Enterprise Ltd.,2000,165.0,150.15,3.3,,543372,M 
SBL Infratech Ltd.,10800,74.7,74.42,8.0676,,543366,M 
Markolines Pavement Technologi,20000,137.15,135.5,27.43,,543364,M 
Prevest Denpro Ltd.,3600,470.0,467.45,16.92,,543363,M 
Aashka Hospitals Ltd.,61000,60.21,57.85,36.7281,,543346,M 
Gretex Corporate Services Ltd.,20250,223.5,225.0,45.25875,,543324,M 
AA Plus Tradelink Ltd.,640000,12.54,11.95,80.25599999999999,,543319,M 
Focus Business Solution Ltd.,10800,75.08,92.8,8.10864,,543312,M 
Suumaya Corporation Ltd.,11250,8.18,7.99,0.92025,,543274,M 
Knowledge Marine & Engineering,6125,1521.3,1541.9,93.179625,,543273,M 
MRP Agro Ltd.,1000,125.9,129.75,1.259,,543262,M 
Shine Fashion (India) Ltd.,10000,61.2,58.0,6.12,,543244,M 
Veer Global Infraconstruction ,1100,120.0,118.75,1.32,,543241,M 
GM Polyplast Ltd.,15400,196.55,185.4,30.2687,,543239,M 
Secmark Consultancy Ltd.,2500,78.5,79.0,1.9625,,543234,M 
Billwin Industries Ltd.,6000,50.0,48.48,3.0,,543209,M 
Cospower Engineering Ltd.,1000,320.0,320.0,3.2,,543172,M 
Janus Corporation Ltd.,171500,4.77,4.75,8.180549999999998,,542924,M 
Goblin India Ltd.,2000,47.51,48.5,0.9502,,542850,M 
Cian Healthcare Ltd.,6000,25.75,25.0,1.545,,542678,M 
Evans Electric Ltd.,0,152.65,153.0,0.0,,542668,M 
VR Films & Studios Ltd.,10000,48.0,50.11,4.8,,542654,M 
Northern Spirits Ltd.,9500,351.95,335.2,33.43525,,542628,M 
Jonjua Overseas Ltd.,3460,14.01,14.19,0.484746,,542446,M 
Diksha Greens Ltd.,8000,3.49,3.34,0.2792,,542155,M 
Sun Retail Ltd.,624000,0.68,0.65,4.243200000000001,,542025,M 
Innovative Ideals And Services,48000,14.61,13.92,7.0128,,541983,M 
Ganesh Films India Ltd.,96000,23.85,22.96,22.896,,541703,M 
WAA Solar Ltd.,17600,84.5,84.63,14.872,,541445,M 
Affordable Robotic & Automatio,24000,684.15,708.3,164.196,,541402,M 
Innovators Facade Systems Ltd.,24000,218.05,229.5,52.332,,541353,M 
Milestone Furniture Ltd.,27000,4.9,4.98,1.323,,541337,M 
Taylormade Renewables Ltd.,4000,555.0,567.0,22.2,,541228,M 
Benara Bearings And Pistons Lt,20000,16.29,17.68,3.258,,541178,M 
Inflame Appliances Ltd.,5250,618.0,618.8,32.445,,541083,M 
Diggi Multitrade Ltd.,10000,23.5,23.7,2.35,,540811,M 
Sanghvi Brands Ltd.,2000,17.35,18.25,0.347,,540782,M 
Sagar Diamonds Ltd.,24000,40.4,38.99,9.696,,540715,M 
Captain Technocast Ltd.,3000,121.5,120.15,3.645,,540652,M 
Jigar Cables Ltd.,8000,43.25,43.55,3.46,,540651,M 
Yug Decor Ltd.,2000,96.0,95.5,1.92,,540550,M 
Octaware Technologies Ltd.,1600,32.0,32.0,0.512,,540416,M 
Prime Fresh Ltd.,3750,240.1,250.0,9.00375,,540404,M 
RMC Switchgears Ltd.,26500,784.25,763.45,207.82625,,540358,M 
Aditya Consumer Marketing Ltd.,22000,77.51,80.4,17.0522,,540146,M 
DRA Consultants Ltd.,2500,28.6,28.6,0.715,,540144,M 
Shiva Granito Export Ltd.,320000,7.73,7.94,24.736,,540072,M 
Ganga Pharmaceuticals Ltd.,16000,16.21,17.9,2.5936,,539680,M 
Navigant Corporate Advisors Lt,10000,24.01,30.0,2.4010000000000002,,539521,M 
Waaree Technologies Ltd.,2800,345.0,351.0,9.66,,539337,M 
Growington Ventures India Ltd.,18600,201.8,202.5,37.5348,,539222,M 
Filtra Consultants and Enginee,9000,42.69,41.25,3.8421,,539098,M 
SVP Housing Ltd.,70000,66.12,69.6,46.284,,539041,M 
Raghuvansh Agrofarms Ltd.,5000,201.2,201.15,10.06,,538921,M 
Hanman Fit Ltd.,42000,2.08,1.99,0.8736,,538731,M 
Tarini International Ltd.,6000,5.97,6.27,0.3582,,538496,M 
GCM Capital Advisors Ltd.,22000,7.05,6.79,1.551,,538319,M 
Unishire Urban Infra Ltd.,10000,1.77,1.7,0.177,,537582,M 
Polymac Thermoformers Ltd.,9600,31.95,31.96,3.0672,,537573,M 
Alacrity Securities Ltd.,8000,12.9,14.5,1.032,,535916,M 
Money Masters Leasing & Financ,5000,56.0,54.0,2.8,,535910,M 
SDC Techmedia Ltd.,10000,9.95,9.0,0.995,,535647,M 
Asarfi Hospital Ltd,24000,121.7,126.0,29.208,,543943,M 
Innovatus Entertainment Networ,6000,37.82,37.89,2.2692,,543951,M 
Khazanchi Jewellers Ltd,17000,199.0,203.5,33.83,,543953,M 
Shelter Pharma Limited,51000,44.45,45.41,22.6695,,543963,M 
Shoora Designs Limited,42000,56.27,60.65,23.6334,,543970,M 
Bondada Engineering Limited,201600,185.75,191.9,374.472,,543971,M 
Aatmaj Healthcare Ltd.,52000,48.1,49.0,25.012,AATMAJ,,SM
AB Infrabuild Ltd.,8000,30.75,32.15,2.46,ABINFRA,,SM
Abhishek Integrations Ltd.,6000,31.45,31.4,1.887,AILIMITED,,SM
AG Universal Ltd.,10000,71.0,70.85,7.1,AGUL,,SM
Agarwal Float Glass India Ltd.,21000,46.5,46.9,9.765,AGARWALFT,,SM
Agni Green Power Ltd.,20000,28.4,29.9,5.68,AGNI,,SM
All E Technologies Ltd.,24000,160.5,163.3,38.52,ALLETEC,,SM
Ameya Precision Engineers Ltd.,24000,56.0,58.5,13.44,AMEYA,,SM
Amiable Logistics (India) Ltd.,1600,84.0,84.0,1.344,AMIABLE,,SM
ANI Integrated Services Ltd.,1200,70.85,70.3,0.8502,AISL,,SM
Anlon Technology Solution Ltd.,14400,290.0,294.4,41.76,ANLON,,SM
Annapurna Swadisht Ltd.,13000,286.85,282.7,37.2905,ANNAPURNA,,SM
Arham Technologies Ltd.,6000,110.2,111.0,6.612,ARHAM,,SM
Arihant Academy Ltd.,6400,125.0,124.8,8.0,ARIHANTACA,,SM
ASL Industries Ltd.,4000,19.05,19.25,0.762,ASLIND,,SM
Aurangabad Distillery Ltd.,3000,206.15,217.0,6.1845,AURDIS,,SM
Auro Impex & Chemicals Ltd.,16000,68.15,69.1,10.904,AUROIMPEX,,SM
AVSL Industries Ltd.,1000,93.45,89.0,0.9345,AVSL,,SM
Baheti Recycling Industries Lt,9000,149.0,149.5,13.41,BAHETI,,SM
Beta Drugs Ltd.,3000,1036.85,1036.0,31.105499999999996,BETA,,SM
Bombay Metrics Supply Chain Lt,14000,137.25,138.95,19.215,BMETRICS,,SM
Bright Solar Ltd.,156000,5.7,5.7,8.892,BRIGHT,,SM
Cadsys India Ltd.,24000,208.0,208.6,49.92,CADSYS,,SM
Cell Point (India) Ltd.,10800,53.35,53.55,5.7618,CELLPOINT,,SM
Chaman Metallics Ltd.,66000,67.85,70.5,44.781,CMNL,,SM
CMM Infraprojects Ltd.,12000,4.4,4.6,0.528,CMMIPL,,ST
Continental Seeds and Chemical,23331,31.85,31.0,7.4309235,CONTI,,SM
Cool Caps Industries Ltd.,6250,554.0,552.0,34.625,COOLCAPS,,SM
Crayons Advertising Ltd.,22000,150.3,151.6,33.066,CRAYONS,,SM
Cyber Media Research & Service,800,125.0,125.0,1.0,CMRSL,,SM
DE Neers Tools Ltd.,4800,248.1,247.95,11.9088,DENEERS,,SM
Destiny Logistics & Infra Ltd.,96000,38.35,36.55,36.816,DESTINY,,SM
Dhanuka Realty Ltd.,6000,10.05,10.05,0.6030000000000001,DRL,,SM
Dollex Agrotech Ltd.,56000,43.5,44.9,24.36,DOLLEX,,SM
Drone Destination Ltd.,40000,125.5,127.2,50.2,DRONE,,SM
DU Digital Global Ltd.,22500,61.9,59.65,13.9275,DUGLOBAL,,SM
Ducol Organics & Colours Ltd.,4800,177.0,174.9,8.496,DUCOL,,SM
Dynamic Services & Security Lt,76000,150.4,143.4,114.304,DYNAMIC,,SM
Emkay Taps And Cutting Tools L,85200,479.6,456.8,408.6192,EMKAYTOOLS,,SM
Essen Speciality Films Ltd.,24000,141.2,141.8,33.888,ESFL,,SM
Euro Panel Products Ltd.,21000,142.9,143.5,30.009,EUROBOND,,SM
Felix Industries Ltd.,16000,112.5,114.0,18.0,FELIX,,SM
Fidel Softech Ltd.,18000,110.0,106.3,19.8,FIDEL,,SM
Foce India Ltd.,6000,840.0,838.65,50.4,FOCE,,SM
Frog Cellsat Ltd.,40800,240.05,251.75,97.9404,FROG,,SM
Giriraj Civil Developers Ltd.,1800,1222.4,1164.2,22.0032,GIRIRAJ,,SM
Global Pet Industries Ltd.,33000,77.45,81.95,25.5585,GLOBALPET,,SM
Globe International Carriers L,3000,44.6,42.5,1.338,GICL,,SM
Globesecure Technologies Ltd.,16000,109.25,109.8,17.48,GSTL,,SM
Goldstar Power Ltd.,45000,9.75,9.3,4.3875,GOLDSTAR,,SM
Greenchef Appliances Ltd.,40000,126.05,129.4,50.42,GREENCHEF,,SM
Homesfy Realty Ltd.,900,465.0,478.75,4.185,HOMESFY,,SM
Infinium Pharmachem Ltd.,14000,300.7,286.4,42.098,INFINIUM,,SM
Infollion Research Services Lt,6400,182.0,180.85,11.648,INFOLLION,,SM
Innovana Thinklabs Ltd.,800,625.0,634.25,5.0,INNOVANA,,SM
Innovative Tyres & Tubes Ltd.,81000,7.25,6.95,5.8725,INNOVATIVE,,SM
Ishan International Ltd.,4800,34.95,35.05,1.6776,ISHAN,,SM
Jainam Ferro Alloys (I) Ltd.,5000,143.6,139.85,7.18,JAINAM,,SM
Jalan Transolutions (India) Lt,24000,5.7,5.65,1.368,JALAN,,SM
Jay Jalaram Technologies Ltd.,5000,333.95,339.95,16.6975,KORE,,SM
Jeena Sikho Lifecare Ltd.,16000,1035.85,1003.75,165.736,JSLL,,SM
JFL Life Sciences Ltd.,4000,48.25,51.45,1.93,JFLLIFE,,SM
Kandarp Digi Smart BPO Ltd.,28000,22.0,22.25,6.16,KANDARP,,SM
Kck Industries Ltd.,4000,24.75,24.0,0.99,KCK,,SM
KHFM Hospitality and Facility ,12400,53.55,51.45,6.6402,KHFM,,SM
KN Agri Resources Ltd.,3200,137.6,139.95,4.4032,KNAGRI,,SM
Kore Digital Ltd.,4800,311.25,296.45,14.94,KDL,,SM
Kotyark Industries Ltd.,5800,568.7,578.35,32.98460000000001,KOTYARK,,SM
Krishca Strapping Solutions Lt,48000,236.2,254.35,113.376,KRISHCA,,SM
Krishna Defence and Allied Ind,27000,303.65,322.25,81.98549999999999,KRISHNADEF,,SM
Laxmi Goldorna House Ltd.,8000,70.9,67.95,5.672,LGHL,,SM
Le Merite Exports Ltd.,12800,49.3,50.2,6.3104,LEMERITE,,SM
Madhya Pradesh Today Media Ltd,2000,44.0,43.5,0.88,MPTODAY,,SM
Magson Retail & Distribution L,18000,80.2,79.3,14.436,MAGSON,,SM
Mahickra Chemicals Ltd.,6000,80.3,80.2,4.818,MAHICKRA,,SM
Maks Energy Solutions India Lt,186000,77.8,74.1,144.708,MAKS,,SM
Mangalam Worldwide Ltd.,1200,117.95,117.95,1.4154,MWL,,SM
Marvel Decor Ltd.,86000,55.0,54.0,47.3,MDL,,SM
Mega Flex Plastics Ltd.,12000,42.0,41.4,5.04,MEGAFLEX,,SM
Milton Industries Ltd.,13200,24.15,24.35,3.1878,MILTON,,SM
Mindpool Technologies Ltd.,1000,79.9,83.65,0.799,MINDPOOL,,SM
Mohini Health & Hygiene Ltd.,15000,74.15,75.15,11.1225,MHHL,,SM
MOS Utility Ltd.,16000,95.65,92.5,15.304,MOS,,SM
Moxsh Overseas Educon Ltd.,1600,133.0,131.5,2.128,MOXSH,,SM
Network People Services Techno,2800,1351.0,1325.0,37.828,NPST,,SM
Nidan Laboratories And Healthc,42000,35.05,35.75,14.720999999999998,NIDAN,,SM
Nirman Agri Genetics Ltd.,10800,180.0,180.9,19.44,NIRMAN,,SM
Omfurn India Ltd.,16000,81.25,85.5,13.0,OMFURN,,SM
Party Cruisers Ltd.,20000,65.0,64.3,13.0,PARTYCRUS,,SM
Pattech Fitwell Tube Component,3000,70.0,70.0,2.1,PATTECH,,SM
PE Analytics Ltd.,7200,218.0,217.0,15.696,PROPEQUITY,,SM
Penta Gold Ltd.,35400,8.8,9.25,3.1152,PENTAGOLD,,ST
Pentagon Rubber Ltd.,14000,127.3,122.8,17.822,PENTAGON,,SM
Perfect Infraengineers Ltd.,48000,23.55,24.0,11.304,PERFECT,,SM
Phantom Digital Effects Ltd.,18600,490.5,487.0,91.233,PHANTOMFX,,SM
Precision Metaliks Ltd.,76000,49.15,48.3,37.354,PRECISION,,SM
Pritika Engineering Components,56000,67.7,70.35,37.912,PRITIKA,,SM
Prolife Industries Ltd.,1500,260.0,255.0,3.9,PROLIFE,,SM
Proventus Agrocom Ltd.,17440,876.5,945.0,152.8616,PROV,,SM
Pulz Electronics Ltd.,34000,87.55,83.4,29.767,PULZ,,SM
QMS Medical Allied Services Lt,6000,139.45,133.9,8.366999999999999,QMSMEDI,,SM
Quadpro ITeS Ltd.,48000,5.75,5.9,2.76,QUADPRO,,SM
Quality Foils (India) Ltd.,2000,111.0,112.0,2.22,QFIL,,SM
Quicktouch Technologies Ltd.,16000,228.05,217.2,36.488,QUICKTOUCH,,SM
Rachana Infrastructure Ltd.,2700,104.15,101.85,2.81205,RILINFRA,,SM
RBM Infracon Ltd.,12000,109.6,104.4,13.152,RBMINFRA,,SM
Reliable Data Services Ltd.,36000,59.85,57.0,21.546,RELIABLE,,SM
Remus Pharmaceuticals Ltd.,1200,4390.0,4379.0,52.68,REMUS,,SM
REX Pipes and Cables Industrie,8000,76.0,76.2,6.08,REXPIPES,,SM
Richa Info Systems Ltd.,1000,67.4,64.25,0.674,RICHA,,SM
Rite Zone Chemcon India Ltd.,1600,65.5,64.95,1.048,RITEZONE,,SM
RM Drip and Sprinklers System ,8000,48.6,46.3,3.888,RMDRIP,,SM
Sabar Flex India Ltd.,20000,26.2,25.7,5.24,SABAR,,SM
Sahana System Ltd.,6000,256.5,263.3,15.39,SAHANA,,SM
Salasar Exteriors & Contour Lt,12500,25.0,25.0,3.125,SECL,,SM
Shera Energy Ltd.,18000,144.8,144.0,26.064,SHERA,,SM
Shigan Quantum Technologies Lt,28500,136.6,131.55,38.931,SHIGAN,,SM
Shubhlaxmi Jewel Art Ltd.,23000,92.65,92.6,21.3095,SHUBHLAXMI,,SM
Siddhika Coatings Ltd.,1000,200.0,200.0,2.0,SIDDHIKA,,SM
SKP Bearing Industries Ltd.,40000,200.0,205.0,80.0,SKP,,SM
SMVD Poly Pack Ltd.,20200,11.15,11.7,2.2523,SMVD,,SM
Solex Energy Ltd.,2800,600.0,596.55,16.8,SOLEX,,SM
Sona Hi Sona Jewellers (Gujara,5000,61.1,61.5,3.055,SONAHISONA,,SM
Sonu Infratech Ltd.,57000,47.0,44.7,26.79,SONUINFRA,,SM
Spectrum Talent Management Ltd,17600,138.0,135.95,24.288,SPECTSTM,,SM
Srivasavi Adhesive Tapes Ltd.,63000,138.5,139.8,87.255,SRIVASAVI,,SM
Surani Steel Tubes Ltd.,86000,324.4,310.1,278.984,SURANI,,SM
Swastik Pipes Ltd.,7200,89.95,89.45,6.4764,SWASTIK,,SM
Synoptics Technologies Ltd.,28800,133.85,139.5,38.5488,SYNOPTICS,,SM
Systango Technologies Ltd.,12800,272.0,278.8,34.816,SYSTANGO,,SM
Tapi Fruit Processing Ltd.,1500,190.0,195.2,2.85,TAPIFRUIT,,SM
