Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Ahasolar Technologies Ltd.,2400,306.1,312.0,7.3464,,543941,M 
Kaka Industries Ltd.,44000,181.45,172.5,79.838,,543939,M 
Acceleratebs India Ltd.,1600,220.0,218.7,3.52,,543938,M 
Alphalogic Industries Ltd.,3600,220.6,210.1,7.9416,,543937,M 
Veefin Solutions Ltd.,49600,222.2,211.65,110.2112,,543931,M 
Cosmic CRF Ltd.,7600,242.05,239.15,18.3958,,543928,M 
Bizotic Commercial Ltd.,4800,60.5,61.7,2.904,,543926,M 
Comrade Appliances Ltd.,2000,149.0,151.5,2.98,,543921,M 
CFF Fluid Control Ltd.,26400,398.25,379.3,105.138,,543920,M 
Hemant Surgical Industries Ltd,19200,199.9,195.0,38.3808,,543916,M 
Innokaiz India Ltd.,6400,125.0,124.0,8.0,,543905,M 
Retina Paints Ltd.,12000,66.9,67.0,8.028,,543902,M 
Sancode Technologies Ltd.,3000,84.0,84.89,2.52,,543897,M 
Exhicon Events Media Solutions,6000,273.2,277.0,16.392,,543895,M 
Maiden Forgings Ltd.,16000,108.75,110.9,17.4,,543874,M 
Dev Labtech Venture Ltd.,8000,60.9,60.4,4.872,,543848,M 
Command Polymers Ltd.,4000,26.5,25.4,1.06,,543843,M 
Sudarshan Pharma Industries Lt,14400,81.5,80.66,11.736,,543828,M 
ITCONS E-Solutions Ltd.,12000,48.97,50.44,5.8764,,543806,M 
RESGEN Ltd.,12000,68.12,69.2,8.1744,,543805,M 
Patron Exim Ltd.,12000,9.8,9.69,1.1760000000000002,,543798,M 
Macfos Ltd.,9600,304.45,308.0,29.2272,,543787,M 
Sealmatic India Ltd.,7800,510.5,489.0,39.819,,543782,M 
Indong Tea Company Ltd.,8000,20.0,20.01,1.6,,543769,M 
Earthstahl & Alloys Ltd.,36000,56.09,54.5,20.192400000000003,,543765,M 
Eastern Logica Infoway Ltd.,1200,600.0,599.7,7.2,,543746,M 
SVS Ventures Ltd.,60000,8.97,8.52,5.382,,543745,M 
Droneacharya Aerial Innovation,34000,176.55,175.1,60.027,,543713,M 
Technopack Polymers Ltd.,8000,92.0,91.49,7.36,,543656,M 
Pace E-Commerce Ventures Ltd.,9600,20.75,21.0,1.992,,543637,M 
Maagh Advertising And Marketin,26000,46.52,47.98,12.0952,,543624,M 
Vedant Asset Ltd.,3000,48.0,48.0,1.44,,543623,M 
Steelman Telecom Ltd.,8400,145.0,142.0,12.18,,543622,M 
Insolation Energy Ltd.,19000,419.5,418.45,79.705,,543620,M 
Concord Control Systems Ltd.,3000,602.0,598.0,18.06,,543619,M 
Cargotrans Maritime Ltd.,4500,83.5,81.48,3.7575,,543618,M 
Trident Lifeline Ltd.,6000,200.0,198.45,12.0,,543616,M 
Silicon Rental Solutions Ltd.,4800,160.5,157.0,7.704,,543615,M 
Containe Technologies Ltd.,4000,77.0,76.68,3.08,,543606,M 
Virtuoso Optoelectronics Ltd.,10000,239.9,242.45,23.99,,543597,M 
Dipna Pharmachem Ltd.,18000,15.8,15.68,2.844,,543594,M 
Rhetan TMT Ltd.,82500,8.76,9.13,7.227,,543590,M 
Naturo Indiabull Ltd.,16000,14.11,15.25,2.2576,,543579,M 
Olatech Solutions Ltd.,4000,169.75,161.7,6.79,,543578,M 
Healthy Life Agritec Ltd.,30000,4.7,4.79,1.41,,543546,M 
Veerkrupa Jewellers Ltd.,133600,2.39,2.28,3.19304,,543545,M 
Jayant Infratech Ltd.,4500,87.5,85.05,3.9375,,543544,M 
Kesar India Ltd.,4800,429.45,409.0,20.6136,,543542,M 
Sailani Tours N Travels Ltd.,1600,23.53,23.41,0.37648,,543541,M 
Pearl Green Clubs And Resorts ,600,312.0,308.05,1.872,,543540,M 
Modi's Navnirman Ltd.,6400,172.55,171.0,11.0432,,543539,M 
Goel Food Products Ltd.,8800,150.0,157.75,13.2,,543538,M 
Silver Pearl Hospitality & Lux,8000,7.5,7.5,0.6,,543536,M 
Dhyaani Tile and Marblez Ltd.,7000,179.0,177.0,12.53,,543516,M 
Sunrise Efficient Marketing Lt,5000,104.0,104.0,5.2,,543515,M 
Maruti Interior Products Ltd.,2000,200.0,200.0,4.0,,543464,M 
Safa Systems & Technologies Lt,90000,12.0,11.9,10.8,,543461,M 
Quality RO Industries Ltd.,10000,78.9,72.9,7.89,,543460,M 
Alkosign Ltd.,19500,108.0,110.5,21.06,,543453,M 
Brandbucket Media & Technology,16000,38.23,36.41,6.1168,,543439,M 
Clara Industries Ltd.,830,175.8,182.5,1.45914,,543435,M 
Omnipotent Industries Ltd.,2000,8.0,8.1,0.16,,543400,M 
