Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Ahasolar Technologies Ltd.,5600,311.3,326.0,17.4328,,543941,M 
Kaka Industries Ltd.,58000,171.05,176.3,99.209,,543939,M 
Acceleratebs India Ltd.,9600,242.85,241.5,23.3136,,543938,M 
Alphalogic Industries Ltd.,7200,197.2,195.7,14.1984,,543937,M 
Veefin Solutions Ltd.,104000,224.15,214.55,233.116,,543931,M 
Cosmic CRF Ltd.,10400,247.8,236.0,25.7712,,543928,M 
Bizotic Commercial Ltd.,8000,61.78,63.0,4.9424,,543926,M 
Comrade Appliances Ltd.,2000,158.0,156.05,3.16,,543921,M 
CFF Fluid Control Ltd.,52800,383.1,403.25,202.2768,,543920,M 
Hemant Surgical Industries Ltd,9600,199.0,198.9,19.104,,543916,M 
Innokaiz India Ltd.,14400,133.55,137.5,19.2312,,543905,M 
Retina Paints Ltd.,16000,64.4,61.0,10.304000000000002,,543902,M 
Sancode Technologies Ltd.,6000,99.0,98.14,5.94,,543897,M 
Exhicon Events Media Solutions,32000,259.35,272.0,82.992,,543895,M 
Maiden Forgings Ltd.,74000,114.8,110.0,84.952,,543874,M 
Dev Labtech Venture Ltd.,4000,58.51,60.99,2.3404,,543848,M 
Bright Outdoor Media Ltd.,8000,458.5,482.0,36.68,,543831,M 
Sudarshan Pharma Industries Lt,9600,84.81,85.05,8.14176,,543828,M 
ITCONS E-Solutions Ltd.,10000,51.32,52.2,5.132,,543806,M 
RESGEN Ltd.,90000,70.98,72.95,63.882,,543805,M 
Amanaya Ventures Ltd.,6000,12.42,13.79,0.7452,,543804,M 
S.V.J. Enterprises Ltd.,3000,76.95,81.0,2.3085,,543799,M 
Patron Exim Ltd.,36000,9.05,9.5,3.258,,543798,M 
Macfos Ltd.,6000,320.0,328.0,19.2,,543787,M 
Sealmatic India Ltd.,7800,487.55,494.0,38.0289,,543782,M 
Earthstahl & Alloys Ltd.,6000,62.0,60.0,3.72,,543765,M 
Transvoy Logistics India Ltd.,4800,72.98,75.01,3.50304,,543754,M 
Dharni Capital Services Ltd.,6000,26.75,26.77,1.605,,543753,M 
Eastern Logica Infoway Ltd.,600,589.2,587.9,3.5352,,543746,M 
SVS Ventures Ltd.,36000,8.02,7.6,2.8872,,543745,M 
Droneacharya Aerial Innovation,36000,177.25,179.6,63.81,,543713,M 
PNGS Gargi Fashion Jewellery L,18000,256.65,276.95,46.197,,543709,M 
Technopack Polymers Ltd.,4000,95.5,97.0,3.82,,543656,M 
DAPS Advertising Ltd.,8000,34.05,36.05,2.724,,543651,M 
Pace E-Commerce Ventures Ltd.,15600,19.76,20.05,3.08256,,543637,M 
