Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Zomato Ltd.,86350672,99.8,94.7,86177.970656,ZOMATO,543320,EQ
JIO Financial Services,28644158,231.25,220.25,66239.615375,JIOFIN,543940,BE
Spandana Sphoorty Financial Lt,3941035,799.95,823.6,31526.3094825,SPANDANA,542759,EQ
Suzlon Energy Ltd.,107872876,25.85,24.65,27885.138446000004,SUZLON,532667,EQ
Reliance Power Ltd.,106487892,20.2,18.25,21510.554184,RPOWER,532939,EQ
Supreme Industries Ltd.,441137,4406.6,4455.95,19439.143042,SUPREMEIND,509930,EQ
Aavas Financiers Ltd.,1102207,1586.9,1601.1,17490.922883000003,AAVAS,541988,EQ
One97 Communications Ltd.,1966286,861.75,852.9,16944.469605,PAYTM,543396,EQ
BSE Ltd.,1726686,967.8,909.95,16710.867108,BSE,,EQ
Rites Ltd.,2963388,504.95,477.45,14963.627706,RITES,541556,EQ
Gokaldas Exports Ltd.,1607971,867.35,735.35,13946.736468500001,GOKEX,532630,EQ
Hindustan Construction Company,40401740,29.35,27.9,11857.91069,HCC,500185,EQ
Railtel Corporation Of India L,5445511,200.6,192.7,10923.695065999998,RAILTEL,543265,EQ
Cochin Shipyard Ltd.,1233554,869.2,845.3,10722.051368,COCHINSHIP,540678,EQ
,1041606,999.99,1000.0,10415.955839400001,LIQUIDBEES,,EQ
Adani Power Ltd.,3131133,328.4,332.7,10282.640771999999,ADANIPOWER,533096,EQ
Rail Vikas Nigam Ltd.,7989617,128.5,127.75,10266.657845,RVNL,542649,EQ
JSW Energy Ltd.,2811339,356.8,366.2,10030.857552000001,JSWENERGY,533148,EQ
FSN E-Commerce Ventures Ltd.,7098689,136.1,133.4,9661.315729,NYKAA,543384,EQ
Star Health and Allied Insuran,1470573,628.0,626.45,9235.19844,STARHEALTH,543412,EQ
Avenue Supermarts Ltd.,247088,3736.3,3664.35,9231.948944000002,DMART,540376,EQ
Union Bank Of India,9764543,86.95,86.25,8490.2701385,UNIONBANK,532477,EQ
RattanIndia Power Ltd.,127790090,6.5,5.95,8306.35585,RTNPOWER,533122,EQ
Sterlite Technologies Ltd.,4939882,165.85,152.55,8192.794296999999,STLTECH,532374,EQ
Himadri Speciality Chemical Lt,3640529,224.6,225.65,8176.628134,HSCL,500184,EQ
Indian Railway Finance Corpora,15789863,49.8,49.5,7863.351774,IRFC,543257,EQ
Indiabulls Real Estate Ltd.,9152131,79.9,78.4,7312.552669000001,IBREALEST,532832,EQ
HFCL Ltd.,10029805,72.85,71.4,7306.7129425,HFCL,500183,EQ
KEI Industries Ltd.,267627,2684.15,2618.95,7183.510120500001,KEI,517569,EQ
IRB Infrastructure Developers ,24560611,28.95,28.15,7110.2968845,IRB,532947,EQ
Welspun Corp Ltd.,2101453,335.85,318.2,7057.7299005,WELCORP,532144,EQ
Tata Elxsi Ltd.,94361,7402.05,7383.35,6984.648400500001,TATAELXSI,500408,EQ
Patel Engineering Ltd.,11891934,57.05,59.85,6784.348346999999,PATELENG,531120,EQ
Lemon Tree Hotels Ltd.,5747801,110.0,103.45,6322.5811,LEMONTREE,541233,EQ
Uflex Ltd.,1339162,463.3,386.1,6204.337546000001,UFLEX,500148,EQ
Deepak Fertilisers And Petroch,1025050,602.5,584.25,6175.92625,DEEPAKFERT,500645,EQ
Mazagon Dock Shipbuilders Ltd.,326793,1863.95,1818.45,6091.258123500001,MAZDOCK,543237,EQ
Housing & Urban Development Co,7859274,76.5,74.1,6012.34461,HUDCO,540530,EQ
Titagarh Railsystems Ltd.,785424,744.3,731.4,5845.910832,TITAGARH,532966,EQ
