Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Ahasolar Technologies Ltd.,8800,311.65,309.0,27.4252,,543941,M 
Kaka Industries Ltd.,4000,185.55,182.5,7.422,,543939,M 
Acceleratebs India Ltd.,9600,246.0,234.6,23.616,,543938,M 
Alphalogic Industries Ltd.,3600,327.75,312.15,11.799,,543937,M 
Veefin Solutions Ltd.,24000,236.1,243.85,56.664,,543931,M 
Cosmic CRF Ltd.,32800,276.7,276.4,90.7576,,543928,M 
Bizotic Commercial Ltd.,8000,59.65,59.57,4.772,,543926,M 
Comrade Appliances Ltd.,4000,152.1,157.95,6.084,,543921,M 
CFF Fluid Control Ltd.,13600,387.6,396.45,52.7136,,543920,M 
Hemant Surgical Industries Ltd,14400,206.4,201.05,29.7216,,543916,M 
Innokaiz India Ltd.,3200,127.0,130.0,4.064,,543905,M 
Retina Paints Ltd.,4000,65.83,64.0,2.6332,,543902,M 
Exhicon Events Media Solutions,32000,280.8,284.15,89.856,,543895,M 
Maiden Forgings Ltd.,38000,109.9,109.45,41.762,,543874,M 
Dev Labtech Venture Ltd.,10000,59.5,59.49,5.95,,543848,M 
Bright Outdoor Media Ltd.,13000,439.85,426.5,57.1805,,543831,M 
Sudarshan Pharma Industries Lt,3200,80.5,80.01,2.576,,543828,M 
Prospect Commodities Ltd.,2000,64.78,64.76,1.2956,,543814,M 
ITCONS E-Solutions Ltd.,4000,46.5,47.31,1.86,,543806,M 
RESGEN Ltd.,48000,75.18,74.2,36.086400000000005,,543805,M 
Amanaya Ventures Ltd.,6000,15.48,17.2,0.9288,,543804,M 
S.V.J. Enterprises Ltd.,15000,61.25,58.34,9.1875,,543799,M 
Patron Exim Ltd.,32000,9.48,9.37,3.0336,,543798,M 
Sealmatic India Ltd.,6600,511.2,513.65,33.7392,,543782,M 
Earthstahl & Alloys Ltd.,30000,59.65,60.09,17.895,,543765,M 
Eastern Logica Infoway Ltd.,1800,590.0,600.0,10.62,,543746,M 
Droneacharya Aerial Innovation,37000,183.95,186.2,68.0615,,543713,M 
PNGS Gargi Fashion Jewellery L,16000,290.0,280.0,46.4,,543709,M 
Technopack Polymers Ltd.,16000,90.53,94.49,14.4848,,543656,M 
Pace E-Commerce Ventures Ltd.,46800,20.48,20.09,9.58464,,543637,M 
Steelman Telecom Ltd.,50400,181.05,177.9,91.2492,,543622,M 
Insolation Energy Ltd.,40000,433.05,422.4,173.22,,543620,M 
Concord Control Systems Ltd.,6000,633.55,642.0,38.013,,543619,M 
Cargotrans Maritime Ltd.,4500,80.0,78.11,3.6,,543618,M 
Reetech International Cargo an,2400,53.8,54.0,1.2912,,543617,M 
Trident Lifeline Ltd.,6000,181.0,200.0,10.86,,543616,M 
Silicon Rental Solutions Ltd.,2400,160.0,160.0,3.84,,543615,M 
Virtuoso Optoelectronics Ltd.,38000,252.95,266.2,96.121,,543597,M 
EP Biocomposites Ltd.,1000,198.65,198.85,1.9865,,543595,M 
Dipna Pharmachem Ltd.,192000,17.37,15.95,33.3504,,543594,M 
Rhetan TMT Ltd.,52500,8.92,9.25,4.683,,543590,M 
Naturo Indiabull Ltd.,12000,13.5,13.57,1.62,,543579,M 
Olatech Solutions Ltd.,8000,202.1,212.7,16.168,,543578,M 
Healthy Life Agritec Ltd.,90000,4.45,4.42,4.005,,543546,M 
Veerkrupa Jewellers Ltd.,83500,2.3,2.29,1.9204999999999997,,543545,M 
Jayant Infratech Ltd.,6000,85.6,85.5,5.135999999999999,,543544,M 
B-Right Real Estate Ltd.,800,115.0,116.0,0.92,,543543,M 
Sailani Tours N Travels Ltd.,1600,23.0,23.27,0.368,,543541,M 
Pearl Green Clubs And Resorts ,2400,313.95,300.85,7.5348,,543540,M 
Modi's Navnirman Ltd.,1600,173.0,169.2,2.768,,543539,M 
Fone4 Communications (India) L,30000,3.85,3.93,1.155,,543521,M 
Shashwat Furnishing Solutions ,6000,33.01,30.26,1.9806,,543519,M 
Eighty Jewellers Ltd.,6000,45.13,46.0,2.7078,,543518,M 
Dhyaani Tile and Marblez Ltd.,4000,175.0,178.0,7.0,,543516,M 
Sunrise Efficient Marketing Lt,47000,118.05,107.8,55.4835,,543515,M 
Achyut Healthcare Ltd.,4500,54.2,57.0,2.439,,543499,M 
Bhatia Colour Chem Ltd.,4800,52.1,54.0,2.5008,,543497,M 
Maruti Interior Products Ltd.,3000,189.6,195.0,5.688,,543464,M 
Safa Systems & Technologies Lt,120000,18.1,17.15,21.72,,543461,M 
Quality RO Industries Ltd.,2000,62.0,68.1,1.24,,543460,M 
Alkosign Ltd.,43500,137.75,129.6,59.92125,,543453,M 
Fabino Life Sciences Ltd.,3000,30.0,31.0,0.9,,543444,M 
Brandbucket Media & Technology,8000,35.15,37.0,2.812,,543439,M 
DMR Hydroengineering & Infrast,12000,77.5,80.69,9.3,,543410,M 
Omnipotent Industries Ltd.,14000,8.0,7.7,1.12,,543400,M 
Suyog Gurbaxani Funicular Rope,15000,98.0,101.0,14.7,,543391,M 
Adishakti Loha and Ispat Ltd.,10000,12.1,12.1,1.21,,543377,M 
Shri Venkatesh Refineries Ltd.,6000,206.65,208.3,12.399,,543373,M 
SBL Infratech Ltd.,1200,72.7,72.58,0.8724,,543366,M 
Markolines Pavement Technologi,35200,150.2,148.75,52.8704,,543364,M 
Prevest Denpro Ltd.,6000,452.0,455.05,27.12,,543363,M 
Aashka Hospitals Ltd.,1000,57.0,57.0,0.57,,543346,M 
Gretex Corporate Services Ltd.,4860,210.0,198.0,10.206,,543324,M 
AA Plus Tradelink Ltd.,16000,9.35,9.35,1.496,,543319,M 
Times Green Energy (India) Ltd,6000,69.0,67.0,4.14,,543310,M 
Adeshwar Meditex Ltd.,6000,22.0,22.0,1.32,,543309,M 
Suumaya Corporation Ltd.,17550,7.26,7.3,1.27413,,543274,M 
