Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Indian Railway Finance Corpora,97624333,82.8,84.75,80832.947724,IRFC,543257,EQ
JIO Financial Services,29463181,244.25,250.15,71963.8195925,JIOFIN,543940,EQ
Rail Vikas Nigam Ltd.,41556660,169.85,189.5,70583.98701,RVNL,542649,EQ
Adani Power Ltd.,16026745,386.3,398.4,61911.315935,ADANIPOWER,533096,EQ
Zomato Ltd.,45515980,98.75,101.35,44947.03025,ZOMATO,543320,EQ
Adani Green Energy Ltd.,4462541,1004.8,1014.65,44839.611968000005,ADANIGREEN,541450,EQ
,3920054,1000.0,1000.0,39200.54,LIQUIDBEES,,EQ
Ircon International Ltd.,21022549,150.95,160.35,31733.5377155,IRCON,541956,EQ
Shyam Metalics And Energy Ltd.,6433049,437.9,451.25,28170.321571,SHYAMMETL,543299,EQ
Bank Of India,26849459,98.45,98.8,26433.2923855,BANKINDIA,532149,EQ
SJVN Ltd.,36592380,70.35,76.8,25742.73933,SJVN,533206,EQ
,2973464,852.3,874.9,25342.833671999997,ADANIENSOL,,EQ
Data Infrastructure Trust,15800000,155.0,144.94,24490.0,,543225,IF
NHPC Ltd.,40078444,50.7,54.7,20319.771108,NHPC,533098,EQ
Mazagon Dock Shipbuilders Ltd.,962575,2071.85,2272.25,19943.1101375,MAZDOCK,543237,EQ
Suzlon Energy Ltd.,84406543,22.8,24.0,19244.691804000002,SUZLON,532667,EQ
Yes Bank Ltd.,104496646,17.55,18.4,18339.161373000003,YESBANK,532648,EQ
BSE Ltd.,1372659,1298.05,1369.15,17817.8001495,BSE,,EQ
Varun Beverages Ltd.,1688186,919.95,919.6,15530.467107,VBL,540180,EQ
Central Depository Services (I,1143399,1333.8,1390.9,15250.655862,CDSL,,EQ
Max Healthcare Institute Ltd.,2452802,618.45,622.15,15169.353969000002,MAXHEALTH,543220,EQ
,1507568,999.99,999.99,15075.529243199999,LIQUIDETF,,EQ
Cochin Shipyard Ltd.,1347852,1065.7,1204.05,14364.058764000001,COCHINSHIP,540678,EQ
Union Bank Of India,15495298,87.6,89.75,13573.881048,UNIONBANK,532477,EQ
JSW Energy Ltd.,3416824,397.15,431.25,13569.916516,JSWENERGY,533148,EQ
Railtel Corporation Of India L,5593188,223.55,248.3,12503.571774000002,RAILTEL,543265,EQ
Himadri Speciality Chemical Lt,5006064,232.05,257.2,11616.571512,HSCL,500184,EQ
One97 Communications Ltd.,1343404,864.55,904.4,11614.399282,PAYTM,543396,EQ
Lemon Tree Hotels Ltd.,9498839,117.65,116.7,11175.384083500001,LEMONTREE,541233,EQ
Bank Of Maharashtra,27187344,41.1,44.3,11173.998384,MAHABANK,532525,EQ
Reliance Power Ltd.,57650354,18.4,20.8,10607.665136,RPOWER,532939,EQ
Tata Teleservices (Maharashtra,10200511,100.25,100.55,10226.0122775,TTML,532371,EQ
Jaiprakash Power Ventures Ltd.,117532501,8.7,9.8,10225.327587,JPPOWER,532627,EQ
Gujarat Mineral Development Co,3883614,262.05,289.95,10177.010487000001,GMDCLTD,532181,EQ
Bajaj Holdings & Investment Lt,141271,7133.0,7185.2,10076.86043,BAJAJHLDNG,500490,EQ
Macrotech Developers Ltd.,1221042,785.15,797.75,9587.011263,LODHA,543287,EQ
Brightcom Group Ltd.,60276795,15.2,14.5,9162.07284,BCG,532368,EQ
MTAR Technologies Ltd.,344564,2623.1,2814.0,9038.258284,MTARTECH,543270,EQ
ITI Ltd.,5351135,167.25,149.3,8949.7732875,ITI,523610,EQ
APL Apollo Tubes Ltd.,513728,1624.0,1730.5,8342.94272,APLAPOLLO,533758,EQ
Chennai Petroleum Corporation ,1620033,510.1,510.35,8263.788333,CHENNPETRO,500110,EQ
BEML Ltd.,351577,2311.95,2604.4,8128.2844515,BEML,500048,EQ
Mankind Pharma Ltd.,445398,1784.35,1770.5,7947.459212999999,MANKIND,543904,EQ
Indiabulls Real Estate Ltd.,10672178,73.95,82.45,7892.075631000001,IBREALEST,532832,EQ
NCC Ltd.,5227672,150.9,165.2,7888.557048000001,NCC,500294,EQ
NBCC (India) Ltd.,14060363,54.7,60.25,7691.018561,NBCC,534309,EQ
Tata Motors Ltd. - DVR Ordinar,1820746,421.7,431.15,7678.085881999999,TATAMTRDVR,570001,EQ
IRB Infrastructure Developers ,23559049,32.25,34.15,7597.7933025,IRB,532947,EQ
Rites Ltd.,1462080,513.2,567.2,7503.394560000002,RITES,541556,EQ
KEI Industries Ltd.,281604,2563.85,2593.05,7219.904154,KEI,517569,EQ
GTL Infrastructure Ltd.,246319016,1.05,1.15,2586.3496680000003,GTLINFRA,532775,EQ
Jaiprakash Power Ventures Ltd.,117532501,8.7,9.8,10225.327587,JPPOWER,532627,EQ
Yes Bank Ltd.,104496646,17.55,18.4,18339.161373000003,YESBANK,532648,EQ
Indian Railway Finance Corpora,97624333,82.8,84.75,80832.947724,IRFC,543257,EQ
Suzlon Energy Ltd.,84406543,22.8,24.0,19244.691804000002,SUZLON,532667,EQ
Vikas EcoTech Ltd.,77662575,4.15,4.6,3222.9968625,VIKASECO,530961,EQ
Vikas Lifecare Ltd.,73376834,5.8,6.45,4255.856372,VIKASLIFE,542655,EQ
Brightcom Group Ltd.,60276795,15.2,14.5,9162.07284,BCG,532368,EQ
