Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Ahasolar Technologies Ltd.,1600,294.7,300.0,4.7152,,543941,M 
Kaka Industries Ltd.,6000,181.0,178.0,10.86,,543939,M 
Acceleratebs India Ltd.,1600,220.0,218.0,3.52,,543938,M 
Alphalogic Industries Ltd.,15600,270.3,254.75,42.1668,,543937,M 
Veefin Solutions Ltd.,19200,238.35,227.0,45.7632,,543931,M 
Cosmic CRF Ltd.,5200,242.85,240.65,12.6282,,543928,M 
Bizotic Commercial Ltd.,7200,59.53,58.3,4.28616,,543926,M 
Comrade Appliances Ltd.,8000,142.0,147.0,11.36,,543921,M 
CFF Fluid Control Ltd.,11200,389.05,399.85,43.5736,,543920,M 
Hemant Surgical Industries Ltd,9600,196.3,193.25,18.8448,,543916,M 
Innokaiz India Ltd.,43200,132.15,119.1,57.0888,,543905,M 
Retina Paints Ltd.,8000,67.4,66.9,5.392,,543902,M 
Exhicon Events Media Solutions,18000,285.0,268.3,51.3,,543895,M 
Maiden Forgings Ltd.,50000,106.3,99.35,53.15,,543874,M 
Dev Labtech Venture Ltd.,4000,59.0,59.0,2.36,,543848,M 
Bright Outdoor Media Ltd.,6000,444.0,432.55,26.64,,543831,M 
Sudarshan Pharma Industries Lt,14400,79.7,81.0,11.4768,,543828,M 
Prospect Commodities Ltd.,4000,64.0,64.0,2.56,,543814,M 
ITCONS E-Solutions Ltd.,8000,47.5,46.5,3.8,,543806,M 
RESGEN Ltd.,48000,76.58,74.5,36.7584,,543805,M 
Amanaya Ventures Ltd.,6000,15.0,13.7,0.9,,543804,M 
S.V.J. Enterprises Ltd.,303000,54.9,53.77,166.347,,543799,M 
Patron Exim Ltd.,24000,9.2,8.8,2.2079999999999997,,543798,M 
Macfos Ltd.,39600,362.0,315.0,143.352,,543787,M 
Sealmatic India Ltd.,18000,517.95,486.0,93.231,,543782,M 
Indong Tea Company Ltd.,8000,20.0,20.0,1.6,,543769,M 
Earthstahl & Alloys Ltd.,15000,54.51,55.72,8.1765,,543765,M 
Eastern Logica Infoway Ltd.,600,600.1,601.1,3.6006,,543746,M 
SVS Ventures Ltd.,18000,8.58,7.83,1.5444,,543745,M 
Droneacharya Aerial Innovation,23000,175.3,172.6,40.319,,543713,M 
PNGS Gargi Fashion Jewellery L,6000,270.0,260.1,16.2,,543709,M 
Technopack Polymers Ltd.,2000,97.95,94.41,1.959,,543656,M 
DAPS Advertising Ltd.,12000,34.33,32.5,4.1196,,543651,M 
Pace E-Commerce Ventures Ltd.,38400,20.19,20.75,7.75296,,543637,M 
Steelman Telecom Ltd.,7200,149.25,152.0,10.746,,543622,M 
Insolation Energy Ltd.,95000,439.35,421.3,417.3825,,543620,M 
Concord Control Systems Ltd.,3000,600.0,590.0,18.0,,543619,M 
Cargotrans Maritime Ltd.,9000,81.73,84.0,7.3557,,543618,M 
Reetech International Cargo an,1200,55.0,53.01,0.66,,543617,M 
Trident Lifeline Ltd.,2400,205.0,192.0,4.92,,543616,M 
Silicon Rental Solutions Ltd.,800,161.0,162.0,1.288,,543615,M 
Virtuoso Optoelectronics Ltd.,18000,233.2,230.4,41.976,,543597,M 
EP Biocomposites Ltd.,2000,188.5,188.0,3.77,,543595,M 
Dipna Pharmachem Ltd.,39000,15.13,14.74,5.9007,,543594,M 
Rhetan TMT Ltd.,15000,9.1,9.0,1.365,,543590,M 
Naturo Indiabull Ltd.,4000,14.5,14.65,0.58,,543579,M 
Olatech Solutions Ltd.,12000,203.5,185.0,24.42,,543578,M 
Healthy Life Agritec Ltd.,90000,4.6,4.4,4.14,,543546,M 
Veerkrupa Jewellers Ltd.,66800,2.27,2.28,1.51636,,543545,M 
Jayant Infratech Ltd.,2250,87.5,87.5,1.96875,,543544,M 
B-Right Real Estate Ltd.,46400,119.0,123.5,55.216,,543543,M 
Kesar India Ltd.,16800,495.9,473.3,83.3112,,543542,M 
Pearl Green Clubs And Resorts ,600,318.0,314.4,1.908,,543540,M 
Modi's Navnirman Ltd.,2400,173.0,170.0,4.152,,543539,M 
Goel Food Products Ltd.,3200,139.0,140.8,4.448,,543538,M 
Fone4 Communications (India) L,20000,4.03,4.08,0.806,,543521,M 
Eighty Jewellers Ltd.,3000,46.0,44.0,1.38,,543518,M 
Dhyaani Tile and Marblez Ltd.,12000,174.5,171.5,20.94,,543516,M 
Sunrise Efficient Marketing Lt,3000,104.0,103.9,3.12,,543515,M 
EVOQ Remedies Ltd.,4000,12.82,13.6,0.5128,,543500,M 
Achyut Healthcare Ltd.,9000,57.0,57.0,5.13,,543499,M 
Maruti Interior Products Ltd.,2000,194.0,195.0,3.88,,543464,M 
Safa Systems & Technologies Lt,170000,15.15,13.9,25.755,,543461,M 
Alkosign Ltd.,24000,121.85,115.0,29.244,,543453,M 
Brandbucket Media & Technology,2000,36.24,38.14,0.7248,,543439,M 
Clara Industries Ltd.,3320,178.0,178.0,5.9096,,543435,M 
DMR Hydroengineering & Infrast,18000,76.85,73.2,13.833,,543410,M 
Omnipotent Industries Ltd.,2000,8.0,8.0,0.16,,543400,M 
Suyog Gurbaxani Funicular Rope,18000,93.11,88.68,16.7598,,543391,M 
Adishakti Loha and Ispat Ltd.,50000,13.86,12.6,6.93,,543377,M 
Shri Venkatesh Refineries Ltd.,3000,198.1,200.0,5.943,,543373,M 
