Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Ahasolar Technologies Ltd.,12800,371.55,368.25,47.5584,,543941,M 
Kaka Industries Ltd.,362000,201.4,170.6,729.068,,543939,M 
Acceleratebs India Ltd.,24000,288.45,274.75,69.228,,543938,M 
Alphalogic Industries Ltd.,27600,242.55,236.5,66.9438,,543937,M 
Veefin Solutions Ltd.,161600,251.0,236.45,405.616,,543931,M 
Cosmic CRF Ltd.,101200,322.8,307.75,326.6736,,543928,M 
Bizotic Commercial Ltd.,9600,63.47,60.45,6.09312,,543926,M 
Comrade Appliances Ltd.,24000,164.95,164.0,39.587999999999994,,543921,M 
CFF Fluid Control Ltd.,94400,448.5,427.15,423.384,,543920,M 
Hemant Surgical Industries Ltd,24000,232.0,227.65,55.68,,543916,M 
Innokaiz India Ltd.,57600,148.5,156.6,85.536,,543905,M 
Retina Paints Ltd.,12000,57.0,55.51,6.84,,543902,M 
Sancode Technologies Ltd.,9000,79.0,81.15,7.11,,543897,M 
Exhicon Events Media Solutions,32000,303.0,314.3,96.96,,543895,M 
Maiden Forgings Ltd.,224000,120.1,107.11,269.024,,543874,M 
Dev Labtech Venture Ltd.,8000,62.05,62.5,4.964,,543848,M 
Bright Outdoor Media Ltd.,8000,474.0,490.0,37.92,,543831,M 
Labelkraft Technologies Ltd.,2000,80.0,80.0,1.6,,543830,M 
Sudarshan Pharma Industries Lt,30400,83.33,82.63,25.33232,,543828,M 
ITCONS E-Solutions Ltd.,24000,44.0,42.81,10.56,,543806,M 
RESGEN Ltd.,90000,79.0,80.66,71.1,,543805,M 
Patron Exim Ltd.,20000,10.16,10.0,2.032,,543798,M 
Macfos Ltd.,25200,374.55,360.55,94.3866,,543787,M 
Sealmatic India Ltd.,10800,573.3,573.05,61.91639999999999,,543782,M 
Indong Tea Company Ltd.,36000,20.05,21.0,7.218,,543769,M 
Earthstahl & Alloys Ltd.,27000,71.05,74.26,19.1835,,543765,M 
Transvoy Logistics India Ltd.,14400,75.3,76.0,10.8432,,543754,M 
Eastern Logica Infoway Ltd.,1800,600.1,600.0,10.8018,,543746,M 
SVS Ventures Ltd.,36000,7.55,7.26,2.718,,543745,M 
Rex Sealing and Packing Indust,1000,109.0,107.25,1.09,,543744,M 
Droneacharya Aerial Innovation,52000,157.2,157.5,81.74399999999999,,543713,M 
PNGS Gargi Fashion Jewellery L,2000,223.9,223.9,4.478,,543709,M 
Ambo Agritec Ltd.,12000,30.95,32.95,3.714,,543678,M 
Technopack Polymers Ltd.,6000,97.05,98.0,5.823,,543656,M 
DAPS Advertising Ltd.,36000,38.99,34.49,14.0364,,543651,M 
Pace E-Commerce Ventures Ltd.,34800,21.71,21.5,7.55508,,543637,M 
Maagh Advertising And Marketin,2000,34.51,36.32,0.6902,,543624,M 
Vedant Asset Ltd.,3000,42.2,42.0,1.2660000000000002,,543623,M 
Steelman Telecom Ltd.,13200,146.0,149.95,19.272,,543622,M 
Cargosol Logistics Ltd.,16000,46.0,43.0,7.36,,543621,M 
Insolation Energy Ltd.,10000,357.65,376.45,35.765,,543620,M 
Concord Control Systems Ltd.,19000,475.4,459.2,90.326,,543619,M 
Reetech International Cargo an,6000,61.9,61.47,3.714,,543617,M 
Trident Lifeline Ltd.,8400,210.0,215.65,17.64,,543616,M 
Silicon Rental Solutions Ltd.,13600,152.0,151.0,20.672,,543615,M 
Containe Technologies Ltd.,6000,70.15,69.3,4.2090000000000005,,543606,M 
Shantidoot Infra Services Ltd.,4800,77.01,84.7,3.69648,,543598,M 
Virtuoso Optoelectronics Ltd.,44000,245.2,236.55,107.888,,543597,M 
Rhetan TMT Ltd.,52500,10.12,9.84,5.313,,543590,M 
Naturo Indiabull Ltd.,16000,15.3,16.2,2.448,,543579,M 
Olatech Solutions Ltd.,16000,194.0,185.85,31.04,,543578,M 
Healthy Life Agritec Ltd.,130000,4.98,4.95,6.474,,543546,M 
Veerkrupa Jewellers Ltd.,167000,2.66,2.79,4.4422,,543545,M 
Jayant Infratech Ltd.,6750,95.8,96.01,6.4665,,543544,M 
B-Right Real Estate Ltd.,2400,135.0,145.5,3.24,,543543,M 
Sailani Tours N Travels Ltd.,9600,26.6,26.59,2.5536,,543541,M 
Pearl Green Clubs And Resorts ,600,190.0,192.8,1.14,,543540,M 
Modi's Navnirman Ltd.,2400,173.5,176.0,4.164,,543539,M 
Goel Food Products Ltd.,800,190.0,174.3,1.52,,543538,M 
Scarnose International Ltd.,4000,80.0,79.95,3.2,,543537,M 
Fone4 Communications (India) L,20000,4.1,4.29,0.82,,543521,M 
Global Longlife Hospital and R,5000,47.48,47.5,2.3739999999999997,,543520,M 
