Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Ahasolar Technologies Ltd.,6400,323.0,339.95,20.672,,543941,M 
Kaka Industries Ltd.,40000,181.0,179.5,72.4,,543939,M 
Acceleratebs India Ltd.,6400,236.8,247.6,15.1552,,543938,M 
Alphalogic Industries Ltd.,4800,202.0,200.75,9.696,,543937,M 
Veefin Solutions Ltd.,70400,211.9,222.7,149.1776,,543931,M 
Cosmic CRF Ltd.,26800,233.55,241.25,62.5914,,543928,M 
Bizotic Commercial Ltd.,7200,64.5,66.43,4.644,,543926,M 
CFF Fluid Control Ltd.,24800,409.8,421.0,101.6304,,543920,M 
Hemant Surgical Industries Ltd,9600,209.5,209.45,20.112,,543916,M 
Innokaiz India Ltd.,24000,138.55,137.25,33.252,,543905,M 
Retina Paints Ltd.,4000,58.75,58.9,2.35,,543902,M 
Sancode Technologies Ltd.,3000,98.38,103.55,2.9514,,543897,M 
Exhicon Events Media Solutions,2000,281.5,292.1,5.63,,543895,M 
Maiden Forgings Ltd.,18000,108.6,112.0,19.548,,543874,M 
Dev Labtech Venture Ltd.,18000,59.3,59.05,10.674,,543848,M 
Bright Outdoor Media Ltd.,2000,464.0,468.5,9.28,,543831,M 
Labelkraft Technologies Ltd.,2000,87.0,86.5,1.74,,543830,M 
Sudarshan Pharma Industries Lt,14400,86.25,86.21,12.42,,543828,M 
Prospect Commodities Ltd.,14000,72.5,73.4,10.15,,543814,M 
ITCONS E-Solutions Ltd.,12000,52.0,52.74,6.24,,543806,M 
RESGEN Ltd.,27000,75.95,77.83,20.5065,,543805,M 
Patron Exim Ltd.,40000,9.51,9.93,3.804,,543798,M 
Macfos Ltd.,7200,340.3,332.5,24.5016,,543787,M 
Sealmatic India Ltd.,7200,489.0,500.5,35.208,,543782,M 
Indong Tea Company Ltd.,52000,22.2,24.0,11.544,,543769,M 
Earthstahl & Alloys Ltd.,9000,62.0,62.99,5.58,,543765,M 
Transvoy Logistics India Ltd.,1600,75.01,75.01,1.2001600000000001,,543754,M 
Eastern Logica Infoway Ltd.,600,583.8,584.95,3.5028,,543746,M 
Rex Sealing and Packing Indust,2000,100.0,103.6,2.0,,543744,M 
Droneacharya Aerial Innovation,162000,185.55,176.05,300.591,,543713,M 
PNGS Gargi Fashion Jewellery L,12000,282.0,299.0,33.84,,543709,M 
Technopack Polymers Ltd.,4000,96.26,99.0,3.8504,,543656,M 
DAPS Advertising Ltd.,12000,37.5,37.95,4.5,,543651,M 
Pace E-Commerce Ventures Ltd.,38400,20.55,20.8,7.8912,,543637,M 
Maagh Advertising And Marketin,18000,39.85,37.96,7.173,,543624,M 
Steelman Telecom Ltd.,105600,161.0,163.35,170.016,,543622,M 
Insolation Energy Ltd.,91000,420.5,419.2,382.655,,543620,M 
Concord Control Systems Ltd.,7500,611.45,623.8,45.85875,,543619,M 
Cargotrans Maritime Ltd.,3000,85.05,84.5,2.5515,,543618,M 
Reetech International Cargo an,1200,58.1,58.1,0.6972,,543617,M 
Trident Lifeline Ltd.,7200,179.25,180.0,12.906,,543616,M 
Silicon Rental Solutions Ltd.,2400,171.0,173.45,4.104,,543615,M 
Virtuoso Optoelectronics Ltd.,20000,243.0,241.8,48.6,,543597,M 
EP Biocomposites Ltd.,2500,210.5,212.05,5.2625,,543595,M 
Dipna Pharmachem Ltd.,405000,20.1,25.0,81.40500000000002,,543594,M 
Rhetan TMT Ltd.,52500,9.7,9.52,5.092499999999999,,543590,M 
Naturo Indiabull Ltd.,4000,15.0,15.9,0.6,,543579,M 
Olatech Solutions Ltd.,2000,161.2,166.15,3.224,,543578,M 
Healthy Life Agritec Ltd.,60000,4.96,5.11,2.976,,543546,M 
Veerkrupa Jewellers Ltd.,367400,2.77,2.68,10.17698,,543545,M 
Jayant Infratech Ltd.,6750,86.6,90.98,5.8455,,543544,M 
B-Right Real Estate Ltd.,2400,132.0,131.0,3.168,,543543,M 
Sailani Tours N Travels Ltd.,1600,23.61,24.85,0.37776,,543541,M 
Pearl Green Clubs And Resorts ,85200,280.8,234.0,239.2416,,543540,M 
Modi's Navnirman Ltd.,1600,172.0,172.1,2.752,,543539,M 
Goel Food Products Ltd.,1600,169.3,173.0,2.7088,,543538,M 
Scarnose International Ltd.,14000,78.14,85.0,10.9396,,543537,M 
Nanavati Ventures Ltd.,3000,45.35,41.25,1.3605,,543522,M 
Global Longlife Hospital and R,6000,44.99,47.0,2.6994,,543520,M 
Shashwat Furnishing Solutions ,3000,40.32,33.6,1.2096,,543519,M 
Eighty Jewellers Ltd.,3000,47.19,47.75,1.4157,,543518,M 
Dhyaani Tile and Marblez Ltd.,9000,188.5,191.75,16.965,,543516,M 
Sunrise Efficient Marketing Lt,23000,103.1,104.1,23.713,,543515,M 
Achyut Healthcare Ltd.,9000,57.65,56.0,5.1885,,543499,M 
Bhatia Colour Chem Ltd.,73600,57.35,51.36,42.2096,,543497,M 
Ekennis Software Service Ltd.,800,95.0,89.0,0.76,,543475,M 
Maruti Interior Products Ltd.,1000,189.0,189.0,1.89,,543464,M 
Safa Systems & Technologies Lt,30000,10.99,10.93,3.297,,543461,M 
Alkosign Ltd.,4500,128.95,128.0,5.80275,,543453,M 
Brandbucket Media & Technology,6000,27.5,27.25,1.65,,543439,M 
Clara Industries Ltd.,3320,190.9,182.0,6.33788,,543435,M 
DMR Hydroengineering & Infrast,12000,72.95,76.78,8.754,,543410,M 
Omnipotent Industries Ltd.,2000,8.37,8.09,0.1674,,543400,M 
Suyog Gurbaxani Funicular Rope,6000,73.2,66.55,4.392,,543391,M 
Promax Power Ltd.,5000,55.9,57.9,2.795,,543375,M 
Shri Venkatesh Refineries Ltd.,5000,198.05,200.2,9.9025,,543373,M 
Getalong Enterprise Ltd.,2000,180.0,165.0,3.6,,543372,M 
SBL Infratech Ltd.,12000,73.5,74.7,8.82,,543366,M 
Markolines Pavement Technologi,12000,137.95,137.15,16.554,,543364,M 
Prevest Denpro Ltd.,3600,462.65,470.0,16.6554,,543363,M 
