Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
Secmark Consultancy Ltd.,11250,84.75,84.53,9.534375,,543234,M 
ICL Organic Dairy Products Ltd,22000,45.22,46.0,9.9484,,542935,M 
Janus Corporation Ltd.,140000,4.42,4.26,6.188,,542924,M 
Goblin India Ltd.,4000,62.0,58.0,2.48,,542850,M 
Misquita Engineering Ltd.,4000,39.5,38.8,1.58,,542801,M 
Cian Healthcare Ltd.,88000,23.5,23.32,20.68,,542678,M 
Evans Electric Ltd.,2000,139.05,138.0,2.781,,542668,M 
VR Films & Studios Ltd.,12000,44.9,44.0,5.388,,542654,M 
Northern Spirits Ltd.,6500,362.6,345.0,23.569,,542628,M 
Jonjua Overseas Ltd.,53066,19.46,18.54,10.3266436,,542446,M 
Roni Households Ltd.,3600,34.0,35.25,1.224,,542145,M 
Sun Retail Ltd.,144000,0.58,0.58,0.8352,,542025,M 
Ganesh Films India Ltd.,3200,23.2,22.25,0.7424,,541703,M 
WAA Solar Ltd.,36800,80.62,79.25,29.66816,,541445,M 
Affordable Robotic & Automatio,10400,648.4,660.0,67.4336,,541402,M 
Innovators Facade Systems Ltd.,9600,226.5,225.0,21.744,,541353,M 
Milestone Furniture Ltd.,57000,6.02,6.16,3.4314,,541337,M 
Indo US Bio-Tech Ltd.,1000,195.0,205.0,1.95,,541304,M 
Dr Lalchandani Labs Ltd.,4000,27.5,25.0,1.1,,541299,M 
Taylormade Renewables Ltd.,12000,517.15,503.8,62.058,,541228,M 
LEX Nimble Solutions Ltd.,2000,66.12,66.12,1.3224,,541196,M 
Benara Bearings And Pistons Lt,2000,13.2,13.1,0.264,,541178,M 
Inflame Appliances Ltd.,1250,645.0,644.25,8.0625,,541083,M 
Diggi Multitrade Ltd.,40000,24.85,23.59,9.94,,540811,M 
Sanghvi Brands Ltd.,5000,23.79,22.66,1.1895,,540782,M 
Sagar Diamonds Ltd.,90000,45.6,48.36,41.04,,540715,M 
Captain Technocast Ltd.,3000,101.0,110.0,3.03,,540652,M 
Yug Decor Ltd.,2300,96.69,97.0,2.22387,,540550,M 
RMC Switchgears Ltd.,15000,780.8,771.25,117.12,,540358,M 
Aditya Consumer Marketing Ltd.,47000,67.38,69.9,31.6686,,540146,M 
DRA Consultants Ltd.,2500,31.5,31.5,0.7875,,540144,M 
Riddhi Steel & Tube Ltd.,9000,37.83,46.5,3.4047,,540082,M 
Shiva Granito Export Ltd.,30000,9.4,9.0,2.82,,540072,M 
Franklin Leasing And Finance L,92000,10.8,9.0,9.936000000000002,,539839,M 
Waaree Technologies Ltd.,8400,442.05,446.7,37.1322,,539337,M 
Growington Ventures India Ltd.,10850,203.0,204.0,22.0255,,539222,M 
Filtra Consultants and Enginee,6000,43.25,43.98,2.595,,539098,M 
SVP Housing Ltd.,130000,85.45,90.42,111.085,,539041,M 
JLA Infraville Shoppers Ltd.,10000,3.56,3.24,0.356,,538765,M 
Encash Entertainment Ltd.,3000,32.0,38.74,0.96,,538684,M 
Tarini International Ltd.,45000,15.05,14.34,6.7725,,538496,M 
GCM Capital Advisors Ltd.,8000,10.59,10.2,0.8472,,538319,M 
Unishire Urban Infra Ltd.,120000,1.99,2.08,2.388,,537582,M 
Polymac Thermoformers Ltd.,14400,31.87,32.39,4.58928,,537573,M 
GCM Commodity & Derivatives Lt,6000,5.69,5.69,0.3414,,535917,M 
Shantiguru Industries Ltd.,3000,9.55,10.36,0.28650000000000003,,534708,M 
Asarfi Hospital Ltd,16000,108.35,106.9,17.336,,543943,M 
Innovatus Entertainment Networ,3000,33.59,32.01,1.0077,,543951,M 
Khazanchi Jewellers Ltd,13000,214.4,211.5,27.872,,543953,M 
Shelter Pharma Limited,33000,40.7,40.5,13.431,,543963,M 
Shoora Designs Limited,12000,52.6,50.1,6.312,,543970,M 
Bondada Engineering Limited,195200,205.15,202.4,400.4528,,543971,M 
Meson Valves Limited,49200,217.55,209.95,107.0346,,543982,M 
Kahan Packaging,28800,107.35,107.0,30.9168,,543979,M 
Technowgreen,195200,169.3,141.1,330.47360000000003,,543991,M 
Aatmaj Healthcare Ltd.,24000,45.4,45.8,10.896,AATMAJ,,SM
AB Infrabuild Ltd.,4000,33.05,31.5,1.322,ABINFRA,,SM
Abhishek Integrations Ltd.,12000,29.95,31.5,3.594,AILIMITED,,SM
AG Universal Ltd.,2000,62.0,60.8,1.24,AGUL,,SM
Agarwal Float Glass India Ltd.,249000,51.95,45.5,129.3555,AGARWALFT,,SM
Agni Green Power Ltd.,15000,29.95,30.0,4.4925,AGNI,,SM
All E Technologies Ltd.,148800,205.6,202.3,305.9328,ALLETEC,,SM
Ameya Precision Engineers Ltd.,4000,51.0,51.0,2.04,AMEYA,,SM
Amiable Logistics (India) Ltd.,9600,86.0,86.0,8.256,AMIABLE,,SM
Annapurna Swadisht Ltd.,118000,320.7,303.15,378.426,ANNAPURNA,,SM
Arham Technologies Ltd.,21000,126.0,126.5,26.46,ARHAM,,SM
Arihant Academy Ltd.,8000,123.0,121.05,9.84,ARIHANTACA,,SM
Aristo Bio-Tech and Lifescienc,8000,82.85,84.0,6.628,ARISTO,,SM
ASL Industries Ltd.,4000,30.3,28.9,1.212,ASLIND,,SM
Aurangabad Distillery Ltd.,7000,226.0,234.0,15.82,AURDIS,,SM
Auro Impex & Chemicals Ltd.,25600,68.4,64.75,17.5104,AUROIMPEX,,SM
AVSL Industries Ltd.,2000,154.4,150.45,3.088,AVSL,,SM
Baheti Recycling Industries Lt,16500,200.25,200.35,33.04125,BAHETI,,SM
Beta Drugs Ltd.,3800,996.55,1005.0,37.8689,BETA,,SM
BEW Engineering Ltd.,11000,1622.5,1638.0,178.475,BEWLTD,,SM
