Company Name,Total_Delivery,Price,PrevClose,Total_Traded_Value,NSE_Code,BSE_Code,Segment
,4798664,1000.0,1000.0,47986.64,LIQUIDBEES,,EQ
Suzlon Energy Ltd.,153185399,28.1,26.95,43045.097119000005,SUZLON,532667,EQ
JIO Financial Services,17375175,224.65,231.4,39033.3306375,JIOFIN,543940,EQ
JSW Infrastrucutre,22168198,164.95,157.3,36566.442601,JSWINFRA,543994,EQ
Zomato Ltd.,33645435,100.75,105.3,33897.7757625,ZOMATO,543320,EQ
Avenue Supermarts Ltd.,762982,3872.95,3725.7,29549.911369,DMART,540376,EQ
Union Bank Of India,19723922,108.45,112.1,21390.593409,UNIONBANK,532477,EQ
JSW Energy Ltd.,4832091,418.9,442.6,20241.629199,JSWENERGY,533148,EQ
Bank Of Maharashtra,37504819,48.85,49.5,18321.1040815,MAHABANK,532525,EQ
Varun Beverages Ltd.,1791050,920.45,928.3,16485.719725,VBL,540180,EQ
Timken India Ltd.,404562,3088.5,3068.4,12494.89737,TIMKEN,522113,EQ
Indian Overseas Bank,25972389,47.4,48.4,12310.912385999998,IOB,532388,EQ
,1216333,999.99,999.99,12163.2083667,ICICILIQ,,EQ
Indian Railway Finance Corpora,15499978,75.05,76.6,11632.733488999998,IRFC,543257,EQ
Lloyds Metals & Energy Ltd.,2087621,550.5,549.9,11492.353605,LLOYDSME,512455,EQ
Housing & Urban Development Co,11751480,89.15,90.35,10476.444420000002,HUDCO,540530,EQ
Rail Vikas Nigam Ltd.,5623468,171.15,172.5,9624.565482,RVNL,542649,EQ
Ujjivan Small Finance Bank Ltd,16353691,57.5,59.0,9403.372325,UJJIVANSFB,542904,EQ
Central Bank Of India,18315263,50.8,52.5,9304.153604,CENTRALBK,532885,EQ
Bank Of India,8440746,110.0,112.8,9284.8206,BANKINDIA,532149,EQ
Adani Power Ltd.,2261569,372.05,366.7,8414.1674645,ADANIPOWER,533096,EQ
,3847574,214.4,215.57,8249.198656,NIFTYBEES,,EQ
Jaiprakash Power Ventures Ltd.,85229691,9.55,10.05,8139.435490500001,JPPOWER,532627,EQ
SJVN Ltd.,11262282,70.1,72.3,7894.859681999999,SJVN,533206,EQ
UCO Bank,17399546,44.2,44.75,7690.599332000001,UCOBANK,532505,EQ
Tata Motors Ltd. - DVR Ordinar,1857052,413.25,421.85,7674.26739,TATAMTRDVR,570001,EQ
Mangalore Refinery And Petroch,7695267,97.85,95.5,7529.818759499999,MRPL,500109,EQ
Yes Bank Ltd.,42594424,17.2,17.2,7326.240927999999,YESBANK,532648,EQ
The South Indian Bank Ltd.,27531872,26.45,27.05,7282.180144,SOUTHBANK,532218,EQ
Gujarat Fluorochemicals Ltd.,245748,2845.0,2939.3,6991.5306,FLUOROCHEM,542812,EQ
,3339112,203.04,204.0,6779.7330048,SETFNIF50,,EQ
KEI Industries Ltd.,244893,2655.25,2700.6,6502.5213825,KEI,517569,EQ
Adani Wilmar Ltd.,1808670,352.8,333.4,6380.98776,AWL,543458,EQ
Gujarat Mineral Development Co,1965177,324.6,329.45,6378.964542000001,GMDCLTD,532181,EQ
NHPC Ltd.,10960149,53.25,53.15,5836.2793425,NHPC,533098,EQ
PCBL Ltd.,3218166,177.25,180.05,5704.199235,PCBL,506590,EQ
Mazagon Dock Shipbuilders Ltd.,252677,2128.9,2188.05,5379.240653000001,MAZDOCK,543237,EQ
GVK Power & Infrastructure Ltd,40986729,13.1,12.5,5369.261499,GVKPIL,532708,BE
Macrotech Developers Ltd.,714394,750.1,788.35,5358.6693940000005,LODHA,543287,EQ
Bharat Dynamics Ltd.,521934,979.5,1021.2,5112.34353,BDL,541143,EQ
PB Fintech Ltd.,664507,758.7,760.4,5041.614609,POLICYBZR,543390,EQ
BSE Ltd.,392071,1280.3,1297.85,5019.685013,BSE,,EQ
Sobha Ltd.,747385,664.15,697.05,4963.7574775,SOBHA,532784,EQ
Aavas Financiers Ltd.,274397,1790.05,1799.05,4911.843498499999,AAVAS,541988,EQ
APL Apollo Tubes Ltd.,304722,1602.75,1640.35,4883.931855,APLAPOLLO,533758,EQ
